dataset,img_num,nose_width,nose_length,lip_thickness,face_length,eye_height,eye_width,face_width_prom,face_width_mouth,forehead_length,distance_btw_pupils,dist_btw_pupils_top,dist_btw_pupils_lip,chin_length,length_cheek_to_chin,brow_to_hair,fWHR,face_shape,heartshapeness,nose_shape,lip_fullness,eye_shape,eye_size,upper_head_len,midface_len,chin_size,forehead_height,cheek_height,cheek_prominence,face_roundness
mit,0.0,39.0128184063,69.0,21.5249378106,269.007434841,14.2587719273,37.0674667166,204.022057631,165.027270474,94.0850678907,92.5121613627,98.0624800829,95.5628890768,62.0080639917,141.895388601,70.5868259663,1.75124616841,0.758425348917,1.23629298991,0.565403165308,0.0800161446216,0.384670795994,0.0530051220916,0.349748950047,0.355242557266,0.230506878103,0.262397305145,0.527477572076,0.144958027574,0.613467321344
mit,1.0,38.0525951809,75.0599760192,30.0,279.016128566,14.7928553785,41.1579730825,202.299283241,162.249807396,108.166538264,96.0468635615,112.372705761,98.5355254122,46.1735855225,146.527022093,77.7721029676,1.58518685462,0.725045122951,1.24683835678,0.506962527821,0.107520666114,0.359416518127,0.053017922134,0.387671274846,0.353153510941,0.165487155742,0.278736943872,0.525156100639,0.143538210681,0.58150691227
mit,2.0,37.0135110466,77.0064932327,24.0356688476,280.0,13.152946438,35.850451375,201.009950002,170.026468528,107.0,85.5,107.002628472,100.953471815,50.0099990002,151.303690728,78.0,1.58270644859,0.71789267858,1.18222740108,0.480654416177,0.0858416744558,0.366883705323,0.046974808707,0.382142857143,0.360548113625,0.178607139286,0.278571428571,0.540370324029,0.110655290981,0.607237387599
mit,3.0,40.0124980475,76.0065786626,31.0192024052,292.083892058,14.5386898686,41.1579730825,212.115534556,174.045970939,121.004132161,95.0841732361,122.756364397,95.4168016743,47.1699056603,150.878268436,85.5014619758,1.65039223623,0.726214421005,1.21873280612,0.526434668571,0.106199633902,0.353241153043,0.0497757331501,0.414278689962,0.326676014216,0.161494375222,0.292729124408,0.516557990832,0.130337771621,0.595876649384
mit,4.0,35.0142828,75.0066663704,26.0226805086,274.016422865,15.2827604727,40.1559223624,199.022611781,163.003067456,104.019228992,96.0325465663,106.279407695,101.763314999,46.0108682813,144.69282024,67.5166646096,1.46879156318,0.726316363448,1.22097464107,0.466815611123,0.0949675944108,0.380585467189,0.055773155174,0.379609469768,0.371376700474,0.167912812671,0.24639641633,0.528044336637,0.131450312168,0.59486605128
mit,5.0,41.0,71.0070419043,26.5226805086,293.383707796,11.7924954797,36.1247837364,190.002631561,159.003144623,123.794184031,91.50136611,125.700288385,96.8617542844,49.0,141.296381057,95.0368349641,1.53227928678,0.647625026585,1.1949614708,0.577407520444,0.0904027040488,0.326437815262,0.0401947864396,0.421953164889,0.330153828282,0.167016772568,0.323933580628,0.481609500808,0.105661923665,0.541963102919
mit,6.0,42.0119030752,73.0616178304,21.0311288741,273.117190964,11.2767462998,37.5335851224,200.039996001,164.012194669,97.3293378175,90.5220967499,104.644636747,96.1088089,56.0,143.542607258,65.6905624881,1.5201182529,0.732432825978,1.21966538162,0.575020158638,0.0770040465045,0.300444155895,0.0412890388189,0.356364743918,0.351895860384,0.205040187336,0.240521522121,0.525571483623,0.131913341687,0.600519484291
mit,7.0,38.0,77.0,16.5,266.046988331,10.5,37.0069431054,195.023075558,164.003048752,93.0215028905,95.5209401126,100.037805354,100.490181878,52.038447325,141.116078499,62.0322496771,1.4446153745,0.733039967042,1.18914298875,0.493506493506,0.0620191196431,0.283730541323,0.0394667125002,0.349643134373,0.37771591593,0.195598708527,0.233162758452,0.530417876123,0.116596045684,0.616443921358
mit,8.0,36.0138862107,69.0072459963,26.5,277.064974329,11.776229506,37.0660616579,201.089532298,165.012120767,109.073369802,88.069574769,110.572374488,95.949039895,49.0102030194,148.243556894,83.5374167664,1.69658055888,0.725784747009,1.21863491823,0.521885574345,0.0956454350254,0.317709219142,0.0425034941155,0.393674336015,0.346305194756,0.176890648621,0.301508398774,0.53504979203,0.130212819642,0.595571927366
mit,9.0,38.0131556175,73.027392121,23.063342621,288.140590684,14.0400639202,38.1637678967,218.33002542,173.288776324,115.108644332,100.62430124,119.104995697,100.546008262,54.0,149.765106516,79.0253124005,1.62769767869,0.757720475625,1.25992017516,0.520532837247,0.0800419773076,0.367889878121,0.048726435546,0.399487778028,0.348947741182,0.187408514266,0.274259562711,0.519764001873,0.156316918032,0.601403557592
