INFO:root:Start training with [gpu(0)]
INFO:root:Epoch[1] Batch [540]	Speed: 2922.87 samples/sec	Train-rmse=1.061076
INFO:root:Epoch[1] Batch [560]	Speed: 2919.12 samples/sec	Train-rmse=1.053577
INFO:root:Epoch[1] Batch [580]	Speed: 2924.32 samples/sec	Train-rmse=1.032852
INFO:root:Epoch[1] Batch [600]	Speed: 2860.64 samples/sec	Train-rmse=1.130067
INFO:root:Epoch[1] Batch [620]	Speed: 2923.16 samples/sec	Train-rmse=1.129865
INFO:root:Epoch[1] Batch [640]	Speed: 2927.79 samples/sec	Train-rmse=0.932941
INFO:root:Epoch[1] Batch [660]	Speed: 2922.35 samples/sec	Train-rmse=0.891158
INFO:root:Epoch[1] Batch [680]	Speed: 2918.77 samples/sec	Train-rmse=0.990690
INFO:root:Epoch[1] Batch [700]	Speed: 2878.12 samples/sec	Train-rmse=1.271629
INFO:root:Epoch[1] Batch [720]	Speed: 2923.97 samples/sec	Train-rmse=0.953294
INFO:root:Epoch[1] Batch [740]	Speed: 2923.40 samples/sec	Train-rmse=0.980282
INFO:root:Epoch[1] Batch [760]	Speed: 2921.28 samples/sec	Train-rmse=1.024220
INFO:root:Epoch[1] Resetting Data Iterator
INFO:root:Epoch[1] Time cost=26.693
INFO:root:Saved checkpoint to "model_exp/attract_model-0002.params"
INFO:root:Epoch[1] Validation-rmse=1.009451
INFO:root:Epoch[2] Batch [20]	Speed: 3095.89 samples/sec	Train-rmse=1.050776
INFO:root:Epoch[2] Batch [40]	Speed: 2917.36 samples/sec	Train-rmse=0.739498
INFO:root:Epoch[2] Batch [60]	Speed: 2923.04 samples/sec	Train-rmse=0.793460
INFO:root:Epoch[2] Batch [80]	Speed: 2880.04 samples/sec	Train-rmse=0.733994
INFO:root:Epoch[2] Batch [100]	Speed: 2841.37 samples/sec	Train-rmse=0.879006
INFO:root:Epoch[2] Batch [120]	Speed: 2913.42 samples/sec	Train-rmse=0.961256
INFO:root:Epoch[2] Batch [140]	Speed: 2919.28 samples/sec	Train-rmse=0.878814
INFO:root:Epoch[2] Batch [160]	Speed: 2901.44 samples/sec	Train-rmse=0.813196
INFO:root:Epoch[2] Batch [180]	Speed: 2925.90 samples/sec	Train-rmse=0.958204
INFO:root:Epoch[2] Batch [200]	Speed: 2924.55 samples/sec	Train-rmse=1.208637
INFO:root:Epoch[2] Batch [220]	Speed: 2928.81 samples/sec	Train-rmse=1.121123
INFO:root:Epoch[2] Batch [240]	Speed: 2918.18 samples/sec	Train-rmse=1.196604
INFO:root:Epoch[2] Batch [260]	Speed: 2915.35 samples/sec	Train-rmse=0.982000
INFO:root:Epoch[2] Batch [280]	Speed: 2847.09 samples/sec	Train-rmse=0.931682
INFO:root:Epoch[2] Batch [300]	Speed: 2797.61 samples/sec	Train-rmse=0.818436
INFO:root:Epoch[2] Batch [320]	Speed: 2819.36 samples/sec	Train-rmse=1.146247
INFO:root:Epoch[2] Batch [340]	Speed: 2925.00 samples/sec	Train-rmse=0.868717
INFO:root:Epoch[2] Batch [360]	Speed: 2920.47 samples/sec	Train-rmse=0.897049
INFO:root:Epoch[2] Batch [380]	Speed: 2925.06 samples/sec	Train-rmse=0.891879
INFO:root:Epoch[2] Batch [400]	Speed: 2924.43 samples/sec	Train-rmse=0.833436
INFO:root:Epoch[2] Batch [420]	Speed: 2919.52 samples/sec	Train-rmse=1.112645
INFO:root:Epoch[2] Batch [440]	Speed: 2923.87 samples/sec	Train-rmse=1.114422
INFO:root:Epoch[2] Batch [460]	Speed: 2920.40 samples/sec	Train-rmse=0.932036
INFO:root:Epoch[2] Batch [480]	Speed: 2924.49 samples/sec	Train-rmse=0.950138
INFO:root:Epoch[2] Batch [500]	Speed: 2926.31 samples/sec	Train-rmse=1.100339
INFO:root:Epoch[2] Batch [520]	Speed: 2919.46 samples/sec	Train-rmse=1.139231
INFO:root:Epoch[2] Batch [540]	Speed: 2928.21 samples/sec	Train-rmse=1.031403
INFO:root:Epoch[2] Batch [560]	Speed: 2921.53 samples/sec	Train-rmse=0.979539
INFO:root:Epoch[2] Batch [580]	Speed: 2919.38 samples/sec	Train-rmse=1.077693
INFO:root:Epoch[2] Batch [600]	Speed: 2926.73 samples/sec	Train-rmse=1.095048
INFO:root:Epoch[2] Batch [620]	Speed: 2925.90 samples/sec	Train-rmse=1.060581
INFO:root:Epoch[2] Batch [640]	Speed: 2920.76 samples/sec	Train-rmse=0.894019
INFO:root:Epoch[2] Batch [660]	Speed: 2925.66 samples/sec	Train-rmse=0.823070
INFO:root:Epoch[2] Batch [680]	Speed: 2917.21 samples/sec	Train-rmse=1.029175
INFO:root:Epoch[2] Batch [700]	Speed: 2918.09 samples/sec	Train-rmse=1.222417
INFO:root:Epoch[2] Batch [720]	Speed: 2922.45 samples/sec	Train-rmse=0.886397
INFO:root:Epoch[2] Batch [740]	Speed: 2917.69 samples/sec	Train-rmse=1.072359
INFO:root:Epoch[2] Batch [760]	Speed: 2921.94 samples/sec	Train-rmse=0.982331
INFO:root:Epoch[2] Resetting Data Iterator
INFO:root:Epoch[2] Time cost=26.755
INFO:root:Saved checkpoint to "model_exp/attract_model-0003.params"
INFO:root:Epoch[2] Validation-rmse=1.009387
INFO:root:Epoch[3] Batch [20]	Speed: 3096.94 samples/sec	Train-rmse=1.072389
INFO:root:Epoch[3] Batch [40]	Speed: 2919.91 samples/sec	Train-rmse=0.732252
INFO:root:Epoch[3] Batch [60]	Speed: 2881.37 samples/sec	Train-rmse=0.788148
INFO:root:Epoch[3] Batch [80]	Speed: 2912.24 samples/sec	Train-rmse=0.790379
INFO:root:Epoch[3] Batch [100]	Speed: 2918.12 samples/sec	Train-rmse=0.820747
INFO:root:Epoch[3] Batch [120]	Speed: 2926.30 samples/sec	Train-rmse=0.942484
INFO:root:Epoch[3] Batch [140]	Speed: 2906.52 samples/sec	Train-rmse=0.847325
INFO:root:Epoch[3] Batch [160]	Speed: 2920.09 samples/sec	Train-rmse=0.800990
INFO:root:Epoch[3] Batch [180]	Speed: 2922.39 samples/sec	Train-rmse=0.995482
INFO:root:Epoch[3] Batch [200]	Speed: 2919.11 samples/sec	Train-rmse=1.292595
INFO:root:Epoch[3] Batch [220]	Speed: 2917.92 samples/sec	Train-rmse=1.107591
INFO:root:Epoch[3] Batch [240]	Speed: 2880.70 samples/sec	Train-rmse=1.157701
INFO:root:Epoch[3] Batch [260]	Speed: 2865.74 samples/sec	Train-rmse=0.965201
INFO:root:Epoch[3] Batch [280]	Speed: 2927.34 samples/sec	Train-rmse=0.863277
INFO:root:Epoch[3] Batch [300]	Speed: 2887.12 samples/sec	Train-rmse=0.863959
INFO:root:Epoch[3] Batch [320]	Speed: 2889.87 samples/sec	Train-rmse=1.061697
INFO:root:Epoch[3] Batch [340]	Speed: 2925.23 samples/sec	Train-rmse=0.831879
INFO:root:Epoch[3] Batch [360]	Speed: 2926.18 samples/sec	Train-rmse=0.864518
INFO:root:Epoch[3] Batch [380]	Speed: 2920.18 samples/sec	Train-rmse=0.919513
INFO:root:Epoch[3] Batch [400]	Speed: 2924.17 samples/sec	Train-rmse=0.924488
INFO:root:Epoch[3] Batch [420]	Speed: 2922.23 samples/sec	Train-rmse=1.140486
INFO:root:Epoch[3] Batch [440]	Speed: 2917.92 samples/sec	Train-rmse=1.130195
INFO:root:Epoch[3] Batch [460]	Speed: 2922.23 samples/sec	Train-rmse=0.983816
INFO:root:Epoch[3] Batch [480]	Speed: 2918.73 samples/sec	Train-rmse=0.935937
INFO:root:Epoch[3] Batch [500]	Speed: 2928.18 samples/sec	Train-rmse=1.033714
INFO:root:Epoch[3] Batch [520]	Speed: 2853.08 samples/sec	Train-rmse=1.118698
INFO:root:Epoch[3] Batch [540]	Speed: 2863.00 samples/sec	Train-rmse=1.093297
INFO:root:Epoch[3] Batch [560]	Speed: 2924.76 samples/sec	Train-rmse=1.030359
INFO:root:Epoch[3] Batch [580]	Speed: 2925.14 samples/sec	Train-rmse=1.010198
INFO:root:Epoch[3] Batch [600]	Speed: 2919.51 samples/sec	Train-rmse=1.096666
INFO:root:Epoch[3] Batch [620]	Speed: 2924.61 samples/sec	Train-rmse=1.132187
INFO:root:Epoch[3] Batch [640]	Speed: 2912.87 samples/sec	Train-rmse=0.912221
