,Age,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Attractive,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Surprised,Threatening,Trustworthy,Unusual
WM-202,21.69230769,0,1,0,0,0,0,0,1,1.769230769,1.56,2.653846154,3.192307692,1.269230769,2.038461538,1.68,2.269230769,4.346153846,3.163265306,1.769230769,1.423076923,1.653846154,3.769230769,2
WM-203,29.25,0,1,0,0,0,0,0,1,1.416666667,2.333333333,3.5,2.347826087,1.916666667,3.25,1.333333333,2.125,4.869565217,4.389830508,2.375,1.416666667,2.5,3.541666667,1.541666667
WM-204,35.13333333,0,1,0,0,0,0,0,1,1.433333333,1.933333333,3.2,1.9,1.586206897,3.5,1.482758621,2.1,5.366666667,4.4375,1.689655172,1.266666667,2.466666667,3.266666667,1.7
WM-205,29.36,0,1,0,0,0,0,0,1,1.84,3.041666667,3.8,2.32,2.2,3.52,1.541666667,1.6,5,4.428571429,1.96,1.44,2.6,3.04,1.92
WM-206,23.32258065,0,1,0,0,0,0,0,1,1.903225806,1.870967742,1.806451613,3.387096774,2,2.096774194,2.258064516,2.677419355,2.935483871,3.839285714,2.032258065,1.774193548,2,3.258064516,3.709677419
WM-207,26.58333333,0,1,0,0,0.083333333,0.041666667,0.041666667,0.833333333,1.47826087,1.625,4.125,1.958333333,1.434782609,3.625,1.333333333,3.086956522,5.208333333,2.52,1.458333333,1.416666667,2,3.333333333,2.458333333
WM-208,26.13793103,0,1,0,0,0.034482759,0,0,0.965517241,1.928571429,1.678571429,2.655172414,3.724137931,1.827586207,2.178571429,2.034482759,3.24137931,3.310344828,3.732142857,2,1.965517241,1.655172414,3.586206897,1.655172414
WM-209,20.39285714,0,1,0,0,0,0.035714286,0,0.964285714,2.222222222,1.571428571,3.535714286,3.607142857,1.821428571,1.821428571,2.142857143,2.357142857,3.607142857,3.98,2.269230769,1.892857143,1.821428571,3.535714286,1.714285714
WM-210,21.5,0,1,0,0,0,0,0,1,2.214285714,2.407407407,2.964285714,3.178571429,1.821428571,2,1.678571429,2.035714286,3.481481481,3.823529412,2.785714286,1.75,1.714285714,3.321428571,2.071428571
WM-211,27.79310345,0.034482759,0.965517241,0,0,0.034482759,0,0,0.965517241,1.785714286,1.535714286,3.464285714,2.068965517,1.464285714,2.689655172,1.75862069,1.965517241,4.607142857,3.807692308,1.620689655,1.586206897,1.896551724,3.172413793,3.344827586
WM-212,30.11111111,0,1,0,0,0,0,0,1,1.962962963,3.333333333,3.703703704,2.296296296,2.884615385,4.111111111,1.814814815,1.925925926,4.962962963,3.956521739,2.444444444,1.576923077,3.333333333,3.481481481,2.518518519
WM-213,26.36,0,1,0,0,0,0,0,1,1.76,1.96,3.708333333,3,1.56,3,1.92,3.826086957,4.16,4.127272727,1.84,1.68,1.96,3.56,2.32
WM-214,25.12,0.04,0.96,0,0,0,0,0,1,1.8,1.68,3.12,3.6,1.72,2.48,2.25,3.4,3.666666667,4.132075472,1.88,2.04,1.68,3.72,2.24
WM-215,29,0,1,0,0,0,0,0,1,1.964285714,2.071428571,1.892857143,3,2.071428571,2.071428571,1.785714286,1.814814815,4.185185185,3.431818182,3.857142857,1.928571429,2,3.107142857,2.428571429
WM-216,30.88461538,0,1,0.038461538,0,0,0,0,0.961538462,2.653846154,2.115384615,2.653846154,2.961538462,2.307692308,2.076923077,2,1.615384615,3.615384615,3.840909091,3,2.038461538,2.076923077,3.192307692,2.192307692
WM-217,18.73076923,0,1,0.076923077,0,0,0.153846154,0,0.769230769,2.5,3.461538462,3.076923077,4.230769231,2.269230769,2.807692308,2.769230769,1.846153846,3.461538462,2.8125,2.538461538,2.153846154,2.846153846,3.115384615,2.961538462
WM-218,25.82142857,0,1,0,0,0.035714286,0.071428571,0.071428571,0.821428571,1.535714286,2.071428571,2.857142857,1.857142857,1.571428571,2.5,1.357142857,1.888888889,4.392857143,2.595744681,2.071428571,1.464285714,1.777777778,3.107142857,1.892857143
WM-219,22.16666667,0,1,0,0,0,0,0,1,1.708333333,2,2.958333333,2.347826087,1.458333333,2.833333333,1.791666667,1.75,4.583333333,4.096153846,3.166666667,1.708333333,1.75,3.25,1.625
WM-220,37.22222222,0,1,0,0,0,0,0,1,1.925925926,3.740740741,2.518518519,1.851851852,2.444444444,4.615384615,1.407407407,2.307692308,5.074074074,3.791666667,2,1.851851852,4.384615385,2.481481481,3.407407407
WM-221,41.07407407,0,1,0,0,0,0,0,1,1.592592593,3.148148148,3.153846154,1.703703704,2.296296296,4.259259259,1.37037037,1.888888889,4.925925926,4.390243902,2.538461538,1.518518519,2.518518519,3.555555556,1.925925926
WM-222,33.03448276,0,1,0,0,0,0,0,1,3,2.75,2.344827586,2.206896552,2.517241379,2.571428571,2.137931034,1.655172414,4.071428571,3.454545455,2.793103448,2,2.586206897,2.75862069,2.724137931
WM-223,42.76,0,1,0,0,0.08,0.08,0,0.84,1.583333333,2.88,3.08,1.12,2.12,4.36,1,1.96,5.48,3.170212766,2.541666667,1.36,3.083333333,3,2.04
WM-224,26.28571429,0.035714286,0.964285714,0,0,0,0,0,1,2.222222222,3.142857143,2.464285714,1.785714286,2.178571429,4.178571429,1.892857143,1.571428571,4.75,4.107142857,2.142857143,1.535714286,3.642857143,2.821428571,4.285714286
WM-225,36.82142857,0,1,0,0,0,0,0,1,1.5,1.925925926,3.035714286,1.892857143,1.407407407,3.107142857,1.357142857,2.678571429,4.607142857,4.384615385,1.857142857,1.392857143,2,3.703703704,2.035714286
