,Age,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Attractive,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Surprised,Threatening,Trustworthy,Unusual
AF-232,29.69230769,0.92,0.08,0.961538462,0,0,0,0.038461538,0,1.269230769,1.307692308,2.846153846,2.192307692,1.423076923,2.076923077,3.769230769,2.961538462,2.769230769,3.191489362,1.84,1.423076923,1.538461538,3.615384615,2.807692308
AF-233,22.39285714,1,0,0.571428571,0,0.178571429,0.25,0,0,2.107142857,2.178571429,4.035714286,3.192307692,1.821428571,2.178571429,5.178571429,2.607142857,1.642857143,2.723404255,2.392857143,1.888888889,1.857142857,3.555555556,2.285714286
AF-234,24.2962963,0.925925926,0.074074074,0.518518519,0,0.333333333,0.074074074,0.074074074,0,2.296296296,2.192307692,3.185185185,3.259259259,2.148148148,2.37037037,4.518518519,2.37037037,2.115384615,2.29787234,2.846153846,1.777777778,2.111111111,3.777777778,2.111111111
AF-235,23.5,1,0,0.961538462,0,0,0.038461538,0,0,1.576923077,1.346153846,4.192307692,3.653846154,1.423076923,2.153846154,5.5,2.923076923,1.307692308,3.042553191,1.96,1.230769231,1.346153846,4.269230769,2.269230769
AF-236,37.66666667,1,0,0.925925926,0,0.037037037,0.037037037,0,0,1.703703704,2.555555556,3.666666667,1.666666667,1.615384615,2.592592593,5,1.777777778,1.481481481,3.872340426,2.111111111,1.333333333,1.666666667,3.925925926,1.62962963
AF-237,30.51851852,1,0,0.888888889,0,0.037037037,0.037037037,0,0.037037037,2,2.518518519,4.555555556,2.62962963,2,2.740740741,5.185185185,2.62962963,1.62962963,2.191489362,2.37037037,1.814814815,2,3.615384615,2.222222222
AF-238,37.55555556,1,0,0.888888889,0,0.074074074,0.037037037,0,0,2.37037037,2,2.888888889,1.259259259,1.846153846,2.269230769,4.037037037,2,1.740740741,3.042553191,3.074074074,1.592592593,1.444444444,3.259259259,1.851851852
AF-239,28.2962963,1,0,0.814814815,0,0,0.148148148,0,0.037037037,1.592592593,1.703703704,4.148148148,1.962962963,1.555555556,2.259259259,5.222222222,3.769230769,1.5,2.574468085,1.703703704,1.703703704,1.407407407,3.884615385,2.296296296
AF-240,27.27586207,1,0,0.75862069,0,0.137931034,0.103448276,0,0,2.103448276,2.103448276,3.586206897,2.655172414,2.137931034,2.137931034,4.75,1.965517241,1.862068966,2.829787234,2.586206897,1.793103448,1.931034483,3.448275862,2.620689655
AF-241,31.875,1,0,0.791666667,0,0.041666667,0.125,0,0.041666667,2.208333333,2.333333333,2.958333333,2.125,1.869565217,2.375,4.916666667,2.086956522,1.791666667,2.826086957,3,1.708333333,2.304347826,3.541666667,2.416666667
AF-242,27.03571429,1,0,0.888888889,0,0,0.111111111,0,0,1.464285714,2.535714286,4.964285714,2.357142857,1.928571429,2.678571429,5.518518519,1.928571429,1.321428571,3.404255319,2.035714286,1.346153846,1.678571429,3.642857143,2.428571429
AF-243,26.75862069,1,0,0.689655172,0,0.24137931,0.068965517,0,0,2.310344828,2.310344828,4.413793103,3,2.034482759,2.275862069,5.137931034,3.517241379,1.571428571,2.765957447,2.413793103,2.142857143,1.857142857,4.275862069,2.448275862
AF-244,29.20833333,0.958333333,0.041666667,0.875,0,0.083333333,0,0,0.041666667,1.583333333,1.583333333,4.666666667,2.434782609,1.375,2.375,5.458333333,4.416666667,1.318181818,3.319148936,1.695652174,1.708333333,1.583333333,4.5,2.041666667
AF-245,30.22222222,1,0,0.925925926,0,0,0.037037037,0.037037037,0,1.666666667,1.777777778,4.555555556,2.555555556,1.444444444,2.84,5.037037037,3.692307692,1.703703704,3.212765957,2.037037037,2,1.62962963,3.740740741,2.730769231
AF-246,25,0.962962963,0.037037037,0.962962963,0,0,0,0,0.037037037,1.407407407,1.333333333,3.615384615,2.740740741,1.37037037,2,4.740740741,3.962962963,1.962962963,4.260869565,1.653846154,1.481481481,1.37037037,3.925925926,2.423076923
AF-247,25.96428571,1,0,0.857142857,0,0,0.107142857,0.035714286,0,2.428571429,2.037037037,3.178571429,2.464285714,2.428571429,1.964285714,4.071428571,2.321428571,2,2.638297872,2.607142857,1.642857143,1.714285714,3.928571429,2.321428571
AF-248,34.17241379,1,0,0.724137931,0,0.068965517,0.172413793,0.034482759,0,1.517241379,1.448275862,4.137931034,1.551724138,1.482758621,2.379310345,5.464285714,3.344827586,1.413793103,2.744680851,1.586206897,1.586206897,1.310344828,3.931034483,2.137931034
AF-249,26,1,0,0.84,0,0.04,0.08,0.04,0,1.52,2.16,4.56,2.12,1.92,2.52,5.24,2.208333333,1.32,3.543478261,2.04,1.56,1.916666667,4.04,2.52
AF-250,25.10344828,1,0,0.586206897,0,0.068965517,0.275862069,0.068965517,0,2,1.931034483,3.964285714,3.137931034,1.827586207,2.172413793,4.892857143,2.620689655,1.551724138,1.914893617,1.931034483,1.862068966,1.75862069,3.689655172,2.586206897
AF-251,22.64285714,0.964285714,0.035714286,0.357142857,0.071428571,0,0.535714286,0.035714286,0,1.821428571,1.814814815,4.607142857,3.142857143,1.964285714,2.259259259,5.25,2.107142857,1.214285714,2.127659574,2.071428571,1.821428571,1.857142857,3.678571429,3.107142857
AF-252,22.34482759,1,0,0.862068966,0,0.068965517,0.068965517,0,0,1.896551724,1.655172414,4.206896552,3.137931034,1.75862069,1.931034483,5.586206897,3.482758621,1.655172414,2.553191489,2.034482759,1.827586207,1.551724138,4.464285714,2.482758621
AF-253,25.55172414,1,0,1,0,0,0,0,0,1.206896552,1.24137931,4.535714286,3.379310345,1.206896552,1.827586207,5.586206897,3.75862069,1.310344828,4.422222222,1.392857143,1.344827586,1.103448276,4.068965517,2.103448276
AF-254,37.12,1,0,0.92,0,0.08,0,0,0,1.708333333,2.333333333,3.84,2,1.84,2.24,5.4,2.56,1.36,2.765957447,2.04,1.76,1.8,3.4,2.16
AF-255,26,1,0,0.958333333,0,0,0.041666667,0,0,1.96,3.12,4.8,1.96,2.56,3.24,5.48,2.2,1.52,3.893617021,2.48,1.32,2.28,3.32,2.24
AF-256,24,1,0,0.863636364,0,0,0.090909091,0.045454545,0,1.545454545,1.954545455,3.454545455,3,1.454545455,1.681818182,4.409090909,1.909090909,1.285714286,2.787234043,1.863636364,1.409090909,1.590909091,2.954545455,1.772727273
AM-201,23.8,0.04,0.96,1,0,0,0,0,0,1.24,2.52,3.04,2.625,2.04,2.48,1.541666667,1.48,4,4.558139535,2.4,1.36,1.76,3.12,1.88
AM-202,26.22222222,0,1,0.846153846,0,0.038461538,0.076923077,0.038461538,0,1.846153846,2.888888889,2.777777778,2.296296296,2.296296296,2.730769231,1.538461538,1.592592593,4.074074074,3.348837209,2.259259259,1.576923077,2.37037037,3.148148148,2.037037037
AM-203,26.54166667,0,1,0.958333333,0,0,0.041666667,0,0,1.708333333,1.583333333,2.458333333,3.041666667,1.47826087,1.875,2.083333333,2.291666667,3.608695652,3.930232558,1.958333333,1.25,1.416666667,3.666666667,2
AM-204,23.91666667,0,1,0.583333333,0,0.083333333,0.291666667,0.041666667,0,1.833333333,1.625,3.041666667,3.625,1.347826087,2.041666667,2.130434783,2.695652174,3.608695652,2.279069767,1.916666667,1.916666667,1.458333333,3.75,1.833333333
AM-205,34.83333333,0,1,0.958333333,0,0,0.041666667,0,0,1.916666667,2.130434783,2.625,2.083333333,1.708333333,2.625,1.416666667,2.869565217,4.166666667,4.23255814,2,1.833333333,2.166666667,3.875,2.125
AM-206,26.92857143,0.035714286,0.964285714,0.857142857,0,0.071428571,0.071428571,0,0,1.785714286,2.678571429,2.285714286,2.428571429,2.107142857,3.111111111,1.428571429,2.142857143,4.607142857,3.333333333,1.964285714,1.785714286,2.678571429,2.821428571,2.214285714
AM-207,25.91666667,0,1,0.958333333,0,0,0.041666667,0,0,1.652173913,1.708333333,2.958333333,2.416666667,1.5,2.666666667,1.458333333,3.75,4.5,3.674418605,1.458333333,1.608695652,1.565217391,3.833333333,2.083333333
AM-208,23.32142857,0,1,0.607142857,0,0.25,0.071428571,0.035714286,0.035714286,1.428571429,1.535714286,2.964285714,2.392857143,1.75,1.925925926,1.464285714,1.740740741,4,2.348837209,2.178571429,1.142857143,1.785714286,2.892857143,1.642857143
AM-209,27.75,0,1,0.964285714,0,0,0.035714286,0,0,1.592592593,1.428571429,2.857142857,2.678571429,1.214285714,2.296296296,1.428571429,2.75,4.25,3.930232558,1.785714286,1.5,1.428571429,3.888888889,1.428571429
AM-210,21.04761905,0,1,1,0,0,0,0,0,2,2.25,3.80952381,3.7,1.952380952,2.428571429,2.285714286,2.619047619,4.19047619,4.581395349,2.571428571,1.714285714,2.238095238,4.476190476,2.476190476
AM-211,26.32142857,0,1,0.5,0,0.178571429,0.25,0.071428571,0,1.333333333,1.851851852,3.428571429,2.148148148,1.321428571,3.111111111,1.428571429,2.37037037,4.25,1.953488372,1.535714286,1.407407407,1.571428571,3.464285714,2.071428571
AM-212,25.55555556,0,1,0.37037037,0,0.333333333,0.259259259,0.037037037,0,1.925925926,3.222222222,1.846153846,3.307692308,2.259259259,3.222222222,1.259259259,2.296296296,4.703703704,1.88372093,2.037037037,1.653846154,2.925925926,2.814814815,2.555555556
AM-213,28.07142857,0,1,1,0,0,0,0,0,1.785714286,2.321428571,2.142857143,2.285714286,2.111111111,3.25,1.285714286,2.178571429,3.964285714,4.465116279,2.285714286,1.678571429,2.428571429,3.142857143,2.185185185
AM-214,29.22222222,0,1,0.074074074,0.037037037,0.259259259,0.222222222,0.407407407,0,1.925925926,2.259259259,3.888888889,2.592592593,1.814814815,3.222222222,1.925925926,2.851851852,4.62962963,1.511627907,2.259259259,1.666666667,2.444444444,3.407407407,2.925925926
AM-215,57.33333333,0,1,0.962962963,0,0.037037037,0,0,0,1.884615385,1.518518519,3.076923077,1.851851852,2.037037037,2.074074074,1.407407407,2.192307692,4.074074074,3.813953488,2.333333333,1.592592593,1.555555556,4.307692308,1.962962963
AM-216,28.48,0,1,0.6,0,0.12,0.24,0,0.04,1.24,1.72,4.12,2.875,1.52,3,1.6,3.24,4.68,2,1.48,1.32,1.76,3.88,1.68
AM-217,43,0,1,0.538461538,0,0.076923077,0.307692308,0.038461538,0.038461538,1.615384615,3.076923077,2.538461538,1.307692308,2.538461538,3.269230769,1.384615385,1.576923077,4.538461538,2.255813953,2.615384615,1.461538462,3.115384615,3,2.64
AM-218,33.59259259,0,1,0.785714286,0,0.107142857,0.071428571,0,0.035714286,1.25,1.357142857,3.214285714,1.964285714,1.535714286,2.357142857,1.25,2.857142857,4.148148148,3.023255814,1.392857143,1.464285714,1.392857143,3.464285714,1.642857143
AM-219,36.9,0,1,0.633333333,0,0.1,0.166666667,0.1,0,1.933333333,3.9,2.517241379,1.533333333,3.033333333,4.133333333,1.466666667,1.482758621,4.137931034,2.860465116,2.551724138,1.433333333,3.833333333,2.3,2.8
AM-220,23.79310345,0,1,0.551724138,0,0.24137931,0.172413793,0.034482759,0,1.793103448,2.862068966,2.344827586,2.75862069,2.357142857,2.642857143,1.344827586,1.655172414,4.137931034,2.581395349,2.344827586,1.482758621,2.379310345,2.862068966,2.275862069
AM-221,24.11538462,0,1,0.961538462,0,0.038461538,0,0,0,1.884615385,2.423076923,3.230769231,2.846153846,2.461538462,3.043478261,1.807692308,1.6,4.615384615,3.023255814,3.076923077,1.269230769,2.576923077,2.846153846,2.384615385
AM-223,21.92592593,0,1,0.851851852,0,0.037037037,0.111111111,0,0,1.740740741,1.962962963,2.222222222,2,1.62962963,1.740740741,1.259259259,2,3.56,3.11627907,2.148148148,1.814814815,1.555555556,3.185185185,1.962962963
AM-224,28.96,0.04,0.96,0.88,0,0.04,0.04,0.04,0,1.48,3.04,1.52,2.04,2.8,2.708333333,1.48,1.52,3.6,3.11627907,3.2,1.4,1.84,2.88,3.76
AM-225,24.68,0,1,0.72,0,0.16,0.08,0,0.04,1.92,2.08,3.52,2.84,2.04,2.72,1.48,2.28,4.64,2.372093023,2.25,1.52,2.08,3.6,1.68
AM-226,46.81818182,0,1,0.863636364,0,0.045454545,0.045454545,0,0.045454545,1.909090909,2.590909091,1.80952381,2.090909091,1.818181818,3.590909091,1.272727273,2.045454545,4.681818182,3.465116279,2.727272727,1.409090909,2.136363636,3.409090909,1.636363636
AM-227,41.42307692,0,1,0.923076923,0,0.076923077,0,0,0,1.4,2.076923077,2.384615385,1.538461538,1.384615385,3,1.038461538,1.884615385,4.730769231,4,1.807692308,1.2,1.88,2.769230769,1.692307692
AM-228,25.32142857,0,1,0.928571429,0,0.071428571,0,0,0,1.642857143,2.222222222,3.428571429,2.642857143,1.821428571,2.678571429,1.535714286,2.535714286,4.214285714,3.744186047,2.259259259,1.571428571,1.851851852,3.464285714,2.357142857
AM-229,24.76923077,0,1,0.923076923,0,0.038461538,0.038461538,0,0,1.884615385,1.846153846,3.48,2.307692308,1.884615385,2.884615385,1.538461538,3,4.576923077,4.19047619,2.24,1.52,2.461538462,3.192307692,2.615384615
AM-230,28.95454545,0,1,0.869565217,0,0.086956522,0.043478261,0,0,1.782608696,2.652173913,2.173913043,2.695652174,2.434782609,2.904761905,1.739130435,2.043478261,4.434782609,3.744186047,2.130434783,1.47826087,2.47826087,3.086956522,2.260869565
AM-231,26.93103448,0,1,0.931034483,0,0,0.068965517,0,0,1.24137931,1.25,3.571428571,2.689655172,1.275862069,2.25,1.379310345,4.068965517,4.448275862,2.488372093,1.413793103,1.586206897,1.620689655,3.862068966,2.034482759
AM-232,27.30769231,0.038461538,0.961538462,0.423076923,0,0.384615385,0.153846154,0.038461538,0,2.230769231,3.115384615,2.16,2.192307692,2.038461538,2.5,1.153846154,1.615384615,4.230769231,2.186046512,2.730769231,1.461538462,2.615384615,3,2.384615385
AM-233,41.17857143,0,1,0.678571429,0,0,0.25,0,0.071428571,1.464285714,1.392857143,1.857142857,1.714285714,1.357142857,2.5,1.153846154,2.428571429,3.964285714,2.837209302,1.75,1.5,1.928571429,3.178571429,2.607142857
AM-234,27.26923077,0,1,0.923076923,0,0.038461538,0.038461538,0,0,1.538461538,2,2.692307692,2.04,2.153846154,2.576923077,1.653846154,2.384615385,4.192307692,3.162790698,1.72,1.653846154,2.038461538,3.307692308,2.538461538
AM-235,35.16,0,1,0.04,0.04,0.68,0.2,0.04,0,1.84,1.958333333,2.36,3.04,1.84,2.84,1.52,2.083333333,4.72,1.186046512,2.32,1.416666667,2.2,3.4,2.12
AM-236,31.75,0,1,0.892857143,0,0.071428571,0.035714286,0,0,1.892857143,1.464285714,2.888888889,2.607142857,1.571428571,2.464285714,1.428571429,2.321428571,4.392857143,2.604651163,2.178571429,1.821428571,1.5,3.62962963,1.892857143
AM-237,29.44,0,1,0.923076923,0,0,0.076923077,0,0,2.653846154,2,3.269230769,2.230769231,2.692307692,2.615384615,2,2.307692308,4.038461538,3.651162791,2.576923077,2.038461538,1.923076923,3.423076923,2.615384615
AM-238,27.42307692,0,1,0.961538462,0,0,0,0,0.038461538,2.153846154,2.64,3.12,2.269230769,2.038461538,3.153846154,1.769230769,2.038461538,4.291666667,4.255813953,2.730769231,1.961538462,2.269230769,3.576923077,2.153846154
AM-239,35.6,0.04,0.96,1,0,0,0,0,0,1.72,2.32,3.24,2.16,2.08,2.92,1.92,2.16,4.625,4.093023256,2.04,1.76,2.16,3.64,2.92
AM-240,34.42307692,0,1,0.961538462,0,0,0.038461538,0,0,1.28,1.576923077,2.36,2.346153846,1.384615385,2.04,1.384615385,2.192307692,3.625,3.813953488,1.961538462,1.307692308,1.538461538,3,1.730769231
AM-241,37.38461538,0,1,0.884615385,0,0,0.076923077,0,0.038461538,1.576923077,1.538461538,3.538461538,2,1.5,3.576923077,1.576923077,3.730769231,4.807692308,3.209302326,1.72,2.28,1.423076923,4.153846154,2.153846154
AM-242,29.36,0,1,0.96,0,0,0.04,0,0,1.16,1.2,2.4,2.24,1.44,2.041666667,1.48,2.64,3.96,3.720930233,1.56,1.24,1.16,4.16,2.12
AM-243,23.88,0,1,0.44,0,0.32,0.2,0,0.04,1.92,1.88,3.68,3.28,1.92,2.2,1.96,2.72,4,1.76744186,2.04,1.72,1.791666667,3.36,2.24
AM-244,25.67857143,0,1,0.107142857,0,0.321428571,0.428571429,0.071428571,0.071428571,2.035714286,1.964285714,2.678571429,2.142857143,1.714285714,2.464285714,1.464285714,2,4.142857143,1.465116279,2.518518519,1.518518519,2.142857143,2.814814815,4.75
AM-245,25.73076923,0,1,0.384615385,0,0.346153846,0.192307692,0.076923077,0,1.807692308,2,3.6,2.307692308,1.28,2.6,1.28,2.28,4.038461538,2.209302326,2.153846154,1.269230769,1.307692308,3.538461538,1.5
AM-246,29.07142857,0,1,0.928571429,0,0.035714286,0,0,0.035714286,1.607142857,1.642857143,3.074074074,2.925925926,1.678571429,2.607142857,1.892857143,2.892857143,4.107142857,2.860465116,2.037037037,1.518518519,1.321428571,3.75,2.142857143
AM-247,35.875,0,1,0.458333333,0,0.375,0.125,0.041666667,0,2.791666667,2.217391304,2.375,3.083333333,2.458333333,2.391304348,1.666666667,2.130434783,4.333333333,1.697674419,4.333333333,1.875,2,3.041666667,2.25
AM-248,33.84615385,0,1,0.923076923,0,0.038461538,0.038461538,0,0,1.192307692,1.458333333,2.846153846,1.423076923,1.384615385,2.576923077,1.538461538,2.307692308,4.423076923,3.255813953,1.692307692,1.538461538,1.92,3.538461538,2.230769231
AM-249,23.66666667,0.041666667,0.958333333,0.875,0,0.041666667,0.083333333,0,0,1.333333333,2.375,2.541666667,2.833333333,1.958333333,2.833333333,1.791666667,1.541666667,3.583333333,3.069767442,2.25,1.458333333,2.166666667,2.541666667,2.333333333
AM-250,25.88461538,0,1,0.846153846,0,0.076923077,0.038461538,0,0.038461538,2.153846154,2.730769231,3.076923077,2.64,2.423076923,2.807692308,2.038461538,2.461538462,4.52,2.209302326,2.461538462,1.92,2.307692308,3.384615385,2.16
AM-251,28.65384615,0.038461538,0.961538462,0.961538462,0,0,0.038461538,0,0,1.5,4.038461538,2.461538462,1.576923077,2.846153846,3.346153846,1.153846154,1.538461538,4.88,3.627906977,2.038461538,1.16,3.192307692,2.961538462,2
AM-252,23.32,0,1,0.8,0,0,0.2,0,0,1.76,2.08,2.64,2.4,1.72,2.84,1.92,1.76,3.48,3.441860465,2.4,1.56,2.16,3.48,2.2
AM-253,25.03448276,0,1,0.620689655,0,0.206896552,0.137931034,0,0.034482759,1.689655172,2.068965517,3.862068966,2.655172414,1.448275862,2.827586207,1.586206897,3.035714286,4.344827586,2.534883721,1.535714286,1.5,1.896551724,3.827586207,2.137931034
BF-001,28.49438202,1,0,0,1,0,0,0,0,2.078651685,2.348314607,2.730337079,2.539325843,2.056179775,2,3.887640449,2.258426966,2.606741573,3.953488372,2.629213483,1.550561798,2,3.685393258,2.247191011
BF-002,21.34408602,1,0,0,0.978494624,0,0.010752688,0.010752688,0,1.827956989,2.150537634,4.892473118,2.630434783,1.795698925,2.148148148,5.397849462,2.827956989,1.559139785,3.756756757,2.376344086,1.559139785,1.76344086,4.021978022,2.129032258
BF-003,25.80898876,0.988764045,0.011235955,0.011235955,0.606741573,0.134831461,0.06741573,0.168539326,0.011235955,1.595505618,1.561797753,3.191011236,3.685393258,1.426966292,2.185185185,4.191011236,3.415730337,1.865168539,3.365853659,1.887640449,1.853932584,1.483146067,3.797752809,1.831460674
BF-004,26.98369565,1,0,0,1,0,0,0,0,2.522222222,3.077777778,2.711111111,2.377777778,2.7,2.615384615,3.744444444,1.788888889,2.5,4.048780488,3.844444444,1.677777778,2.588888889,3.303370787,2.288888889
BF-005,28.12087912,1,0,0,0.813186813,0.076923077,0.054945055,0.054945055,0,1.747252747,2.406593407,4.076923077,2.032967033,2.32967033,3.107142857,4.791208791,2.901098901,1.857142857,3,2.277777778,1.681318681,1.922222222,3.747252747,2.318681319
BF-006,27.92631579,0.989361702,0.010638298,0.010526316,0.957894737,0.010526316,0,0.021052632,0,1.858695652,1.880434783,3.380434783,3.141304348,1.72826087,2.740740741,4.532608696,3.630434783,2.434782609,3.955555556,2.326086957,2.054347826,1.902173913,3.846153846,2.395604396
BF-007,30.51086957,0.97826087,0.02173913,0,0.97826087,0,0.010869565,0.010869565,0,2.725274725,2.813186813,1.769230769,2.164835165,2.747252747,2.652173913,3.197802198,1.604395604,3,3.909090909,4.164835165,1.813186813,2.577777778,2.835164835,2.555555556
BF-008,24.57471264,1,0,0,0.988505747,0.011494253,0,0,0,1.850574713,2.091954023,3.068965517,2.735632184,2.046511628,2.4,3.988505747,3.103448276,2.344827586,3.585365854,2.563218391,1.873563218,2.264367816,3.32183908,2.651162791
BF-009,30.07446809,1,0,0.010752688,0.956989247,0.010752688,0.010752688,0.010752688,0,2,2.784946237,2.77173913,2,2.804347826,2.730769231,3.795698925,2.064516129,2.505376344,3.596153846,2.677419355,2.365591398,2.554347826,3.301075269,2.193548387
BF-010,29.2,1,0,0,1,0,0,0,0,1.777777778,1.844444444,2.722222222,1.911111111,1.933333333,2.178571429,4.1,3.444444444,2.544444444,3.743589744,2.511111111,1.788888889,1.733333333,3.9,2.622222222
BF-011,28.58510638,1,0,0,0.978723404,0.010638298,0.010638298,0,0,2.591397849,2.698924731,2.989247312,2.150537634,2.559139785,2.62962963,4.054945055,2.279569892,2.537634409,3.795454545,2.440860215,3.096774194,2.387096774,3.129032258,3.053763441
BF-012,26.77659574,0.989361702,0.010638298,0,0.946808511,0,0.010638298,0.042553191,0,2.569892473,3.333333333,2.161290323,2.88172043,3.032258065,3.28,3.290322581,1.827956989,3.086021505,3.875,3.516129032,1.741935484,2.903225806,3.043010753,2.946236559
BF-013,18.31521739,1,0,0.010989011,0.945054945,0.021978022,0.010989011,0.010989011,0,1.866666667,1.808988764,4.777777778,3.988888889,1.688888889,2.392857143,5.466666667,3.533333333,1.477777778,3.139534884,2.055555556,1.811111111,1.655555556,3.888888889,2.157303371
BF-014,27.22988506,0.977011494,0.022988506,0,0.954022989,0.034482759,0.011494253,0,0,2.639534884,2.604651163,2.406976744,2.802325581,2.406976744,2.625,3.802325581,1.825581395,2.255813953,3.361702128,3.752941176,1.604651163,2.058823529,3.162790698,2.058139535
BF-015,29.53608247,0.989795918,0.010204082,0.010204082,0.908163265,0.030612245,0.020408163,0.030612245,0,2.556701031,3.536082474,3.721649485,2.0625,2.804123711,3.4,4.690721649,1.969072165,2.3125,3.15,3.319587629,1.886597938,2.865979381,3.072164948,3.567010309
BF-016,27.09302326,1,0,0.011627907,0.930232558,0.023255814,0.023255814,0.011627907,0,2.226190476,3.285714286,2.476190476,2.976190476,2.869047619,3.25,4.120481928,2.05952381,2.428571429,3.631578947,3.25,1.879518072,2.746987952,3.226190476,2.845238095
BF-017,34.26966292,0.988764045,0.011235955,0,1,0,0,0,0,1.852272727,1.738636364,2.988636364,2.409090909,1.693181818,2.230769231,4.284090909,3.284090909,2.181818182,4.173913043,2.125,2.091954023,1.681818182,3.83908046,1.886363636
BF-018,26.9010989,0.978021978,0.021978022,0,0.977777778,0,0.011111111,0.011111111,0,1.966666667,1.911111111,3.444444444,3.213483146,1.855555556,2.888888889,4.611111111,3.144444444,2.033333333,3.769230769,2.544444444,1.744444444,1.711111111,3.788888889,2.055555556
BF-019,29.7032967,1,0,0,0.943820225,0.033707865,0.011235955,0.011235955,0,1.912087912,2.449438202,2.615384615,2.736263736,2.211111111,2.72,4.010989011,2.626373626,2.494505495,3.978723404,2.505494505,1.78021978,2.373626374,3.450549451,2.340659341
BF-020,26.45744681,0.827956989,0.172043011,0,0.914893617,0.031914894,0.031914894,0.021276596,0,1.808510638,1.698924731,2.64893617,2.808510638,1.734042553,2.269230769,3.446808511,3.989361702,3.308510638,3.615384615,2.043010753,1.827956989,1.861702128,3.870967742,3.085106383
BF-021,26.40860215,1,0,0,1,0,0,0,0,2.065217391,2.77173913,3.054347826,2.769230769,2.456521739,2.620689655,3.989130435,2.22826087,2.402173913,4.108108108,3.010989011,1.695652174,2.27173913,3.25,2.043478261
BF-023,30.75,1,0,0,0.945652174,0.010869565,0.010869565,0.032608696,0,2.989010989,2.747252747,2.857142857,2.032967033,2.32967033,2.807692308,3.911111111,1.835164835,2.384615385,3.34,3.307692308,2.153846154,2.373626374,3.230769231,2.263736264
BF-024,36.30769231,0.989010989,0.010989011,0,0.989010989,0,0.010989011,0,0,2.3,2.9,2.3,1.522222222,2.722222222,3.461538462,3.5,1.788888889,2.711111111,4.045454545,3.422222222,1.633333333,2.633333333,3.101123596,1.777777778
BF-025,25.27659574,1,0,0,0.957446809,0.021276596,0.021276596,0,0,1.914893617,2.159574468,3.70212766,3.414893617,2.150537634,2.730769231,4.659574468,3.276595745,2.095744681,3.318181818,2.510638298,2.074468085,1.882978723,3.817204301,2.382978723
BF-027,38,0.989247312,0.010752688,0,1,0,0,0,0,2.053763441,2.021505376,3,2.204301075,1.836956522,3.038461538,4.365591398,3.086956522,2.182795699,4.19047619,2.369565217,2.086021505,2.086021505,3.706521739,2.150537634
BF-028,22.62365591,1,0,0,1,0,0,0,0,1.559139785,1.677419355,3.731182796,3.623655914,1.52688172,1.851851852,4.655913978,3.688172043,1.64516129,4.214285714,1.827956989,1.619565217,1.569892473,4.075268817,1.935483871
BF-029,23.13483146,0.715909091,0.284090909,0,0.988764045,0,0,0.011235955,0,3.023529412,3.290697674,2.11627907,3.441860465,2.670588235,3.384615385,3.104651163,1.952941176,3.581395349,4.4,2.76744186,2.811764706,3.26744186,3.105882353,3.337209302
BF-030,22.97894737,0.989473684,0.010526316,0,0.957894737,0.021052632,0,0.021052632,0,2.075268817,2.086021505,3.741935484,2.935483871,2.075268817,2.655172414,4.720430108,2.698924731,2.11827957,3.642857143,2.666666667,2.043010753,1.967741935,3.72826087,2.397849462
BF-031,26.33695652,0.978021978,0.021978022,0.010869565,0.956521739,0,0.010869565,0.02173913,0,2.086956522,2.755555556,3.02173913,2.597826087,2.351648352,3.037037037,4.260869565,1.695652174,2.152173913,3.780487805,3.391304348,1.489130435,2.510869565,3.239130435,2.130434783
BF-032,30.48958333,0.979166667,0.020833333,0,0.989583333,0,0,0,0.010416667,1.968421053,2.726315789,2.357894737,2.968421053,2.389473684,3.615384615,3.652631579,2.542553191,2.736842105,4.487804878,2.578947368,2.115789474,2.357894737,3.357894737,3.147368421
BF-033,28.95744681,0.978723404,0.021276596,0,0.989361702,0.010638298,0,0,0,1.861702128,1.787234043,2.436170213,2.840425532,1.70212766,2.172413793,3.308510638,2.829787234,3.106382979,4.441860465,2.29787234,1.70212766,1.936170213,3.478723404,2.457446809
BF-034,26.29896907,0.948453608,0.051546392,0.010309278,0.969072165,0,0.010309278,0.010309278,0,2.28125,3.103092784,2.237113402,2.989583333,2.536082474,4.08,3.164948454,2.18556701,3.206185567,4.510638298,2.659793814,1.773195876,2.721649485,3.164948454,2.525773196
BF-035,19,0.341176471,0.658823529,0,0.964705882,0,0.023529412,0.011764706,0,1.717647059,2.117647059,2.658823529,3.05952381,1.635294118,2.84,2.341176471,2.329411765,4.152941176,4.219512195,2.176470588,1.647058824,2.517647059,3.164705882,2.682352941
BF-036,23.2,0.988888889,0.011111111,0,0.911111111,0.022222222,0.033333333,0.022222222,0.011111111,2.123595506,1.920454545,3.719101124,2.943820225,2.146067416,1.863636364,4.460674157,2.741573034,1.887640449,3.136363636,2.505617978,2.292134831,1.719101124,3.775280899,1.93258427
BF-037,25.46067416,0.988505747,0.011494253,0,1,0,0,0,0,2.586206897,2.287356322,2.941176471,2.896551724,2.195402299,2,4.252873563,2.218390805,2.172413793,4.152173913,3.195402299,2.091954023,2.08045977,3.418604651,2.137931034
