,Race,Gender,Age,NumberofRaters,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Luminance_median
AF-242,A,F,27.03571429,27,1,0,0.888888889,0,0,0.111111111,0,0,1.464285714,2.535714286,2.357142857,1.928571429,2.678571429,5.518518519,1.928571429,1.321428571,3.404255319,2.035714286,.,1.346153846,1.678571429,3.642857143,2.428571429,158
AF-243,A,F,26.75862069,29,1,0,0.689655172,0,0.24137931,0.068965517,0,0,2.310344828,2.310344828,3,2.034482759,2.275862069,5.137931034,3.517241379,1.571428571,2.765957447,2.413793103,.,2.142857143,1.857142857,4.275862069,2.448275862,177
AF-244,A,F,29.20833333,24,0.958333333,0.041666667,0.875,0,0.083333333,0,0,0.041666667,1.583333333,1.583333333,2.434782609,1.375,2.375,5.458333333,4.416666667,1.318181818,3.319148936,1.695652174,.,1.708333333,1.583333333,4.5,2.041666667,168.5
AF-245,A,F,30.22222222,27,1,0,0.925925926,0,0,0.037037037,0.037037037,0,1.666666667,1.777777778,2.555555556,1.444444444,2.84,5.037037037,3.692307692,1.703703704,3.212765957,2.037037037,.,2,1.62962963,3.740740741,2.730769231,167
AF-246,A,F,25,27,0.962962963,0.037037037,0.962962963,0,0,0,0,0.037037037,1.407407407,1.333333333,2.740740741,1.37037037,2,4.740740741,3.962962963,1.962962963,4.260869565,1.653846154,.,1.481481481,1.37037037,3.925925926,2.423076923,167
AF-247,A,F,25.96428571,28,1,0,0.857142857,0,0,0.107142857,0.035714286,0,2.428571429,2.037037037,2.464285714,2.428571429,1.964285714,4.071428571,2.321428571,2,2.638297872,2.607142857,.,1.642857143,1.714285714,3.928571429,2.321428571,160.5
AF-248,A,F,34.17241379,29,1,0,0.724137931,0,0.068965517,0.172413793,0.034482759,0,1.517241379,1.448275862,1.551724138,1.482758621,2.379310345,5.464285714,3.344827586,1.413793103,2.744680851,1.586206897,.,1.586206897,1.310344828,3.931034483,2.137931034,140.5
AF-249,A,F,26,25,1,0,0.84,0,0.04,0.08,0.04,0,1.52,2.16,2.12,1.92,2.52,5.24,2.208333333,1.32,3.543478261,2.04,.,1.56,1.916666667,4.04,2.52,157
AF-250,A,F,25.10344828,29,1,0,0.586206897,0,0.068965517,0.275862069,0.068965517,0,2,1.931034483,3.137931034,1.827586207,2.172413793,4.892857143,2.620689655,1.551724138,1.914893617,1.931034483,.,1.862068966,1.75862069,3.689655172,2.586206897,140
AF-251,A,F,22.64285714,28,0.964285714,0.035714286,0.357142857,0.071428571,0,0.535714286,0.035714286,0,1.821428571,1.814814815,3.142857143,1.964285714,2.259259259,5.25,2.107142857,1.214285714,2.127659574,2.071428571,.,1.821428571,1.857142857,3.678571429,3.107142857,133.5
AF-252,A,F,22.34482759,29,1,0,0.862068966,0,0.068965517,0.068965517,0,0,1.896551724,1.655172414,3.137931034,1.75862069,1.931034483,5.586206897,3.482758621,1.655172414,2.553191489,2.034482759,.,1.827586207,1.551724138,4.464285714,2.482758621,158
AF-253,A,F,25.55172414,29,1,0,1,0,0,0,0,0,1.206896552,1.24137931,3.379310345,1.206896552,1.827586207,5.586206897,3.75862069,1.310344828,4.422222222,1.392857143,.,1.344827586,1.103448276,4.068965517,2.103448276,163
AF-254,A,F,37.12,25,1,0,0.92,0,0.08,0,0,0,1.708333333,2.333333333,2,1.84,2.24,5.4,2.56,1.36,2.765957447,2.04,.,1.76,1.8,3.4,2.16,156.5
AF-255,A,F,26,24,1,0,0.958333333,0,0,0.041666667,0,0,1.96,3.12,1.96,2.56,3.24,5.48,2.2,1.52,3.893617021,2.48,.,1.32,2.28,3.32,2.24,165
AF-256,A,F,24,22,1,0,0.863636364,0,0,0.090909091,0.045454545,0,1.545454545,1.954545455,3,1.454545455,1.681818182,4.409090909,1.909090909,1.285714286,2.787234043,1.863636364,.,1.409090909,1.590909091,2.954545455,1.772727273,185.5
AM-201,A,M,23.8,25,0.04,0.96,1,0,0,0,0,0,1.24,2.52,2.625,2.04,2.48,1.541666667,1.48,4,4.558139535,2.4,.,1.36,1.76,3.12,1.88,166
AM-202,A,M,26.22222222,26,0,1,0.846153846,0,0.038461538,0.076923077,0.038461538,0,1.846153846,2.888888889,2.296296296,2.296296296,2.730769231,1.538461538,1.592592593,4.074074074,3.348837209,2.259259259,.,1.576923077,2.37037037,3.148148148,2.037037037,137.5
AM-203,A,M,26.54166667,24,0,1,0.958333333,0,0,0.041666667,0,0,1.708333333,1.583333333,3.041666667,1.47826087,1.875,2.083333333,2.291666667,3.608695652,3.930232558,1.958333333,.,1.25,1.416666667,3.666666667,2,159.5
AM-204,A,M,23.91666667,24,0,1,0.583333333,0,0.083333333,0.291666667,0.041666667,0,1.833333333,1.625,3.625,1.347826087,2.041666667,2.130434783,2.695652174,3.608695652,2.279069767,1.916666667,.,1.916666667,1.458333333,3.75,1.833333333,173
AM-205,A,M,34.83333333,24,0,1,0.958333333,0,0,0.041666667,0,0,1.916666667,2.130434783,2.083333333,1.708333333,2.625,1.416666667,2.869565217,4.166666667,4.23255814,2,.,1.833333333,2.166666667,3.875,2.125,162.5
AM-206,A,M,26.92857143,28,0.035714286,0.964285714,0.857142857,0,0.071428571,0.071428571,0,0,1.785714286,2.678571429,2.428571429,2.107142857,3.111111111,1.428571429,2.142857143,4.607142857,3.333333333,1.964285714,.,1.785714286,2.678571429,2.821428571,2.214285714,143.5
AM-207,A,M,25.91666667,24,0,1,0.958333333,0,0,0.041666667,0,0,1.652173913,1.708333333,2.416666667,1.5,2.666666667,1.458333333,3.75,4.5,3.674418605,1.458333333,.,1.608695652,1.565217391,3.833333333,2.083333333,156.5
AM-208,A,M,23.32142857,28,0,1,0.607142857,0,0.25,0.071428571,0.035714286,0.035714286,1.428571429,1.535714286,2.392857143,1.75,1.925925926,1.464285714,1.740740741,4,2.348837209,2.178571429,.,1.142857143,1.785714286,2.892857143,1.642857143,142
AM-209,A,M,27.75,28,0,1,0.964285714,0,0,0.035714286,0,0,1.592592593,1.428571429,2.678571429,1.214285714,2.296296296,1.428571429,2.75,4.25,3.930232558,1.785714286,.,1.5,1.428571429,3.888888889,1.428571429,146.5
AM-210,A,M,21.04761905,21,0,1,1,0,0,0,0,0,2,2.25,3.7,1.952380952,2.428571429,2.285714286,2.619047619,4.19047619,4.581395349,2.571428571,.,1.714285714,2.238095238,4.476190476,2.476190476,155
AM-211,A,M,26.32142857,28,0,1,0.5,0,0.178571429,0.25,0.071428571,0,1.333333333,1.851851852,2.148148148,1.321428571,3.111111111,1.428571429,2.37037037,4.25,1.953488372,1.535714286,.,1.407407407,1.571428571,3.464285714,2.071428571,115
AM-212,A,M,25.55555556,27,0,1,0.37037037,0,0.333333333,0.259259259,0.037037037,0,1.925925926,3.222222222,3.307692308,2.259259259,3.222222222,1.259259259,2.296296296,4.703703704,1.88372093,2.037037037,.,1.653846154,2.925925926,2.814814815,2.555555556,124.5
AM-213,A,M,28.07142857,28,0,1,1,0,0,0,0,0,1.785714286,2.321428571,2.285714286,2.111111111,3.25,1.285714286,2.178571429,3.964285714,4.465116279,2.285714286,.,1.678571429,2.428571429,3.142857143,2.185185185,164.5
AM-214,A,M,29.22222222,27,0,1,0.074074074,0.037037037,0.259259259,0.222222222,0.407407407,0,1.925925926,2.259259259,2.592592593,1.814814815,3.222222222,1.925925926,2.851851852,4.62962963,1.511627907,2.259259259,.,1.666666667,2.444444444,3.407407407,2.925925926,119
AM-215,A,M,57.33333333,27,0,1,0.962962963,0,0.037037037,0,0,0,1.884615385,1.518518519,1.851851852,2.037037037,2.074074074,1.407407407,2.192307692,4.074074074,3.813953488,2.333333333,.,1.592592593,1.555555556,4.307692308,1.962962963,151.5
AM-216,A,M,28.48,25,0,1,0.6,0,0.12,0.24,0,0.04,1.24,1.72,2.875,1.52,3,1.6,3.24,4.68,2,1.48,.,1.32,1.76,3.88,1.68,156.5
AM-217,A,M,43,26,0,1,0.538461538,0,0.076923077,0.307692308,0.038461538,0.038461538,1.615384615,3.076923077,1.307692308,2.538461538,3.269230769,1.384615385,1.576923077,4.538461538,2.255813953,2.615384615,.,1.461538462,3.115384615,3,2.64,160.5
AM-218,A,M,33.59259259,28,0,1,0.785714286,0,0.107142857,0.071428571,0,0.035714286,1.25,1.357142857,1.964285714,1.535714286,2.357142857,1.25,2.857142857,4.148148148,3.023255814,1.392857143,.,1.464285714,1.392857143,3.464285714,1.642857143,162.5
AM-219,A,M,36.9,30,0,1,0.633333333,0,0.1,0.166666667,0.1,0,1.933333333,3.9,1.533333333,3.033333333,4.133333333,1.466666667,1.482758621,4.137931034,2.860465116,2.551724138,.,1.433333333,3.833333333,2.3,2.8,156
AM-220,A,M,23.79310345,29,0,1,0.551724138,0,0.24137931,0.172413793,0.034482759,0,1.793103448,2.862068966,2.75862069,2.357142857,2.642857143,1.344827586,1.655172414,4.137931034,2.581395349,2.344827586,.,1.482758621,2.379310345,2.862068966,2.275862069,158.5
AM-221,A,M,24.11538462,26,0,1,0.961538462,0,0.038461538,0,0,0,1.884615385,2.423076923,2.846153846,2.461538462,3.043478261,1.807692308,1.6,4.615384615,3.023255814,3.076923077,.,1.269230769,2.576923077,2.846153846,2.384615385,162
AM-223,A,M,21.92592593,27,0,1,0.851851852,0,0.037037037,0.111111111,0,0,1.740740741,1.962962963,2,1.62962963,1.740740741,1.259259259,2,3.56,3.11627907,2.148148148,.,1.814814815,1.555555556,3.185185185,1.962962963,141
AM-224,A,M,28.96,25,0.04,0.96,0.88,0,0.04,0.04,0.04,0,1.48,3.04,2.04,2.8,2.708333333,1.48,1.52,3.6,3.11627907,3.2,.,1.4,1.84,2.88,3.76,148
AM-225,A,M,24.68,25,0,1,0.72,0,0.16,0.08,0,0.04,1.92,2.08,2.84,2.04,2.72,1.48,2.28,4.64,2.372093023,2.25,.,1.52,2.08,3.6,1.68,146.5
AM-226,A,M,46.81818182,22,0,1,0.863636364,0,0.045454545,0.045454545,0,0.045454545,1.909090909,2.590909091,2.090909091,1.818181818,3.590909091,1.272727273,2.045454545,4.681818182,3.465116279,2.727272727,.,1.409090909,2.136363636,3.409090909,1.636363636,143.5
AM-227,A,M,41.42307692,26,0,1,0.923076923,0,0.076923077,0,0,0,1.4,2.076923077,1.538461538,1.384615385,3,1.038461538,1.884615385,4.730769231,4,1.807692308,.,1.2,1.88,2.769230769,1.692307692,160.5
AM-228,A,M,25.32142857,28,0,1,0.928571429,0,0.071428571,0,0,0,1.642857143,2.222222222,2.642857143,1.821428571,2.678571429,1.535714286,2.535714286,4.214285714,3.744186047,2.259259259,.,1.571428571,1.851851852,3.464285714,2.357142857,170
AM-229,A,M,24.76923077,26,0,1,0.923076923,0,0.038461538,0.038461538,0,0,1.884615385,1.846153846,2.307692308,1.884615385,2.884615385,1.538461538,3,4.576923077,4.19047619,2.24,.,1.52,2.461538462,3.192307692,2.615384615,166
AM-230,A,M,28.95454545,23,0,1,0.869565217,0,0.086956522,0.043478261,0,0,1.782608696,2.652173913,2.695652174,2.434782609,2.904761905,1.739130435,2.043478261,4.434782609,3.744186047,2.130434783,.,1.47826087,2.47826087,3.086956522,2.260869565,169
AM-231,A,M,26.93103448,29,0,1,0.931034483,0,0,0.068965517,0,0,1.24137931,1.25,2.689655172,1.275862069,2.25,1.379310345,4.068965517,4.448275862,2.488372093,1.413793103,.,1.586206897,1.620689655,3.862068966,2.034482759,170
AM-232,A,M,27.30769231,26,0.038461538,0.961538462,0.423076923,0,0.384615385,0.153846154,0.038461538,0,2.230769231,3.115384615,2.192307692,2.038461538,2.5,1.153846154,1.615384615,4.230769231,2.186046512,2.730769231,.,1.461538462,2.615384615,3,2.384615385,151
AM-233,A,M,41.17857143,28,0,1,0.678571429,0,0,0.25,0,0.071428571,1.464285714,1.392857143,1.714285714,1.357142857,2.5,1.153846154,2.428571429,3.964285714,2.837209302,1.75,.,1.5,1.928571429,3.178571429,2.607142857,162.5
AM-234,A,M,27.26923077,26,0,1,0.923076923,0,0.038461538,0.038461538,0,0,1.538461538,2,2.04,2.153846154,2.576923077,1.653846154,2.384615385,4.192307692,3.162790698,1.72,.,1.653846154,2.038461538,3.307692308,2.538461538,162.5
AM-235,A,M,35.16,25,0,1,0.04,0.04,0.68,0.2,0.04,0,1.84,1.958333333,3.04,1.84,2.84,1.52,2.083333333,4.72,1.186046512,2.32,.,1.416666667,2.2,3.4,2.12,152
AM-236,A,M,31.75,28,0,1,0.892857143,0,0.071428571,0.035714286,0,0,1.892857143,1.464285714,2.607142857,1.571428571,2.464285714,1.428571429,2.321428571,4.392857143,2.604651163,2.178571429,.,1.821428571,1.5,3.62962963,1.892857143,159
AM-237,A,M,29.44,26,0,1,0.923076923,0,0,0.076923077,0,0,2.653846154,2,2.230769231,2.692307692,2.615384615,2,2.307692308,4.038461538,3.651162791,2.576923077,.,2.038461538,1.923076923,3.423076923,2.615384615,170
AM-238,A,M,27.42307692,26,0,1,0.961538462,0,0,0,0,0.038461538,2.153846154,2.64,2.269230769,2.038461538,3.153846154,1.769230769,2.038461538,4.291666667,4.255813953,2.730769231,.,1.961538462,2.269230769,3.576923077,2.153846154,175
AM-239,A,M,35.6,25,0.04,0.96,1,0,0,0,0,0,1.72,2.32,2.16,2.08,2.92,1.92,2.16,4.625,4.093023256,2.04,.,1.76,2.16,3.64,2.92,171
AM-240,A,M,34.42307692,26,0,1,0.961538462,0,0,0.038461538,0,0,1.28,1.576923077,2.346153846,1.384615385,2.04,1.384615385,2.192307692,3.625,3.813953488,1.961538462,.,1.307692308,1.538461538,3,1.730769231,169
AM-241,A,M,37.38461538,26,0,1,0.884615385,0,0,0.076923077,0,0.038461538,1.576923077,1.538461538,2,1.5,3.576923077,1.576923077,3.730769231,4.807692308,3.209302326,1.72,.,2.28,1.423076923,4.153846154,2.153846154,152.5
AM-242,A,M,29.36,25,0,1,0.96,0,0,0.04,0,0,1.16,1.2,2.24,1.44,2.041666667,1.48,2.64,3.96,3.720930233,1.56,.,1.24,1.16,4.16,2.12,159.5
AM-243,A,M,23.88,25,0,1,0.44,0,0.32,0.2,0,0.04,1.92,1.88,3.28,1.92,2.2,1.96,2.72,4,1.76744186,2.04,.,1.72,1.791666667,3.36,2.24,152
AM-244,A,M,25.67857143,28,0,1,0.107142857,0,0.321428571,0.428571429,0.071428571,0.071428571,2.035714286,1.964285714,2.142857143,1.714285714,2.464285714,1.464285714,2,4.142857143,1.465116279,2.518518519,.,1.518518519,2.142857143,2.814814815,4.75,134
AM-245,A,M,25.73076923,26,0,1,0.384615385,0,0.346153846,0.192307692,0.076923077,0,1.807692308,2,2.307692308,1.28,2.6,1.28,2.28,4.038461538,2.209302326,2.153846154,.,1.269230769,1.307692308,3.538461538,1.5,149
AM-246,A,M,29.07142857,28,0,1,0.928571429,0,0.035714286,0,0,0.035714286,1.607142857,1.642857143,2.925925926,1.678571429,2.607142857,1.892857143,2.892857143,4.107142857,2.860465116,2.037037037,.,1.518518519,1.321428571,3.75,2.142857143,156
AM-247,A,M,35.875,24,0,1,0.458333333,0,0.375,0.125,0.041666667,0,2.791666667,2.217391304,3.083333333,2.458333333,2.391304348,1.666666667,2.130434783,4.333333333,1.697674419,4.333333333,.,1.875,2,3.041666667,2.25,159
AM-248,A,M,33.84615385,26,0,1,0.923076923,0,0.038461538,0.038461538,0,0,1.192307692,1.458333333,1.423076923,1.384615385,2.576923077,1.538461538,2.307692308,4.423076923,3.255813953,1.692307692,.,1.538461538,1.92,3.538461538,2.230769231,147.5
AM-249,A,M,23.66666667,24,0.041666667,0.958333333,0.875,0,0.041666667,0.083333333,0,0,1.333333333,2.375,2.833333333,1.958333333,2.833333333,1.791666667,1.541666667,3.583333333,3.069767442,2.25,.,1.458333333,2.166666667,2.541666667,2.333333333,157
AM-250,A,M,25.88461538,26,0,1,0.846153846,0,0.076923077,0.038461538,0,0.038461538,2.153846154,2.730769231,2.64,2.423076923,2.807692308,2.038461538,2.461538462,4.52,2.209302326,2.461538462,.,1.92,2.307692308,3.384615385,2.16,165
AM-251,A,M,28.65384615,26,0.038461538,0.961538462,0.961538462,0,0,0.038461538,0,0,1.5,4.038461538,1.576923077,2.846153846,3.346153846,1.153846154,1.538461538,4.88,3.627906977,2.038461538,.,1.16,3.192307692,2.961538462,2,143
AM-252,A,M,23.32,25,0,1,0.8,0,0,0.2,0,0,1.76,2.08,2.4,1.72,2.84,1.92,1.76,3.48,3.441860465,2.4,.,1.56,2.16,3.48,2.2,151
