imgName,FA,CA,AV
../../../cfd/AM-237-N.jpg,3477.5538662,467.485867942,147.763416003
../../../cfd/AM-238-N.jpg,3601.15397409,467.187465439,95.2200723072
../../../cfd/AM-239-N.jpg,3855.02796869,510.265123258,267.867301078
../../../cfd/AM-240-N.jpg,3316.40908547,471.460808014,224.958423924
../../../cfd/AM-241-N.jpg,3484.68595206,438.947344347,143.889963407
../../../cfd/AM-242-N.jpg,3621.38188575,490.972821043,120.562766461
../../../cfd/AM-243-N.jpg,3638.43774181,441.971416648,138.831114285
../../../cfd/AM-244-N.jpg,3499.0418903,476.573873822,130.690908309
../../../cfd/AM-245-N.jpg,3518.19718726,497.977760039,87.6605897387
../../../cfd/AM-246-N.jpg,3397.88774934,451.410428465,106.86810749
../../../cfd/AM-247-N.jpg,3414.69357181,502.682774824,278.067351869
../../../cfd/AM-248-N.jpg,3525.02331011,415.92901351,157.690583543
../../../cfd/AM-249-N.jpg,3323.85749268,489.110265988,199.138641784
../../../cfd/AM-250-N.jpg,3310.99809618,457.23830781,173.537199556
../../../cfd/AM-251-N.jpg,3592.41408547,488.584173382,112.569238067
../../../cfd/AM-252-N.jpg,3345.69906704,444.22427178,140.95064378
../../../cfd/AM-253-N.jpg,3565.71129216,468.289357534,108.754154612
../../../cfd/BF-001-N.jpg,3448.59830523,486.381263237,85.2608830673
../../../cfd/BF-002-N.jpg,3399.90704518,501.793875576,227.455569034
../../../cfd/BF-003-N.jpg,3476.88322982,489.32071731,50.5879872079
../../../cfd/BF-004-N.jpg,3349.35032042,435.856473379,185.074537135
../../../cfd/BF-005-N.jpg,3424.57192728,488.559344185,179.43241308
../../../cfd/BF-006-N.jpg,3279.74352674,508.259218904,160.193649543
../../../cfd/BF-007-N.jpg,3367.58649072,481.320328213,143.015813074
../../../cfd/BF-008-N.jpg,3311.08503193,516.427514769,369.987335562
../../../cfd/BF-009-N.jpg,3209.3238808,431.270407334,375.46877941
../../../cfd/BF-010-N.jpg,3255.32790203,434.90397796,229.032688214
../../../cfd/BF-011-N.jpg,3394.08257018,459.886363814,227.234092838
../../../cfd/BF-012-N.jpg,3343.29763314,464.799113744,180.649401898
../../../cfd/BF-013-N.jpg,3251.50260122,498.236002273,239.173832185
../../../cfd/BF-014-N.jpg,3289.97824684,478.285778818,143.236567915
../../../cfd/BF-015-N.jpg,3082.82201544,407.030213966,451.634573767
../../../cfd/BF-016-N.jpg,3671.76672551,587.289175156,135.429197801
../../../cfd/BF-017-N.jpg,3596.81658071,484.118781742,104.545241321
../../../cfd/BF-018-N.jpg,3593.05394319,515.729072083,119.252521991
../../../cfd/BF-019-N.jpg,3399.94389352,502.792772545,92.6362207304
../../../cfd/BF-020-N.jpg,3470.07354173,525.126653266,161.45948348
../../../cfd/BF-021-N.jpg,3321.46897166,478.045972909,122.486683012
../../../cfd/BF-023-N.jpg,3367.46662888,438.016638644,137.555537825
../../../cfd/BF-024-N.jpg,3342.32179053,487.526364044,177.417815749
../../../cfd/BF-025-N.jpg,3188.83292544,401.938620834,250.978034551
../../../cfd/BF-027-N.jpg,3219.11036095,434.706222131,268.903090423
../../../cfd/BF-028-N.jpg,3402.59647417,476.9989704,79.0589998698
../../../cfd/BF-029-N.jpg,3629.48815747,486.148132856,154.309422568
../../../cfd/BF-030-N.jpg,3274.89229114,512.461763349,244.74375904
../../../cfd/BF-031-N.jpg,3411.68675841,459.676255475,207.423597953
../../../cfd/BF-032-N.jpg,3451.98498476,543.032187379,142.372763491
../../../cfd/BF-033-N.jpg,3382.6101538,490.627614605,161.256206737
../../../cfd/BF-034-N.jpg,3441.26128544,490.756911512,122.943369192
../../../cfd/BF-035-N.jpg,3280.14025804,447.118062554,219.566228724
../../../cfd/BF-036-N.jpg,3088.36748388,426.830386132,342.077626925
../../../cfd/BF-037-N.jpg,3153.14449237,415.74840286,481.775494986
../../../cfd/BF-038-N.jpg,3325.01482396,473.427820793,142.022196595
../../../cfd/BF-039-N.jpg,3262.14620222,491.488408617,279.470316514
../../../cfd/BF-040-N.jpg,3287.55288036,439.132830444,208.926259644
../../../cfd/BF-041-N.jpg,3133.23398732,412.77929407,222.118573347
../../../cfd/BF-042-N.jpg,3309.33137968,460.502914976,89.3421598634
../../../cfd/BF-043-N.jpg,3411.20254003,498.516869147,135.891082726
../../../cfd/BF-044-N.jpg,3378.19351491,485.613518511,135.532124045
../../../cfd/BF-045-N.jpg,3248.59991687,440.184520117,300.78022153
../../../cfd/BF-047-N.jpg,3575.05081302,524.466569101,135.278504013
../../../cfd/BF-048-N.jpg,3206.3168401,448.048938555,276.726073147
../../../cfd/BF-049-N.jpg,3356.58420584,484.656397289,163.292642293
../../../cfd/BF-050-N.jpg,3269.40931836,481.215766946,292.018033002
../../../cfd/BF-051-N.jpg,3249.06069968,450.751270234,178.20919117
../../../cfd/BF-200-N.jpg,3398.42644202,491.521431097,112.763438457
../../../cfd/BF-201-N.jpg,3631.08155718,538.321644893,107.148290655
../../../cfd/BF-202-N.jpg,3873.00503396,535.606021502,176.426943845
../../../cfd/BF-203-N.jpg,3474.09808858,447.469771081,113.135341643
../../../cfd/BF-204-N.jpg,3512.33248355,478.195349058,145.165538829
../../../cfd/BF-205-N.jpg,3287.66175794,486.571897225,157.147034502
../../../cfd/BF-206-N.jpg,3085.59194118,472.249537362,213.768168234
../../../cfd/BF-207-N.jpg,3263.63499156,421.088180915,111.08094051
../../../cfd/BF-208-N.jpg,3549.13905231,464.931622204,117.527313985
../../../cfd/BF-209-N.jpg,3528.19163421,482.661769766,133.66120453
../../../cfd/BF-210-N.jpg,3372.10734537,458.312543756,207.50024687
../../../cfd/BF-211-N.jpg,3446.59665545,507.689444125,135.807570426
../../../cfd/BF-212-N.jpg,3604.73782702,540.247327517,238.493066167
../../../cfd/BF-213-N.jpg,3509.18803175,429.698945417,61.448177688
../../../cfd/BF-214-N.jpg,3388.17737285,500.835651749,184.360679117
../../../cfd/BF-215-N.jpg,3635.15741718,483.792245572,285.257803194
../../../cfd/BF-216-N.jpg,3418.58847599,495.815366384,166.80612637
../../../cfd/BF-217-N.jpg,3400.63062336,494.255952793,117.532077262
../../../cfd/BF-218-N.jpg,3600.55383308,530.110163446,216.935037494
../../../cfd/BF-219-N.jpg,3438.21181212,439.174136656,112.007180818
../../../cfd/BF-220-N.jpg,3505.46170775,481.136289167,146.402170609
../../../cfd/BF-221-N.jpg,3478.82100047,479.727029887,147.829775218
../../../cfd/BF-222-N.jpg,3347.70227546,469.311377852,196.538167713
../../../cfd/BF-223-N.jpg,3709.13936742,541.848824868,72.5355821879
../../../cfd/BF-224-N.jpg,3205.18464915,497.337493135,277.626928857
../../../cfd/BF-225-N.jpg,3622.55368258,486.768721116,149.420256176
../../../cfd/BF-226-N.jpg,3481.90997071,473.809525141,86.7439888582
../../../cfd/BF-227-N.jpg,3591.05228975,525.483448812,103.966051726
../../../cfd/BF-228-N.jpg,3762.12370129,561.772973981,200.073230736
../../../cfd/BF-229-N.jpg,3550.95787091,477.058161136,122.801221333
../../../cfd/BF-230-N.jpg,3749.21556221,530.79028474,215.883546086
../../../cfd/BF-231-N.jpg,3431.40173952,475.121671933,124.310256363
../../../cfd/BF-232-N.jpg,3413.89102819,488.290417001,120.105287873
../../../cfd/BF-233-N.jpg,3567.83144793,486.001258359,180.556813522
../../../cfd/BF-234-N.jpg,3560.97507472,510.55268197,131.340659297
../../../cfd/BF-235-N.jpg,3452.87045658,456.040497167,157.698570543
../../../cfd/BF-236-N.jpg,3590.68784842,495.072928423,149.367856121
../../../cfd/BF-237-N.jpg,3377.8618541,444.066859707,208.69897861
../../../cfd/BF-238-N.jpg,3399.76692557,431.902678673,257.44468656
../../../cfd/BF-239-N.jpg,3584.82426831,499.016686719,206.954702061
../../../cfd/BF-240-N.jpg,3541.55791815,497.190352791,143.009464103
../../../cfd/BF-241-N.jpg,3377.83231023,453.566882057,63.2053953059
../../../cfd/BF-242-N.jpg,3411.59364126,513.549406252,230.359604922
../../../cfd/BF-243-N.jpg,3695.30267291,501.423049452,127.336307937
