Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.401922017695, 0.496984961177, 101
boring, 0.630578770324, 0.706402325919, 258
calm, 0.483506387048, 0.510231648146, 56
cold, 0.786692915052, 0.83328680097, 227
common, 0.393996760365, 0.553951734359, 202
confident, 0.606806111466, 0.739855486798, 368
egotistic, 0.65245030177, 0.691334846782, 212
emotUnstable, 0.620951712176, 0.715088702177, 227
forgettable, 0.509243064225, 0.551108705084, 81
intelligent, 0.592093276079, 0.755978140751, 368
introverted, 0.665368156317, 0.734385597671, 268
kind, 0.761999689743, 0.829314319043, 207
responsible, 0.690127351718, 0.801445277287, 368
trustworthy, 0.717060165221, 0.784632160175, 207
unattractive, 0.644206468625, 0.72324937369, 101
unemotional, 0.773857656659, 0.788740386753, 207
unfamiliar, 0.456147341681, 0.43447664233, 41
unfriendly, 0.784108080423, 0.823549783711, 207
unhappy, 0.799564327748, 0.835819325875, 207
weird, 0.484464407443, 0.61713572014, 106
aggressive, 0.7088260704, 0.787014092954, 227
attractive, 0.756261297655, 0.863562106153, 500
caring, 0.782985174883, 0.833609125211, 217
emotStable, 0.663087063472, 0.820820136112, 500
emotional, 0.639718338351, 0.644065504486, 91
familiar, 0.419409464157, 0.511942776394, 81
friendly, 0.818851574959, 0.849296416441, 227
happy, 0.827419725848, 0.868518407256, 212
humble, 0.602790237694, 0.717265601866, 232
interesting, 0.613242415289, 0.607676959801, 61
irresponsible, 0.654663219257, 0.775436949243, 293
mean, 0.735099147662, 0.792108284094, 217
memorable, 0.492020055955, 0.56761896792, 106
normal, 0.599651558535, 0.776465879843, 464
sociable, 0.791622565896, 0.825046386844, 242
typical, 0.390437506388, 0.573023574215, 202
uncertain, 0.606974344145, 0.628956559385, 86
uncommon, 0.410950422861, 0.475599650466, 101
unintelligent, 0.58433055571, 0.775506909705, 500
untrustworthy, 0.684415902299, 0.773494075514, 222
