Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.356374894524, 0.519199088819, 127
boring, 0.582242793088, 0.664133841528, 187
calm, 0.450735196975, 0.650639514098, 253
cold, 0.729102349163, 0.803131062048, 167
common, 0.326815208151, 0.657583849702, 389
confident, 0.590705812542, 0.672310604919, 167
egotistic, 0.558100175253, 0.600591166854, 61
emotUnstable, 0.537836750473, 0.724275968594, 222
forgettable, 0.465130043882, 0.501219755918, 51
intelligent, 0.519171990076, 0.756460500413, 389
introverted, 0.61743704353, 0.715101372277, 172
kind, 0.719399980701, 0.805511172394, 192
responsible, 0.636900323318, 0.739674030637, 167
trustworthy, 0.646402406314, 0.811926168502, 363
unattractive, 0.680596875042, 0.754956177021, 192
unemotional, 0.73481390441, 0.771974883203, 202
unfamiliar, 0.383963494126, 0.527041989697, 137
unfriendly, 0.727743499324, 0.808727374433, 182
unhappy, 0.756303582262, 0.819639820808, 222
weird, 0.478587849346, 0.668821555382, 167
aggressive, 0.681243869659, 0.756592535774, 182
attractive, 0.722275334746, 0.786055652852, 147
caring, 0.73952324944, 0.821914549967, 222
emotStable, 0.599325453402, 0.720631826922, 162
emotional, 0.584421266952, 0.63207411002, 56
familiar, 0.375848194579, 0.550631562433, 167
friendly, 0.763297849239, 0.828263955658, 172
happy, 0.80898706047, 0.855282310628, 222
humble, 0.610032064417, 0.696668570721, 192
interesting, 0.62073107078, 0.64384964703, 147
irresponsible, 0.639765452023, 0.702437094038, 137
mean, 0.701189441666, 0.785296819024, 222
memorable, 0.566015897844, 0.564256014708, 147
normal, 0.518212740338, 0.674659360659, 162
sociable, 0.732331198421, 0.797691100505, 162
typical, 0.385659304807, 0.525376206512, 127
uncertain, 0.593909257666, 0.650121453676, 86
uncommon, 0.368738202905, 0.402859573056, 51
unintelligent, 0.579427077918, 0.626292020654, 132
untrustworthy, 0.656337587557, 0.75036675843, 167
