Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.351076236924, 0.527097255507, 137
boring, 0.566762203916, 0.646080374333, 101
calm, 0.426364736171, 0.527389732495, 46
cold, 0.773507950007, 0.865472404868, 368
common, 0.330690059699, 0.669513827613, 389
confident, 0.522936066618, 0.664903440892, 101
egotistic, 0.591180352997, 0.808126884586, 464
emotUnstable, 0.578595606644, 0.725057204226, 207
forgettable, 0.471248871563, 0.535579005589, 76
intelligent, 0.531565869417, 0.707300095604, 192
introverted, 0.580606778855, 0.75387470196, 278
kind, 0.734963092999, 0.894381798772, 500
responsible, 0.618853001898, 0.797547889746, 293
trustworthy, 0.66531861586, 0.780626767394, 157
unattractive, 0.636377878423, 0.76797586373, 217
unemotional, 0.691735485921, 0.824753637137, 328
unfamiliar, 0.378364488333, 0.525654309233, 116
unfriendly, 0.732499382271, 0.888631719929, 500
unhappy, 0.755061362197, 0.897442209454, 500
weird, 0.448801169646, 0.629354079696, 101
aggressive, 0.684141801516, 0.82024984265, 338
attractive, 0.709174861622, 0.812554913368, 222
caring, 0.727740544868, 0.863824953331, 293
emotStable, 0.561439734638, 0.782534054772, 293
emotional, 0.615488468211, 0.702175770884, 247
familiar, 0.318244430345, 0.53912761133, 81
friendly, 0.766424303484, 0.863087343472, 227
happy, 0.781110479289, 0.923090109567, 500
humble, 0.522461153607, 0.684811736721, 96
interesting, 0.596111935749, 0.666333115619, 132
irresponsible, 0.629475162596, 0.693597462212, 61
mean, 0.669597104507, 0.838786927853, 338
memorable, 0.526331067015, 0.550139799223, 96
normal, 0.47765042007, 0.627285761772, 46
sociable, 0.729471764115, 0.888572340669, 500
typical, 0.320979040081, 0.575938520671, 162
uncertain, 0.542296841848, 0.710002159503, 177
uncommon, 0.348307186501, 0.383381932456, 36
unintelligent, 0.556183691863, 0.727436931377, 288
untrustworthy, 0.627770458657, 0.838612891801, 389
