Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.382757409269, 0.439660232691, 51
boring, 0.632168794047, 0.668514079294, 192
calm, 0.422412627719, 0.554342410385, 127
cold, 0.764594482147, 0.819267681152, 237
common, 0.317827822163, 0.501964854189, 116
confident, 0.579661528655, 0.644296166638, 91
egotistic, 0.585035111987, 0.680611087277, 207
emotUnstable, 0.578809339136, 0.6779434944, 142
forgettable, 0.498328369787, 0.528912739695, 76
intelligent, 0.568425392683, 0.637436629218, 127
introverted, 0.609398765681, 0.715296721886, 167
kind, 0.733168075576, 0.820778986693, 247
responsible, 0.642329497927, 0.741515833953, 192
trustworthy, 0.686039811711, 0.762210129491, 192
unattractive, 0.67162231705, 0.72939755694, 121
unemotional, 0.737232456783, 0.763879139261, 142
unfamiliar, 0.417652082186, 0.476769583384, 86
unfriendly, 0.761061826858, 0.823680532942, 237
unhappy, 0.767525834307, 0.818466661914, 192
weird, 0.487831592011, 0.636636668882, 116
aggressive, 0.710567672832, 0.761799883373, 202
attractive, 0.72700273096, 0.803321410824, 187
caring, 0.751973175563, 0.804251030774, 157
emotStable, 0.622398718186, 0.707058029381, 142
emotional, 0.625636814849, 0.651424164101, 106
familiar, 0.379136602808, 0.474468675424, 61
friendly, 0.774251206698, 0.847073238897, 247
happy, 0.8131493798, 0.866650468559, 247
humble, 0.634783140075, 0.694374534944, 237
interesting, 0.558098657066, 0.646272282333, 96
irresponsible, 0.675475897012, 0.722959724286, 192
mean, 0.726320607265, 0.78403013335, 202
memorable, 0.473547694846, 0.567887861864, 106
normal, 0.531972621123, 0.6572652605, 142
sociable, 0.743627773237, 0.836201290469, 278
typical, 0.424474188773, 0.514018877484, 106
uncertain, 0.582279038557, 0.659290747983, 86
uncommon, 0.387031399135, 0.510122586506, 147
unintelligent, 0.569939145603, 0.644332177445, 142
untrustworthy, 0.691044048909, 0.75915551311, 202
