Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.296897517084, 0.661550304232, 424
boring, 0.539165543938, 0.694464385991, 242
calm, 0.473664326217, 0.580917881199, 177
cold, 0.744526991883, 0.807788590451, 192
common, 0.381357797162, 0.491452096435, 121
confident, 0.571847339203, 0.656359760447, 142
egotistic, 0.554950565835, 0.69608631616, 187
emotUnstable, 0.601111806895, 0.697080002443, 247
forgettable, 0.497408473185, 0.518210486856, 51
intelligent, 0.566554675885, 0.756188323811, 444
introverted, 0.629640044998, 0.637488085195, 61
kind, 0.736716822596, 0.822163213267, 288
responsible, 0.637657872607, 0.721340407714, 177
trustworthy, 0.677455251002, 0.750170076129, 172
unattractive, 0.687588346941, 0.731926119686, 147
unemotional, 0.708443853278, 0.774663677668, 157
unfamiliar, 0.449968742052, 0.504565604414, 121
unfriendly, 0.759889813957, 0.842102793057, 394
unhappy, 0.752759865015, 0.832112932143, 247
weird, 0.53760380504, 0.692424046811, 288
aggressive, 0.662291886082, 0.753925208555, 192
attractive, 0.749994791291, 0.795681792277, 197
caring, 0.739763495754, 0.833867064786, 313
emotStable, 0.597896011009, 0.737748973107, 247
emotional, 0.561503509086, 0.666620137037, 86
familiar, 0.449273087812, 0.52549960731, 157
friendly, 0.768755846922, 0.82869031739, 187
happy, 0.816289075886, 0.862701940058, 283
humble, 0.532835938013, 0.692554151802, 187
interesting, 0.565092990518, 0.613758626442, 66
irresponsible, 0.606185285201, 0.704844655984, 137
mean, 0.701940163527, 0.775429093121, 207
memorable, 0.427268567734, 0.494772084194, 31
normal, 0.549682243836, 0.648507935457, 137
sociable, 0.775573574354, 0.801178244658, 202
typical, 0.325503551619, 0.575009497055, 212
uncertain, 0.572864524803, 0.629635115652, 66
uncommon, 0.265848930738, 0.34553613786, 21
unintelligent, 0.506559777416, 0.532550775371, 46
untrustworthy, 0.650451995713, 0.778790104625, 283
