Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.343736893431, 0.543882189859, 127
boring, 0.560665655817, 0.633686998621, 106
calm, 0.471855257693, 0.601592873327, 172
cold, 0.760362412448, 0.771093482718, 106
common, 0.346545447256, 0.522551525594, 137
confident, 0.561741963352, 0.651259265443, 111
egotistic, 0.659707797921, 0.677510571312, 192
emotUnstable, 0.614635792042, 0.624315312645, 76
forgettable, 0.461298714044, 0.519743554045, 51
intelligent, 0.543451054021, 0.727948027941, 293
introverted, 0.612749215539, 0.658900417418, 76
kind, 0.771526597606, 0.78095803909, 127
responsible, 0.672259528879, 0.731828380395, 182
trustworthy, 0.713875908045, 0.736835342805, 127
unattractive, 0.642837328852, 0.790834363086, 318
unemotional, 0.722493800042, 0.778907402995, 162
unfamiliar, 0.378297640806, 0.47946994292, 71
unfriendly, 0.761825171631, 0.860057779786, 424
unhappy, 0.770457130534, 0.868389452701, 409
weird, 0.483759944245, 0.730055508086, 318
aggressive, 0.727573946082, 0.734860140859, 147
attractive, 0.718649691861, 0.790135181754, 157
caring, 0.790712527292, 0.79249117653, 147
emotStable, 0.63225833296, 0.706889728087, 152
emotional, 0.584753278151, 0.652625777714, 56
familiar, 0.430700132472, 0.500974846693, 91
friendly, 0.79490060311, 0.809147550517, 121
happy, 0.81303197305, 0.838052179355, 127
humble, 0.653059621118, 0.640683657781, 121
interesting, 0.578524097687, 0.630578692959, 101
irresponsible, 0.64581172813, 0.705868398498, 142
mean, 0.742518758462, 0.756404598355, 137
memorable, 0.489386357085, 0.559163924354, 101
normal, 0.60470405421, 0.650508962975, 137
sociable, 0.763637444431, 0.756600664613, 76
typical, 0.391807540862, 0.475839071937, 61
uncertain, 0.584372776521, 0.63300996866, 66
uncommon, 0.36563352741, 0.462110839663, 76
unintelligent, 0.541898006154, 0.62950376994, 137
untrustworthy, 0.706379679604, 0.727965825088, 142
