Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.305954826287, 0.483240063346, 66
boring, 0.544481874172, 0.688226919283, 162
calm, 0.394473511577, 0.500283169238, 41
cold, 0.752480555764, 0.859582267527, 318
common, 0.37505891754, 0.368429467952, 31
confident, 0.505612291022, 0.799814233827, 494
egotistic, 0.590375059508, 0.788338306056, 424
emotUnstable, 0.580520354825, 0.721005370465, 187
forgettable, 0.447840489665, 0.585960021504, 111
intelligent, 0.570859125773, 0.671803480063, 137
introverted, 0.591630960135, 0.709839855501, 147
kind, 0.718014552163, 0.827774891475, 182
responsible, 0.608359881892, 0.746492020384, 147
trustworthy, 0.683669158268, 0.842816712536, 424
unattractive, 0.64645975168, 0.743261818477, 147
unemotional, 0.722170563696, 0.802431690421, 202
unfamiliar, 0.399579261484, 0.463040899285, 51
unfriendly, 0.734736191353, 0.826315506724, 202
unhappy, 0.740177207553, 0.835728554174, 187
weird, 0.436723335255, 0.647191787129, 142
aggressive, 0.71801159837, 0.840604725712, 439
attractive, 0.695489075129, 0.833524930869, 323
caring, 0.751974406212, 0.846683002071, 237
emotStable, 0.591489976481, 0.71013041929, 152
emotional, 0.578002496737, 0.728059099145, 278
familiar, 0.396375237099, 0.520155079517, 71
friendly, 0.78615832799, 0.859869516749, 237
happy, 0.80408382442, 0.876603108848, 242
humble, 0.604271696996, 0.737035142173, 237
interesting, 0.543937366873, 0.691606282525, 162
irresponsible, 0.628072876127, 0.687112448501, 76
mean, 0.738482635918, 0.841519422919, 424
memorable, 0.433546824868, 0.621135832799, 162
normal, 0.50527847482, 0.70982072872, 187
sociable, 0.751055464787, 0.832854855992, 237
typical, 0.321745196018, 0.603333896552, 237
uncertain, 0.597526080336, 0.665107381071, 147
uncommon, 0.328821137191, 0.44964562584, 76
unintelligent, 0.53739087304, 0.606404480867, 76
untrustworthy, 0.671879647383, 0.774648618603, 202
