Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.393910192639, 0.486326453591, 91
boring, 0.578818453354, 0.710013155972, 232
calm, 0.462357826885, 0.548120488747, 76
cold, 0.739970379197, 0.890619826673, 494
common, 0.324482098195, 0.526798866108, 137
confident, 0.620499871686, 0.689079303009, 177
egotistic, 0.567112705649, 0.672525208932, 121
emotUnstable, 0.623424060939, 0.696907244874, 152
forgettable, 0.471968214147, 0.680224168413, 363
intelligent, 0.590836172232, 0.677620941721, 162
introverted, 0.626034326707, 0.736930768793, 232
kind, 0.735306859738, 0.893154276238, 494
responsible, 0.679081366863, 0.752678999655, 167
trustworthy, 0.671959988816, 0.847851289374, 429
unattractive, 0.664857843359, 0.697306987207, 71
unemotional, 0.718555901785, 0.80702956389, 242
unfamiliar, 0.408307013903, 0.581139173174, 232
unfriendly, 0.735672595162, 0.886900145229, 494
unhappy, 0.756786202695, 0.875864838268, 368
weird, 0.532667832837, 0.664791162568, 197
aggressive, 0.680275573112, 0.818969503572, 298
attractive, 0.743870653163, 0.807383757879, 197
caring, 0.751313247154, 0.879785251239, 429
emotStable, 0.635011432613, 0.755703528231, 237
emotional, 0.577437608292, 0.683524940116, 147
familiar, 0.464915659707, 0.517341319072, 91
friendly, 0.785039741477, 0.894034237394, 429
happy, 0.809991126509, 0.915317103647, 500
humble, 0.594868967579, 0.813422131635, 484
interesting, 0.546639098187, 0.763017170503, 394
irresponsible, 0.645172030432, 0.71945688843, 137
mean, 0.689090158555, 0.866830452266, 489
memorable, 0.494748976503, 0.657445704807, 273
normal, 0.559259182107, 0.739601655082, 268
sociable, 0.760930944197, 0.882621636366, 500
typical, 0.357444797967, 0.535665100521, 106
uncertain, 0.567983906957, 0.721508266458, 258
uncommon, 0.381655479717, 0.499567590721, 106
unintelligent, 0.551122244586, 0.664343710714, 197
untrustworthy, 0.677982412978, 0.827673998295, 424
