Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.346751795731, 0.562436241899, 222
boring, 0.557709300235, 0.61675010706, 81
calm, 0.452301232082, 0.621632770297, 232
cold, 0.731369925551, 0.826577597203, 212
common, 0.326649727891, 0.461357458318, 81
confident, 0.596241603947, 0.684317446207, 202
egotistic, 0.568080509268, 0.680681623055, 167
emotUnstable, 0.57116548195, 0.722057974407, 202
forgettable, 0.455391952591, 0.510539403229, 76
intelligent, 0.58551848541, 0.673466519245, 212
introverted, 0.574813858172, 0.776096864943, 379
kind, 0.726770155805, 0.843362399992, 353
responsible, 0.672176873936, 0.754734465222, 232
trustworthy, 0.684066040188, 0.780426748937, 232
unattractive, 0.63966216621, 0.748890896989, 207
unemotional, 0.699897935966, 0.800034245757, 207
unfamiliar, 0.361434368944, 0.55156647284, 162
unfriendly, 0.729423826113, 0.837707033031, 263
unhappy, 0.759224453215, 0.825455838216, 202
weird, 0.507122535156, 0.703145956714, 288
aggressive, 0.655742166628, 0.781070917085, 247
attractive, 0.72302526353, 0.792151936763, 192
caring, 0.755342285024, 0.829937661449, 258
emotStable, 0.616001190572, 0.739950758058, 232
emotional, 0.600791066214, 0.641173984894, 56
familiar, 0.361536969045, 0.564260631302, 157
friendly, 0.769876107123, 0.875177787352, 394
happy, 0.803738252603, 0.891038964153, 394
humble, 0.5876186043, 0.712645361364, 247
interesting, 0.5865493638, 0.68162924492, 207
irresponsible, 0.628288579504, 0.731461532238, 187
mean, 0.687372640984, 0.797537804416, 217
memorable, 0.441549481093, 0.638218644298, 258
normal, 0.546167076175, 0.689952943823, 202
sociable, 0.734457352825, 0.819097597599, 202
typical, 0.392447602745, 0.529306955103, 121
uncertain, 0.560627170812, 0.726228323431, 258
uncommon, 0.341853004323, 0.538116778658, 192
unintelligent, 0.54466983422, 0.649691916492, 182
untrustworthy, 0.656012159467, 0.774010857473, 258
