Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.348550694049, 0.498302073915, 91
boring, 0.608153682609, 0.639203502866, 137
calm, 0.434519374209, 0.516527483135, 71
cold, 0.736318551797, 0.810256655986, 172
common, 0.346471500817, 0.502758204811, 106
confident, 0.546473818995, 0.696371166351, 187
egotistic, 0.601787199094, 0.649355222384, 137
emotUnstable, 0.567770865355, 0.629496840588, 71
forgettable, 0.411942082509, 0.569328052047, 137
intelligent, 0.53610604877, 0.599633841632, 66
introverted, 0.60242003546, 0.704414113813, 137
kind, 0.711052382054, 0.799927634242, 142
responsible, 0.642182435747, 0.732572437119, 132
trustworthy, 0.666108042849, 0.771861029303, 177
unattractive, 0.63672270489, 0.758320485649, 187
unemotional, 0.699223399603, 0.755129958527, 111
unfamiliar, 0.386426736921, 0.48524626139, 76
unfriendly, 0.728567147463, 0.805513458181, 167
unhappy, 0.742045335613, 0.81809628136, 167
weird, 0.498061111121, 0.638224580698, 132
aggressive, 0.673558383013, 0.774579964478, 212
attractive, 0.690569599922, 0.82735445229, 303
caring, 0.717140386288, 0.855829895128, 338
emotStable, 0.579380214397, 0.753395648035, 187
emotional, 0.615699362568, 0.647534735227, 71
familiar, 0.388233760752, 0.503983404734, 91
friendly, 0.754266933533, 0.858371913316, 268
happy, 0.776471749445, 0.888629669249, 358
humble, 0.55073980383, 0.729519505263, 268
interesting, 0.562069455739, 0.648200344064, 96
irresponsible, 0.579419630137, 0.753570609493, 217
mean, 0.695508118979, 0.806643977289, 278
memorable, 0.462188236594, 0.553171450563, 71
normal, 0.485607216673, 0.702045029558, 192
sociable, 0.709813627412, 0.814128726247, 167
typical, 0.371830110571, 0.59801719032, 222
uncertain, 0.534260372077, 0.695499841966, 152
uncommon, 0.32206551871, 0.515464923661, 132
unintelligent, 0.505074965081, 0.687467797813, 202
untrustworthy, 0.645947980301, 0.768992380489, 192
