Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.356002976067, 0.505403372141, 101
boring, 0.629163707067, 0.709488825616, 253
calm, 0.388985734866, 0.561100486951, 76
cold, 0.769772009037, 0.875519531977, 394
common, 0.278653980314, 0.497693073297, 101
confident, 0.566676425626, 0.781504569353, 474
egotistic, 0.537704366555, 0.683372162918, 137
emotUnstable, 0.576611867211, 0.669058422116, 101
forgettable, 0.477751215867, 0.620312086994, 237
intelligent, 0.515781758504, 0.767243292276, 414
introverted, 0.625488621655, 0.79147734889, 414
kind, 0.746170525963, 0.895399352714, 494
responsible, 0.614957337375, 0.839383980526, 500
trustworthy, 0.657809862842, 0.764729530959, 137
unattractive, 0.680661616804, 0.717015965198, 101
unemotional, 0.749854069806, 0.811787436812, 242
unfamiliar, 0.385366298899, 0.461289309995, 46
unfriendly, 0.725208182868, 0.765905455091, 71
unhappy, 0.788087971386, 0.893457897585, 494
weird, 0.503731309736, 0.617778114804, 111
aggressive, 0.666019915324, 0.734389330743, 96
attractive, 0.748877055886, 0.835730907439, 343
caring, 0.750089163707, 0.805021464889, 121
emotStable, 0.563543239469, 0.660631104474, 61
emotional, 0.606308934515, 0.638692396494, 56
familiar, 0.448641512099, 0.539083218592, 101
friendly, 0.761720520519, 0.785688219937, 61
happy, 0.812100355429, 0.902960645665, 394
humble, 0.573481811177, 0.679572659293, 121
interesting, 0.567486639685, 0.595835357983, 41
irresponsible, 0.594528554617, 0.680500926541, 61
mean, 0.689553146017, 0.735885287123, 81
memorable, 0.471233426224, 0.734603409261, 494
normal, 0.552138415606, 0.633927231719, 76
sociable, 0.720280131064, 0.766365003089, 61
typical, 0.308268318732, 0.44722603255, 31
uncertain, 0.560591563025, 0.620057193262, 61
uncommon, 0.367507768009, 0.521230699451, 121
unintelligent, 0.519451560879, 0.59725239914, 61
untrustworthy, 0.63594337411, 0.699383077807, 61
