Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.348086194427, 0.396123890464, 26
boring, 0.574564113203, 0.70612884814, 212
calm, 0.458662386334, 0.724503140631, 449
cold, 0.747918335273, 0.880346974407, 479
common, 0.325353358062, 0.557502817336, 192
confident, 0.572388571804, 0.711099467683, 263
egotistic, 0.594924994738, 0.794255476074, 500
emotUnstable, 0.586480124576, 0.630258741138, 76
forgettable, 0.431847809172, 0.492291477861, 36
intelligent, 0.572878640618, 0.69117951984, 207
introverted, 0.623270568217, 0.628702968958, 46
kind, 0.73847413277, 0.874968469682, 449
responsible, 0.64613225037, 0.742620394398, 197
trustworthy, 0.640600456608, 0.682193295893, 41
unattractive, 0.66800107878, 0.702207565566, 106
unemotional, 0.660848977597, 0.861178260297, 474
unfamiliar, 0.378187487908, 0.433083579704, 31
unfriendly, 0.742557395415, 0.876682948302, 449
unhappy, 0.736541235889, 0.884617135313, 449
weird, 0.509964351611, 0.669888273529, 187
aggressive, 0.644169526869, 0.844114580186, 464
attractive, 0.713967617729, 0.795841735344, 197
caring, 0.718133954472, 0.881134170807, 489
emotStable, 0.581334825102, 0.689619153745, 116
emotional, 0.570849506516, 0.642091549415, 56
familiar, 0.402224805838, 0.442152481665, 31
friendly, 0.754275077003, 0.891761418041, 479
happy, 0.781110782199, 0.90696655246, 469
humble, 0.582144421949, 0.664164110299, 132
interesting, 0.545150092307, 0.681547087349, 142
irresponsible, 0.607677806587, 0.745220272506, 217
mean, 0.667999465168, 0.850185734312, 444
memorable, 0.452864536022, 0.605653267517, 142
normal, 0.517983458661, 0.68807944011, 192
sociable, 0.738896051434, 0.879944209475, 469
typical, 0.338773441595, 0.496796306716, 101
uncertain, 0.56088329801, 0.602133899824, 41
uncommon, 0.321500718926, 0.677532069668, 424
unintelligent, 0.514756167591, 0.679358787949, 217
untrustworthy, 0.626217838469, 0.837181214693, 464
