Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.382605852722, 0.442079132296, 86
boring, 0.586210284469, 0.664089500804, 162
calm, 0.401726327264, 0.65810271556, 273
cold, 0.745215583495, 0.805709703202, 217
common, 0.231301703074, 0.368796116536, 31
confident, 0.557528348418, 0.617112918868, 116
egotistic, 0.588378430228, 0.736736286103, 363
emotUnstable, 0.558084834848, 0.660222894051, 162
forgettable, 0.458277844621, 0.478183911633, 36
intelligent, 0.559148330327, 0.584057080236, 81
introverted, 0.622698543472, 0.688839890733, 167
kind, 0.730246483436, 0.85669663926, 454
responsible, 0.637148863399, 0.717474920723, 167
trustworthy, 0.693364820883, 0.830631945708, 479
unattractive, 0.664471465081, 0.751250950426, 212
unemotional, 0.720063501551, 0.783144803406, 197
unfamiliar, 0.412470995547, 0.439589515279, 81
unfriendly, 0.737017877233, 0.777344279622, 162
unhappy, 0.73763974269, 0.791022647501, 162
weird, 0.464332111692, 0.518243431759, 46
aggressive, 0.674791066591, 0.759746530391, 217
attractive, 0.683121902717, 0.779180562406, 167
caring, 0.711989491776, 0.807250586267, 202
emotStable, 0.560755740915, 0.705797362924, 167
emotional, 0.597512458229, 0.625783828344, 51
familiar, 0.33719910655, 0.602729588885, 212
friendly, 0.752368711221, 0.826327652316, 212
happy, 0.7923361797, 0.845914803616, 202
humble, 0.584927319384, 0.714960307177, 253
interesting, 0.583565443228, 0.59865369968, 66
irresponsible, 0.626651561327, 0.733180418584, 227
mean, 0.688700720965, 0.76718703847, 202
memorable, 0.503256607789, 0.496560385889, 41
normal, 0.500054007992, 0.595202956896, 81
sociable, 0.719972192954, 0.810771191157, 202
typical, 0.340495721937, 0.466273270312, 81
uncertain, 0.541425219253, 0.622453274302, 86
uncommon, 0.319245579949, 0.659527200974, 429
unintelligent, 0.49677939691, 0.59073846948, 91
untrustworthy, 0.653449152808, 0.755094985222, 217
