Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.394699514678, 0.431250330265, 41
boring, 0.502023946325, 0.562986567964, 31
calm, 0.439915026603, 0.731774657473, 419
cold, 0.754776864807, 0.851617704839, 303
common, 0.372242109786, 0.647529711219, 353
confident, 0.56432386675, 0.717220833728, 227
egotistic, 0.562732664822, 0.745482382905, 303
emotUnstable, 0.619161122042, 0.748146253728, 298
forgettable, 0.367695432206, 0.485713425362, 31
intelligent, 0.57669669197, 0.686142162578, 167
introverted, 0.627867123394, 0.617367034001, 31
kind, 0.773180724346, 0.849168817003, 303
responsible, 0.655023020629, 0.837205354077, 500
trustworthy, 0.697963232981, 0.809969963099, 298
unattractive, 0.670121602693, 0.803310748278, 368
unemotional, 0.710514787314, 0.823035303373, 303
unfamiliar, 0.43152315765, 0.444581517484, 36
unfriendly, 0.756307530558, 0.847420317202, 303
unhappy, 0.78414422212, 0.860874883073, 303
weird, 0.488292920737, 0.72417900752, 318
aggressive, 0.687913597801, 0.805401571051, 298
attractive, 0.715841430035, 0.782815993803, 187
caring, 0.765026866945, 0.861284623863, 328
emotStable, 0.63632270649, 0.707670207026, 162
emotional, 0.613772366259, 0.687680027275, 182
familiar, 0.410422508311, 0.49210313711, 71
friendly, 0.798350292967, 0.871680596215, 318
happy, 0.817996926064, 0.891459258465, 318
humble, 0.589792074827, 0.636084770581, 66
interesting, 0.578727564912, 0.719529132994, 313
irresponsible, 0.648046468365, 0.722448730033, 157
mean, 0.711099611085, 0.822580279493, 303
memorable, 0.471370548045, 0.604537544624, 152
normal, 0.582770971729, 0.740869628637, 328
sociable, 0.769259444683, 0.850388243531, 303
typical, 0.369068725227, 0.468117554277, 51
uncertain, 0.610171523587, 0.628217925408, 66
uncommon, 0.347538082516, 0.422601960051, 36
unintelligent, 0.562956534998, 0.718330056347, 313
untrustworthy, 0.70259455205, 0.794166279307, 303
