Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.376793914457, 0.43204191333, 36
boring, 0.572126747011, 0.701736075844, 237
calm, 0.387094815902, 0.713700277848, 348
cold, 0.752935499067, 0.856895828289, 338
common, 0.330468522627, 0.683603984685, 389
confident, 0.552149393006, 0.731828158106, 258
egotistic, 0.567887805267, 0.798020656484, 454
emotUnstable, 0.556549117914, 0.69295380293, 116
forgettable, 0.500808752457, 0.707241857646, 429
intelligent, 0.494121922563, 0.75732916429, 343
introverted, 0.609624659502, 0.739588747925, 212
kind, 0.723885723801, 0.881591867177, 409
responsible, 0.627707789026, 0.767625001487, 162
trustworthy, 0.646194162569, 0.819390498547, 273
unattractive, 0.642501907228, 0.822195958091, 419
unemotional, 0.702516491347, 0.838002424319, 348
unfamiliar, 0.43585443822, 0.520056796122, 127
unfriendly, 0.733962439472, 0.856552625885, 338
unhappy, 0.754841539672, 0.883167754703, 429
weird, 0.501454217296, 0.628541479593, 127
aggressive, 0.683946470974, 0.805522128232, 278
attractive, 0.725711888875, 0.8541026202, 459
caring, 0.740374689396, 0.853579754898, 278
emotStable, 0.650202684597, 0.706549332653, 116
emotional, 0.562865596417, 0.673386370253, 101
familiar, 0.381122236498, 0.678949962071, 373
friendly, 0.769621785848, 0.88420668922, 338
happy, 0.799302586088, 0.896186631822, 338
humble, 0.59840623298, 0.753438990082, 308
interesting, 0.564531922517, 0.695105858074, 182
irresponsible, 0.623315660419, 0.738847934, 157
mean, 0.709511713364, 0.828116388437, 348
memorable, 0.538557738648, 0.545830133816, 81
normal, 0.550484761897, 0.67144733878, 116
sociable, 0.756383259914, 0.876032233567, 424
typical, 0.410493048265, 0.728177806105, 500
uncertain, 0.602809971912, 0.685841381535, 137
uncommon, 0.31352252339, 0.541971989624, 157
unintelligent, 0.519398883756, 0.71116153614, 253
untrustworthy, 0.674930072778, 0.764816907988, 167
