Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.306932124204, 0.617217366153, 353
boring, 0.583503427262, 0.686571141198, 212
calm, 0.394354983795, 0.501884983827, 61
cold, 0.715601324174, 0.865218546905, 419
common, 0.363932450813, 0.516039119397, 137
confident, 0.561771016641, 0.678261598811, 207
egotistic, 0.618810018079, 0.737461943221, 338
emotUnstable, 0.540918554399, 0.713225557009, 242
forgettable, 0.461828183305, 0.524602842947, 76
intelligent, 0.520279554428, 0.706584804841, 237
introverted, 0.600479384232, 0.749289474751, 288
kind, 0.719690815003, 0.827767690764, 268
responsible, 0.648361901764, 0.752953826019, 242
trustworthy, 0.652925842642, 0.82728332309, 424
unattractive, 0.646304151981, 0.749715639404, 207
unemotional, 0.683180586674, 0.8255251771, 373
unfamiliar, 0.365849764022, 0.455768862639, 71
unfriendly, 0.713589048069, 0.839532515847, 348
unhappy, 0.718810055876, 0.862948270288, 399
weird, 0.400084147024, 0.741368551454, 419
aggressive, 0.64200171519, 0.800894064118, 348
attractive, 0.737055607327, 0.788140528944, 207
caring, 0.723823825625, 0.858153062279, 399
emotStable, 0.574669169143, 0.652811958802, 76
emotional, 0.562966541781, 0.69785299098, 172
familiar, 0.388104379764, 0.494396858332, 81
friendly, 0.74983122389, 0.858508650891, 323
happy, 0.783339422355, 0.882430004449, 373
humble, 0.579954678777, 0.677573933349, 142
interesting, 0.579719151139, 0.641768349837, 91
irresponsible, 0.639870447708, 0.790065475669, 399
mean, 0.676682695914, 0.833404788374, 399
memorable, 0.482670258692, 0.54488148572, 66
normal, 0.543390305529, 0.757068944214, 409
sociable, 0.720569040401, 0.856811626966, 394
typical, 0.353268514262, 0.436118649446, 51
uncertain, 0.583475281347, 0.681555541302, 207
uncommon, 0.367513230001, 0.622154473359, 353
unintelligent, 0.455264053306, 0.623807898433, 101
untrustworthy, 0.654781052571, 0.71089511976, 116
