Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.372954076428, 0.399217640655, 31
boring, 0.601319503003, 0.651432244303, 152
calm, 0.405588382124, 0.679672190586, 358
cold, 0.73313585367, 0.820051955677, 258
common, 0.318065336439, 0.326954526732, 31
confident, 0.577411583481, 0.686614281327, 232
egotistic, 0.607684712179, 0.719292013623, 303
emotUnstable, 0.5647653877, 0.742244782852, 353
forgettable, 0.488336185206, 0.493229039937, 51
intelligent, 0.590487559579, 0.6943097862, 263
introverted, 0.630256529458, 0.688936541364, 172
kind, 0.745402886784, 0.868739802424, 489
responsible, 0.621739603164, 0.808044174568, 439
trustworthy, 0.691420294162, 0.801519261614, 358
unattractive, 0.68001440019, 0.730869559579, 172
unemotional, 0.750712686007, 0.797599270421, 273
unfamiliar, 0.394882640282, 0.569940554748, 217
unfriendly, 0.72704460132, 0.87261139122, 479
unhappy, 0.752848568827, 0.829017982913, 258
weird, 0.49710298783, 0.661257886545, 253
aggressive, 0.65080695519, 0.826289489559, 439
attractive, 0.687200538342, 0.807424126673, 263
caring, 0.735978236495, 0.746604763101, 76
emotStable, 0.617623350344, 0.794633249576, 439
emotional, 0.600764014225, 0.627562584438, 66
familiar, 0.383065313141, 0.61744807449, 253
friendly, 0.75091947423, 0.888661248689, 494
happy, 0.789936693408, 0.901114160544, 494
humble, 0.576494173643, 0.601525844906, 71
interesting, 0.564170313073, 0.700587153586, 242
irresponsible, 0.628452719449, 0.759868686109, 293
mean, 0.682357345167, 0.840802148411, 444
memorable, 0.483173480933, 0.55911492622, 106
normal, 0.550901770738, 0.554085007838, 41
sociable, 0.733850488801, 0.87370398145, 489
typical, 0.372462686312, 0.389552893836, 41
uncertain, 0.569473040621, 0.62922112824, 106
uncommon, 0.301916061948, 0.381605422394, 41
unintelligent, 0.537766148342, 0.703533300658, 293
untrustworthy, 0.666060687495, 0.679362028553, 76
