Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.371807006843, 0.414560344545, 21
boring, 0.618004589089, 0.672738059415, 162
calm, 0.436304970229, 0.470107064292, 31
cold, 0.763983387064, 0.824889836925, 212
common, 0.342763792299, 0.548678531852, 167
confident, 0.597779368722, 0.644092172237, 111
egotistic, 0.556781325187, 0.728506893107, 242
emotUnstable, 0.622487052855, 0.715342676701, 227
forgettable, 0.475955276304, 0.68587645093, 384
intelligent, 0.601315527752, 0.568125688921, 46
introverted, 0.654781105568, 0.728647490519, 212
kind, 0.756749004076, 0.843567287241, 258
responsible, 0.677163176599, 0.75297156219, 212
trustworthy, 0.661355412239, 0.710456492439, 51
unattractive, 0.703783333938, 0.79802073803, 343
unemotional, 0.724410736571, 0.79702440733, 212
unfamiliar, 0.409494997627, 0.426935393303, 31
unfriendly, 0.742828015575, 0.883622328055, 494
unhappy, 0.788950945085, 0.835548769053, 212
weird, 0.558400179217, 0.727342516021, 338
aggressive, 0.687099970451, 0.792330281252, 247
attractive, 0.742729518261, 0.837310026904, 394
caring, 0.759254848218, 0.847089101572, 258
emotStable, 0.597514725008, 0.724284754791, 197
emotional, 0.594064297875, 0.678110303557, 142
familiar, 0.387241371071, 0.467241905406, 31
friendly, 0.779065153634, 0.863565040888, 253
happy, 0.816294485312, 0.864035098511, 192
humble, 0.521214261077, 0.819886548142, 500
interesting, 0.586330238344, 0.590842725811, 46
irresponsible, 0.5873400814, 0.800475196117, 363
mean, 0.694436732086, 0.787724235752, 192
memorable, 0.538557958745, 0.55032294602, 76
normal, 0.575405162331, 0.701626965417, 217
sociable, 0.757305716465, 0.835569447978, 227
typical, 0.408903486814, 0.558402380531, 177
uncertain, 0.61971923838, 0.663204618057, 127
uncommon, 0.320718095361, 0.438946861769, 36
unintelligent, 0.539039209819, 0.714834011511, 288
untrustworthy, 0.631982246731, 0.827516589249, 404
