Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.369706015392, 0.588123461042, 263
boring, 0.52436980881, 0.659218129199, 127
calm, 0.401532396616, 0.705719679093, 414
cold, 0.72693317175, 0.863010427296, 409
common, 0.268365120689, 0.44285887337, 61
confident, 0.53397030324, 0.666666953995, 182
egotistic, 0.544401257167, 0.773512249505, 434
emotUnstable, 0.530569023118, 0.587216412765, 66
forgettable, 0.382582794936, 0.571397847167, 116
intelligent, 0.552414525099, 0.717333412221, 298
introverted, 0.590601407363, 0.71636662342, 182
kind, 0.729386176328, 0.852671345448, 409
responsible, 0.619416684975, 0.780419872777, 308
trustworthy, 0.649456595749, 0.845249398744, 489
unattractive, 0.648931266722, 0.719723309073, 127
unemotional, 0.659983404356, 0.790268694925, 212
unfamiliar, 0.315041049191, 0.427410704847, 26
unfriendly, 0.737324089901, 0.855611379468, 409
unhappy, 0.734702968615, 0.86451217293, 409
weird, 0.472931043753, 0.734171347485, 389
aggressive, 0.642999521281, 0.838650309853, 469
attractive, 0.700017517813, 0.79209279115, 182
caring, 0.732097793012, 0.827922615056, 303
emotStable, 0.575655569074, 0.702277829819, 177
emotional, 0.57505236328, 0.612092625102, 41
familiar, 0.374497939626, 0.551318763398, 167
friendly, 0.751943858531, 0.825945482022, 212
happy, 0.798901624846, 0.896183936099, 449
humble, 0.571967950965, 0.715196879068, 298
interesting, 0.556975204749, 0.66480590776, 137
irresponsible, 0.613059753052, 0.801102941239, 409
mean, 0.694943649103, 0.727973194783, 111
memorable, 0.389521608285, 0.552700483155, 71
normal, 0.527992899211, 0.670765772276, 202
sociable, 0.720528757424, 0.814777518697, 212
typical, 0.322276246996, 0.441253928771, 66
uncertain, 0.571645682892, 0.670631226839, 177
uncommon, 0.244507696176, 0.327284762824, 21
unintelligent, 0.550621092895, 0.612831458489, 137
untrustworthy, 0.667673122866, 0.702338702265, 116
