Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.349447167413, 0.480442335812, 106
boring, 0.551877662126, 0.681632954154, 157
calm, 0.38718308232, 0.404592903083, 31
cold, 0.708747478723, 0.842534558393, 328
common, 0.336469130381, 0.631913333311, 358
confident, 0.559443352624, 0.678823321468, 187
egotistic, 0.60021807145, 0.617007593764, 91
emotUnstable, 0.531618247661, 0.812163306721, 500
forgettable, 0.473716600232, 0.658305078116, 278
intelligent, 0.511113744564, 0.702836187678, 247
introverted, 0.574466802137, 0.74093346268, 237
kind, 0.718047311762, 0.807466803912, 212
responsible, 0.655073745008, 0.779431943153, 303
trustworthy, 0.661799391112, 0.768564785785, 232
unattractive, 0.647098133006, 0.767581913398, 247
unemotional, 0.669286445994, 0.8079519871, 247
unfamiliar, 0.31987511721, 0.404818905524, 21
unfriendly, 0.717239764534, 0.836384310859, 328
unhappy, 0.72658131797, 0.851960827891, 333
weird, 0.489830368779, 0.607709863711, 132
aggressive, 0.653304001697, 0.712563423945, 111
attractive, 0.67259038217, 0.792367769708, 167
caring, 0.707223429188, 0.766804097785, 111
emotStable, 0.59142104605, 0.658953708976, 86
emotional, 0.557033503668, 0.638018550965, 46
familiar, 0.377708480976, 0.450855591425, 36
friendly, 0.75200342637, 0.818377951539, 187
happy, 0.783032442787, 0.841681183175, 182
humble, 0.5886763365, 0.632336633445, 111
interesting, 0.522254506455, 0.70727334783, 217
irresponsible, 0.603155375937, 0.731389479351, 187
mean, 0.659594760128, 0.730481641754, 111
memorable, 0.433631177259, 0.606139281393, 127
normal, 0.519248726957, 0.69379735119, 212
sociable, 0.743255791678, 0.800816221693, 187
typical, 0.329820232705, 0.434830523944, 51
uncertain, 0.480213479219, 0.715438627604, 232
uncommon, 0.270688219876, 0.475003835215, 101
unintelligent, 0.419921626763, 0.708009452983, 247
untrustworthy, 0.644107461225, 0.701874639978, 111
