Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.388993063761, 0.444443947283, 61
boring, 0.575669605033, 0.769845867336, 479
calm, 0.41855314991, 0.461063645377, 46
cold, 0.702788278562, 0.833034529865, 303
common, 0.280096681591, 0.692719339457, 500
confident, 0.530706658009, 0.74007274284, 318
egotistic, 0.527882380468, 0.702769785307, 247
emotUnstable, 0.554640558396, 0.61522749807, 86
forgettable, 0.433512947561, 0.665085059159, 348
intelligent, 0.525141340289, 0.720523575097, 258
introverted, 0.575393902933, 0.747295380992, 253
kind, 0.718737493706, 0.811713381259, 258
responsible, 0.601259363826, 0.653052292519, 61
trustworthy, 0.649662508216, 0.688061963857, 71
unattractive, 0.673212103126, 0.733892683652, 167
unemotional, 0.649947222485, 0.798602456848, 253
unfamiliar, 0.428780092299, 0.376859509507, 26
unfriendly, 0.686915901084, 0.829687460345, 288
unhappy, 0.726508715486, 0.870138457891, 454
weird, 0.489767498864, 0.764850434178, 474
aggressive, 0.641764427282, 0.763409987742, 237
attractive, 0.731703222142, 0.74931593712, 132
caring, 0.747201005395, 0.808355711784, 237
emotStable, 0.63807918286, 0.658998833598, 111
emotional, 0.602429367662, 0.678271594666, 167
familiar, 0.409358564372, 0.527780439466, 132
friendly, 0.74300969428, 0.82666251992, 237
happy, 0.775556969344, 0.884608119513, 394
humble, 0.57495786302, 0.633539028356, 111
interesting, 0.591298380176, 0.628149858744, 106
irresponsible, 0.628411297026, 0.667750999592, 96
mean, 0.678401054002, 0.723131399493, 116
memorable, 0.471777521213, 0.527864879706, 61
normal, 0.570047081286, 0.609501683845, 111
sociable, 0.727951984759, 0.800425004777, 197
typical, 0.366027960012, 0.648488161648, 384
uncertain, 0.555890041082, 0.714455943423, 263
uncommon, 0.330264093118, 0.403634886417, 61
unintelligent, 0.594848025156, 0.585971575735, 96
untrustworthy, 0.662762199101, 0.693084589195, 111
