Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.400386895279, 0.553057322042, 217
boring, 0.538698226665, 0.699730292964, 237
calm, 0.434001521376, 0.680258455239, 313
cold, 0.757793058887, 0.846614787764, 308
common, 0.362127640397, 0.567994380756, 197
confident, 0.583132315304, 0.696373749882, 207
egotistic, 0.595405684009, 0.709799282695, 237
emotUnstable, 0.595109673463, 0.770685871601, 343
forgettable, 0.466650637189, 0.535275237623, 71
intelligent, 0.623034476827, 0.680130833874, 207
introverted, 0.605595480971, 0.717282032215, 167
kind, 0.737906445901, 0.859232611942, 343
responsible, 0.690723713688, 0.749626402306, 207
trustworthy, 0.698326082193, 0.790908514801, 253
unattractive, 0.638296830896, 0.772888819819, 247
unemotional, 0.73189190075, 0.799277551469, 242
unfamiliar, 0.408156891137, 0.580190669274, 212
unfriendly, 0.765018802393, 0.840659840306, 308
unhappy, 0.781316067068, 0.855353571195, 308
weird, 0.538702626754, 0.690928575468, 258
aggressive, 0.681669305182, 0.780449647533, 253
attractive, 0.684243822757, 0.811265641929, 258
caring, 0.745191977048, 0.835898353354, 253
emotStable, 0.601159953276, 0.768380381019, 298
emotional, 0.515451267837, 0.646279259567, 41
familiar, 0.442929412837, 0.468552143696, 36
friendly, 0.768977989408, 0.868202190006, 303
happy, 0.802270827369, 0.884617124173, 303
humble, 0.585397126626, 0.712798185434, 237
interesting, 0.578157189718, 0.629198976803, 86
irresponsible, 0.681062770118, 0.7164097918, 167
mean, 0.705649882655, 0.811172185109, 303
memorable, 0.40079797349, 0.499093181882, 31
normal, 0.550165842589, 0.686345365428, 167
sociable, 0.728119216018, 0.822948415479, 212
typical, 0.346644075282, 0.514816308405, 86
uncertain, 0.619601073027, 0.685147946764, 187
uncommon, 0.408045740271, 0.408679919321, 46
unintelligent, 0.625139011702, 0.663862327096, 207
untrustworthy, 0.678435501438, 0.795933006529, 303
