Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.333723220016, 0.465428610849, 81
boring, 0.531585173488, 0.691287981262, 202
calm, 0.486204932346, 0.606796480066, 212
cold, 0.724212168105, 0.83633527601, 298
common, 0.311377712291, 0.432593250491, 91
confident, 0.539739785432, 0.664888166424, 177
egotistic, 0.524920680049, 0.633869619675, 91
emotUnstable, 0.552932788233, 0.611190844432, 76
forgettable, 0.442540484801, 0.604657995034, 172
intelligent, 0.560859318947, 0.6497951215, 162
introverted, 0.608480843202, 0.713852419188, 197
kind, 0.712992461277, 0.835402150206, 308
responsible, 0.625157111574, 0.747348639683, 237
trustworthy, 0.671629362101, 0.795444570706, 308
unattractive, 0.643727374054, 0.751004090665, 207
unemotional, 0.707562656825, 0.808775818175, 288
unfamiliar, 0.430749233488, 0.422402415791, 31
unfriendly, 0.729434094398, 0.83505837322, 308
unhappy, 0.732715538506, 0.846343758083, 308
weird, 0.497841997139, 0.6377202388, 182
aggressive, 0.679347204937, 0.79110575379, 303
attractive, 0.713425777677, 0.801079883455, 227
caring, 0.734531654494, 0.803457609907, 207
emotStable, 0.633982227239, 0.698743859468, 202
emotional, 0.573368262476, 0.656353021841, 71
familiar, 0.40151421137, 0.487947404171, 51
friendly, 0.763246393321, 0.820409626326, 202
happy, 0.800927119658, 0.840803080903, 202
humble, 0.584885414164, 0.713760519382, 227
interesting, 0.592508379166, 0.676485264394, 172
irresponsible, 0.625950190204, 0.684099389799, 127
mean, 0.679504253399, 0.817618957457, 363
memorable, 0.46133514205, 0.643711518303, 197
normal, 0.570182585624, 0.657726233872, 182
sociable, 0.732540521668, 0.816163133157, 242
typical, 0.324915950853, 0.587943604586, 237
uncertain, 0.530806876699, 0.698102628152, 237
uncommon, 0.305102101219, 0.392367644562, 41
unintelligent, 0.483427243551, 0.544470690498, 51
untrustworthy, 0.666959997257, 0.707413644759, 111
