pair,spears
0,0.773629027865
1,0.717227047915
2,0.838794882187
3,0.813332819823
4,0.799046834148
5,0.860853356615
6,0.663829756273
7,0.664653954887
8,0.547562387518
9,0.858204706802
10,0.480035101741
11,0.792641543835
12,0.714412890591
13,0.763383985578
14,0.691626800069
15,0.793532711064
16,0.677424047965
17,0.574105330827
18,0.678947136956
19,0.842416145509
20,0.818112473854
21,0.856405308755
22,0.627398239612
23,0.800608100143
24,0.906527060194
25,0.607582879966
26,0.711038587121
27,0.705381542543
28,0.84754046023
29,0.799448628031
30,0.686955658454
31,0.887694089375
32,0.830054642145
33,0.743584169159
34,0.863583073234
35,0.766545960039
36,0.77687603546
37,0.816317025688
38,0.856734274068
39,0.637170339881
40,0.789286363618
41,0.375716326975
42,0.568439434751
43,0.766857632253
44,0.741609518614
45,0.77642084298
46,0.635218086218
47,0.899245460825
48,0.714888043711
49,0.799367327047
50,0.845565223154
51,0.907189079927
52,0.839955424331
53,0.79819104394
54,0.578640435398
55,0.709526584393
56,0.794878781013
57,0.723055489055
58,0.83648677996
59,0.627446218153
60,0.673612629483
61,0.886860558109
62,0.869690378973
63,0.89641096784
64,0.789505731404
65,0.810734856624
66,0.581722650043
67,0.858169419615
68,0.588716770613
69,0.764765858388
70,0.785811739454
71,0.800574551999
72,0.662696182774
73,0.6801908939
74,0.868035965891
75,0.639674994391
76,0.797764465162
77,0.91468585054
78,0.689410004024
79,0.84379057095
80,0.675044875365
81,0.804640274238
82,0.79816248022
83,0.764579423917
84,0.835252281366
85,0.623536308309
86,0.839960144576
87,0.735230398918
88,0.769260762925
89,0.67519094572
91,0.761829372942
92,0.757500605625
94,0.879888742489
95,0.748059598245
96,0.781195307587
97,0.792462534571
98,0.697933583901
99,0.780043809509
100,0.82646921351
101,0.841532644287
102,0.647508015494
103,0.687027822368
104,0.777315105334
105,0.82089534399
106,0.797353778056
107,0.890048827341
108,0.632101131989
109,0.866912600324
110,0.690480548952
111,0.650750603296
112,0.704300097269
113,0.766763192325
114,0.837590103049
115,0.675057797218
116,0.854961852396
117,0.863281335776
118,0.839853986569
119,0.483622971998
120,0.729655737835
121,0.72580072328
122,0.69456263258
123,0.727849070517
124,0.761950705516
125,0.806379749086
126,0.652747743946
127,0.74206421953
128,0.670971015926
129,0.694133498341
130,0.866654251874
131,0.842606624011
132,0.534885529056
133,0.750455256289
134,0.724230909897
135,0.863610990538
136,0.847709787876
137,0.887055701097
138,0.760718396641
139,0.823437275042
140,0.823499756904
141,0.678779801149
142,0.79480833448
143,0.799394218096
144,0.767731117776
145,0.863171877657
146,0.797337641828
147,0.961794188361
148,0.791089602752
149,0.830547191944
150,0.828690900006
151,0.726137837409
152,0.918758392782
153,0.833010080547
154,0.711261708961
155,0.791815658855
156,0.887137909609
157,0.786079082479
158,0.872801223363
159,0.739820979818
160,0.694042808567
161,0.885065399219
162,0.812403170114
163,0.694808251739
164,0.779009406694
165,0.804367583832
166,0.739565947401
167,0.794691435268
168,0.690597605621
169,0.597249013201
170,0.751741326977
171,0.663864743596
172,0.735583911497
173,0.820009572789
174,0.777717907397
175,0.72366847555
176,0.591219724967
177,0.569022913434
178,0.77926503388
179,0.701514059439
180,0.670090496389
181,0.839542206985
182,0.743557008155
183,0.806491901558
184,0.764470669355
185,0.779629345004
186,0.793462804521
187,0.805947538521
188,0.756436926346
189,0.872586165262
190,0.76131256067
191,0.611142748451
192,0.544958795979
193,0.653041170447
194,0.764994108182
195,0.724933977048
196,0.907995750427
197,0.777210172822
198,0.556148081223
199,0.689522913508
200,0.817288315965
201,0.88955840163
202,0.82770920788
203,0.788065921204
204,0.745772442684
205,0.768638672519
206,0.695272529738
207,0.395416305644
208,0.896214634296
209,0.574241741856
210,0.80920081282
211,0.854010553823
212,0.831151580121
213,0.816872061311
214,0.736088513167
215,0.794165661858
216,0.854979878139
217,0.836205643409
218,0.68590664736
219,0.858681170325
220,0.721192179994
221,0.610157592052
222,0.739007856977
223,0.69216870949
224,0.64680880924
225,0.63827041192
226,0.905180570032
227,0.844747578697
228,0.723970035644
229,0.848174571663
230,0.63001922433
231,0.858950890115
232,0.891954613156
233,0.747256343666
234,0.787403552068
235,0.697895092256
236,0.838189011673
237,0.715876108682
238,0.84456227881
239,0.66674913948
240,0.589165469846
241,0.723205005191
242,0.706029715776
243,0.797935886661
244,1.0
245,0.842541995562
246,0.845230759834
247,0.796164342884
248,0.836982311697
249,0.741291977016
250,0.832904560332
251,0.594751174922
252,0.849551908061
253,0.641355332417
254,0.701130340538
255,0.671578379467
256,0.451121539476
257,0.692933321713
258,0.814680051348
259,0.713602483279
260,0.859377788083
261,0.772823154137
262,0.87680306419
263,0.841331999033
264,0.738895022824
265,0.626897835214
