pair,pears
0,0.827350928498
1,0.740330539515
2,0.839773663255
3,0.816772323168
4,0.803076691524
5,0.884988578959
6,0.660376439717
7,0.707846279512
8,0.550708509562
9,0.860728386913
10,0.47512763407
11,0.792671984222
12,0.715992492619
13,0.774568828145
14,0.635797142806
15,0.801189450163
16,0.71102525568
17,0.565038355671
18,0.678897649361
19,0.849851657324
20,0.88146238357
21,0.878801377712
22,0.6645331112
23,0.798361584727
24,0.908977206335
25,0.606852470567
26,0.713267910697
27,0.682078550913
28,0.840551743412
29,0.779810874299
30,0.72241607926
31,0.884933410965
32,0.823117230147
33,0.747744627087
34,0.84971385983
35,0.753820353498
36,0.814051588927
37,0.786280344633
38,0.867859501527
39,0.672952303986
40,0.804913347064
41,0.388169884655
42,0.566402390611
43,0.822208199065
44,0.775321979015
45,0.739340218196
46,0.652646236845
47,0.892777526876
48,0.730925501587
49,0.814913635422
50,0.842420958527
51,0.906538378243
52,0.808855148719
53,0.806394017367
54,0.589544989543
55,0.702225277686
56,0.797260589677
57,0.703119476918
58,0.825161680169
59,0.632528492238
60,0.697412895728
61,0.881845776994
62,0.857410881801
63,0.891684045973
64,0.802712943587
65,0.82113323486
66,0.632114756176
67,0.857858998649
68,0.614860560706
69,0.78071304186
70,0.78483075051
71,0.803532828037
72,0.684251516668
73,0.68076798715
74,0.876795769194
75,0.651732376761
76,0.808675590763
77,0.920228609063
78,0.68858584085
79,0.845616095901
80,0.598188599265
81,0.800023333454
82,0.817036412469
83,0.771266860349
84,0.823607042953
85,0.550648284268
86,0.849532509683
87,0.757690712489
88,0.765906726954
89,0.678455345463
91,0.739721654704
92,0.731287998702
94,0.87648660889
95,0.784441098673
96,0.804647613633
97,0.787129655132
98,0.808523036123
99,0.767193172812
100,0.807245190489
101,0.844065644622
102,0.665641242112
103,0.73279742971
104,0.777517484721
105,0.817111879564
106,0.793258159039
107,0.889813681569
108,0.665291062327
109,0.87707199651
110,0.705719105447
111,0.672354508739
112,0.686743726339
113,0.749178706249
114,0.809937514675
115,0.651979857158
116,0.85284466846
117,0.888084482356
118,0.844605226058
119,0.664979806948
120,0.748812725205
121,0.743368444449
122,0.743291590826
123,0.717280636076
124,0.78021700523
125,0.846822379142
126,0.647771100129
127,0.715960914972
128,0.673649757441
129,0.683600047853
130,0.863315736205
131,0.852378331559
132,0.557288267101
133,0.775425762613
134,0.73064119104
135,0.852344926781
136,0.845267867737
137,0.881811113024
138,0.777009983033
139,0.844293651164
140,0.836921989709
141,0.670612218921
142,0.792630849378
143,0.833064992725
144,0.733771087259
145,0.887917445938
146,0.777227305142
147,0.964860161759
148,0.82945563254
149,0.851071030192
150,0.829619152423
151,0.77093739889
152,0.90445783357
153,0.791843005201
154,0.708804746172
155,0.802147360874
156,0.883059720289
157,0.779538510395
158,0.880817236815
159,0.739156638043
160,0.716285719489
161,0.893562701256
162,0.772814986634
163,0.694704497414
164,0.783047825509
165,0.855955509104
166,0.775501404122
167,0.801148993375
168,0.713478744712
169,0.617113422509
170,0.763903459876
171,0.6549112534
172,0.742981474701
173,0.826874992072
174,0.765754586584
175,0.71782813168
176,0.616388377983
177,0.650536311179
178,0.802619331225
179,0.683280555553
180,0.654913461276
181,0.83977212362
182,0.746081016313
183,0.802571188766
184,0.766455287249
185,0.81989159175
186,0.771100265444
187,0.775461940786
188,0.757740896912
189,0.865650911806
190,0.777172617971
191,0.687744058979
192,0.558426683906
193,0.659451247841
194,0.779793222211
195,0.681736755057
196,0.905643235127
197,0.801602703256
198,0.591575570017
199,0.691483070518
200,0.814338276241
201,0.879414656935
202,0.851191062089
203,0.816131306369
204,0.737088327252
205,0.769854062333
206,0.693353986182
207,0.481934706608
208,0.89499802009
209,0.54564834704
210,0.805214332548
211,0.862486053544
212,0.819392903648
213,0.837566192401
214,0.725647668956
215,0.826655036495
216,0.834606523769
217,0.832636663294
218,0.671372051993
219,0.869007671976
220,0.711826064085
221,0.720591197648
222,0.770059971085
223,0.703789235735
224,0.650206580494
225,0.658988536697
226,0.909093337222
227,0.849260039373
228,0.713119613729
229,0.868389153854
230,0.674754902143
231,0.906268290377
232,0.890985654064
233,0.734406454763
234,0.786551221971
235,0.721025457327
236,0.853159361684
237,0.725537698173
238,0.845110954606
239,0.679070520933
240,0.59647633004
241,0.74105311756
242,0.715420881909
243,0.846390512157
244,1.0
245,0.867449426463
246,0.851055731627
247,0.823480410157
248,0.883714138031
249,0.75823032757
250,0.879038553004
251,0.617417528775
252,0.857987848516
253,0.658625093592
254,0.710013861896
255,0.745760116682
256,0.475934026348
257,0.687072531765
258,0.842424279429
259,0.745348007965
260,0.851006867005
261,0.790817458119
262,0.836532123285
263,0.835997176578
264,0.73620345041
265,0.620491955581
266,0.819172108009
267,0.806504698882
268,0.872443906664
269,0.599584269321
270,0.689058418413
271,0.768810953188
272,0.846388473197
273,0.769761667597
274,0.763659232045
275,0.764596859837
276,0.843739146369
277,0.851610006606
278,0.717341986731
279,0.725537723122
280,0.822734478637
281,0.830202296112
282,0.852559004126
283,0.808662266963
284,0.792236738481
285,0.578959420156
286,0.791384126661
