Social Attributes, geometric_test, vgg16_test, geometric_train, vgg16_train, geometric_feature_num, vgg16_FeatureNum
atypical, 0.387950551692, 0.448092654103, 0.509293200815, 0.529209567448, 90, 111
boring, 0.524863517616, 0.631976011108, 0.581801442244, 0.672133456559, 37, 114
calm, 0.431117337747, 0.474902759124, 0.487145623575, 0.649610646547, 46, 237
cold, 0.802900434822, 0.804237062809, 0.821528698838, 0.86692116769, 72, 352
common, 0.370666561819, 0.44596853384, 0.487599572724, 0.440728978989, 90, 34
confident, 0.582839755663, 0.640994892046, 0.621161278909, 0.724652583835, 72, 234
egotistic, 0.608933114235, 0.611836757034, 0.675729596549, 0.686225381335, 108, 149
emotUnstable, 0.611777415898, 0.664158558125, 0.642372500943, 0.73866180922, 61, 237
forgettable, 0.43240621314, 0.525371930055, 0.455700267864, 0.587226643368, 37, 105
intelligent, 0.507782060845, 0.601550258131, 0.600907323806, 0.756898883839, 90, 290
introverted, 0.670018379378, 0.636771199284, 0.66287724895, 0.756226332619, 34, 231
kind, 0.788246347013, 0.795216476094, 0.808623972689, 0.873481908634, 78, 390
responsible, 0.617544167814, 0.698705638557, 0.69301852594, 0.781358827717, 84, 234
trustworthy, 0.715552747532, 0.740542357222, 0.747537676376, 0.827785968833, 84, 349
unattractive, 0.62068153337, 0.73680665664, 0.634605163558, 0.725377770491, 40, 84
unemotional, 0.741550663208, 0.734267510572, 0.80309308552, 0.815087344008, 131, 214
unfamiliar, 0.322281505688, 0.413130074849, 0.452793707782, 0.531069940063, 22, 87
unfriendly, 0.7998852285, 0.808202148594, 0.815244554439, 0.864175195247, 78, 387
unhappy, 0.810394781934, 0.813520814431, 0.827705036244, 0.879670757609, 72, 390
weird, 0.502332282728, 0.582277819073, 0.540530232858, 0.628880319438, 52, 87
aggressive, 0.729286289485, 0.732729090576, 0.773461252417, 0.7745457225, 146, 173
attractive, 0.662474795197, 0.751665525855, 0.711285193129, 0.888247322591, 72, 499
caring, 0.780235921759, 0.783598510411, 0.793095883428, 0.88374196493, 72, 452
emotStable, 0.626116511956, 0.663439522616, 0.692029075524, 0.859429464896, 78, 599
emotional, 0.585169083015, 0.54432328258, 0.612937117323, 0.699816936045, 22, 152
familiar, 0.36270868332, 0.399239312205, 0.531448595511, 0.533757951467, 78, 81
friendly, 0.818666558237, 0.819842231759, 0.836030436362, 0.894205332007, 72, 387
happy, 0.853767538332, 0.837031741384, 0.8666742449, 0.911042217817, 75, 387
humble, 0.630991422794, 0.63933061627, 0.720823913854, 0.75696093457, 181, 317
interesting, 0.500350208692, 0.580441757183, 0.580089359165, 0.681597451272, 40, 158
irresponsible, 0.577935311452, 0.678836097609, 0.653938024568, 0.774761966878, 46, 237
mean, 0.746218746892, 0.753003210958, 0.77664401893, 0.846004395908, 84, 387
memorable, 0.400629145697, 0.473416832662, 0.475028634236, 0.530731376515, 61, 49
normal, 0.589562822653, 0.612884628742, 0.64186140576, 0.664164982506, 78, 87
sociable, 0.793015494206, 0.792003736162, 0.802684128703, 0.874055718944, 72, 390
typical, 0.442961874827, 0.437932753762, 0.457288988467, 0.527140112738, 43, 105
uncertain, 0.594650132823, 0.609583644954, 0.673029465956, 0.70410446736, 61, 123
uncommon, 0.422176242099, 0.397325466853, 0.42943181442, 0.44879305182, 43, 37
unintelligent, 0.490479180254, 0.568181350476, 0.548629555239, 0.693708801338, 40, 161
untrustworthy, 0.663611779437, 0.709204646953, 0.730867075239, 0.827464649201, 75, 393
