IMG,nose_width,nose_length,lip_thickness,face_length,eye_height,eye_width,face_width_prom,face_width_mouth,forehead_length,dist_btw_pupils_top,dist_btw_pupils_lip,chin_length,length_cheek_to_chin,brow_to_hair,fWHR,face_shape,heartshapeness,nose_shape,lip_fullness,eye_shape,eye_size,upper_head_len,midface_len,chin_size,forehead_height,cheek_height,cheek_prominence,face_roundness
200,230.5,250.5,135.5,1071,65.25,161.25,676,584.5,443.5,426.25,350,140,415.75,283.5,1.921145564,0.631185808,1.156544055,0.920159681,0.126517274,0.404651163,0.06092437,0.414098973,0.326797386,0.130718954,0.264705882,0.388188609,91.5,0.545751634
201,233.5,235,129,1110,46.5,141.25,688,542,460,442.75,365.5,160.5,426,334,1.901128869,0.61981982,1.269372694,0.993617021,0.116216216,0.32920354,0.041891892,0.414414414,0.329279279,0.144594595,0.300900901,0.383783784,146,0.488288288
