Social Attributes, faceSNN_test, faceSNN_train, faceSNN_FeatureNum
atypical, 0.180255350134, 0.270999340961, 50
boring, 0.226428137286, 0.352411663406, 50
calm, 0.113518706409, 0.259646362239, 39
cold, 0.247555427655, 0.386141070206, 50
common, 0.159006201028, 0.272919003966, 50
confident, 0.167863095004, 0.315750636981, 50
egotistic, 0.287753058049, 0.356441796113, 50
emotUnstable, 0.151282486028, 0.307436712986, 44
forgettable, 0.198505631774, 0.340670052657, 50
intelligent, 0.192608118708, 0.290442700158, 33
introverted, 0.217904844005, 0.370864000612, 50
kind, 0.268889332695, 0.392074984097, 50
responsible, 0.250017168815, 0.333293253673, 50
trustworthy, 0.239846549348, 0.385608733021, 50
unattractive, 0.289713621468, 0.425264321436, 50
unemotional, 0.301652628742, 0.408098518211, 50
unfamiliar, 0.12714466596, 0.306117441075, 50
unfriendly, 0.277374602119, 0.37997224774, 50
unhappy, 0.265021947412, 0.378489287017, 50
weird, 0.202018074108, 0.314732535999, 50
aggressive, 0.2504673733, 0.368685719468, 39
attractive, 0.349279497265, 0.465811016833, 50
caring, 0.309963224819, 0.425496855293, 50
emotStable, 0.222354114475, 0.341560852129, 50
emotional, 0.378771355504, 0.387804616812, 50
familiar, 0.115736090009, 0.236849126089, 39
friendly, 0.321543538856, 0.415060977331, 50
happy, 0.320441333497, 0.412586472362, 50
humble, 0.214185736533, 0.369567529945, 50
interesting, 0.159493687567, 0.307143739737, 39
irresponsible, 0.24449754703, 0.368605956871, 50
mean, 0.272450451567, 0.388147186001, 50
memorable, 0.192349034052, 0.319824398342, 50
normal, 0.197159409284, 0.341139883432, 50
sociable, 0.284402073304, 0.397381221642, 50
typical, 0.133634727597, 0.295253737569, 50
uncertain, 0.214923916309, 0.344780087703, 50
uncommon, 0.102263939073, 0.233101029969, 28
unintelligent, 0.145555570768, 0.304702894578, 39
untrustworthy, 0.253501068285, 0.40716732551, 50
