Social Attributes, faceSNN_test, faceSNN_train, faceSNN_FeatureNum
atypical, 0.145488702359, 0.284703355777, 50
boring, 0.23184368565, 0.345316543714, 50
calm, 0.099417853008, 0.203211284867, 17
cold, 0.216037589312, 0.262968332933, 17
common, 0.108139756875, 0.23257223077, 28
confident, 0.166639321896, 0.318218333245, 50
egotistic, 0.313559981894, 0.348904751797, 50
emotUnstable, 0.15307702181, 0.22261871912, 17
forgettable, 0.218277408627, 0.339512842309, 50
intelligent, 0.0736463476751, 0.211040069179, 17
introverted, 0.200746542942, 0.36500496685, 50
kind, 0.236047882107, 0.290219218494, 17
responsible, 0.213361374703, 0.33062430379, 33
trustworthy, 0.290993524108, 0.326870406346, 33
unattractive, 0.29992477897, 0.421443264602, 50
unemotional, 0.304157940824, 0.406004904848, 50
unfamiliar, 0.131479575679, 0.293992133327, 50
unfriendly, 0.269431072639, 0.390289351009, 50
unhappy, 0.265924235999, 0.384731276739, 50
weird, 0.170136050397, 0.224664970646, 17
aggressive, 0.305570956861, 0.382960368614, 50
attractive, 0.379987970475, 0.451336168052, 50
caring, 0.331021087706, 0.420387520935, 50
emotStable, 0.212660217193, 0.295562971542, 33
emotional, 0.305039721261, 0.415855339337, 50
familiar, 0.121868182088, 0.191535737438, 17
friendly, 0.322573770789, 0.416970462584, 50
happy, 0.29815526734, 0.418980822078, 50
humble, 0.239397623155, 0.348417869426, 50
interesting, 0.238061988757, 0.329612617749, 50
irresponsible, 0.287136346948, 0.365637830247, 50
mean, 0.27501037915, 0.38439275515, 50
memorable, 0.189059237702, 0.331861032202, 50
normal, 0.222641099156, 0.238428091277, 17
sociable, 0.269046253532, 0.410121616462, 50
typical, 0.11439151571, 0.284517498654, 44
uncertain, 0.266638559523, 0.34325631098, 50
uncommon, 0.149354574738, 0.243373277595, 33
unintelligent, 0.268955608941, 0.27954839292, 39
untrustworthy, 0.306994525944, 0.396936769312, 50
