Social Attributes, faceSNN_test, faceSNN_train, faceSNN_FeatureNum
atypical, 0.147442863949, 0.271590062966, 50
boring, 0.232139539906, 0.340067525977, 50
calm, 0.097586287008, 0.240415963422, 28
cold, 0.268211044738, 0.377978861218, 50
common, 0.167091298463, 0.278050348166, 50
confident, 0.171193056428, 0.309386726695, 50
egotistic, 0.268929732622, 0.367871145323, 50
emotUnstable, 0.160181798683, 0.295996357465, 50
forgettable, 0.234254866929, 0.326453899833, 50
intelligent, 0.198544085771, 0.326403992816, 50
introverted, 0.213278296531, 0.352713176857, 50
kind, 0.268354067189, 0.401599781258, 50
responsible, 0.220935606172, 0.354577150875, 50
trustworthy, 0.280419844034, 0.376483690115, 50
unattractive, 0.361110391575, 0.40587249807, 50
unemotional, 0.267490789856, 0.416011271159, 50
unfamiliar, 0.225367352158, 0.25364189409, 50
unfriendly, 0.254684292956, 0.384303445782, 50
unhappy, 0.28801374181, 0.372152150634, 50
weird, 0.175786213567, 0.317910548911, 50
aggressive, 0.278798221958, 0.391022812792, 50
attractive, 0.403596586564, 0.448458350349, 50
caring, 0.318888591854, 0.424416868538, 50
emotStable, 0.290607180726, 0.303439247742, 39
emotional, 0.33719443736, 0.415810574378, 50
familiar, 0.153613402334, 0.251595890452, 39
friendly, 0.327395032159, 0.410810455358, 50
happy, 0.28547100408, 0.41969566143, 50
humble, 0.283385532251, 0.314529261403, 33
interesting, 0.212756305363, 0.336571597404, 50
irresponsible, 0.233958263847, 0.365834105162, 50
mean, 0.252444998382, 0.386487897564, 50
memorable, 0.277950524441, 0.307257179494, 50
normal, 0.163353162163, 0.341560896486, 50
sociable, 0.256367955924, 0.406657425129, 50
typical, 0.208245718854, 0.182010146977, 17
uncertain, 0.202212417138, 0.336717668348, 50
uncommon, 0.177359834153, 0.229260795431, 33
unintelligent, 0.146358137906, 0.313912082127, 50
untrustworthy, 0.273296733004, 0.396417245539, 50
