Social Attributes, faceSNN_test, faceSNN_train, faceSNN_FeatureNum
atypical, 0.197143626785, 0.197550318626, 17
boring, 0.229804768971, 0.350702993377, 50
calm, 0.150738059558, 0.260385928757, 33
cold, 0.325124925465, 0.385245076066, 50
common, 0.12022615348, 0.103433308431, 6
confident, 0.126516926569, 0.243475519726, 33
egotistic, 0.307803253874, 0.377238006491, 50
emotUnstable, 0.158745330787, 0.296440379696, 33
forgettable, 0.175959529786, 0.291554040017, 33
intelligent, 0.188131452478, 0.2849551994, 33
introverted, 0.291649121819, 0.340579102615, 50
kind, 0.304723578995, 0.40920103135, 50
responsible, 0.223941858242, 0.294258651087, 28
trustworthy, 0.223323717402, 0.367065728458, 33
unattractive, 0.297629602713, 0.383354628235, 33
unemotional, 0.320967936759, 0.417818690838, 50
unfamiliar, 0.135059539298, 0.304039115353, 50
unfriendly, 0.298152080918, 0.402779042434, 50
unhappy, 0.285342201009, 0.380998421247, 50
weird, 0.162581831957, 0.245785287664, 28
aggressive, 0.290200851384, 0.379228790237, 39
attractive, 0.364617083858, 0.433673509872, 39
caring, 0.356488951167, 0.439118566863, 50
emotStable, 0.182294798752, 0.321928134731, 33
emotional, 0.377320697195, 0.413867287412, 50
familiar, 0.105897918197, 0.195931105557, 17
friendly, 0.331105690079, 0.424035356772, 50
happy, 0.330967570123, 0.42188479277, 50
humble, 0.274177592323, 0.343396019737, 33
interesting, 0.148328121832, 0.313678912752, 33
irresponsible, 0.204680003186, 0.348628372806, 33
mean, 0.273177210636, 0.351177112044, 33
memorable, 0.190516966254, 0.330755855503, 50
normal, 0.189135401544, 0.254599463745, 17
sociable, 0.337461169922, 0.398082836633, 50
typical, 0.0616388211842, 0.239195896831, 17
uncertain, 0.213189464679, 0.32944043291, 50
uncommon, 0.148244149734, 0.23093554667, 28
unintelligent, 0.132508082705, 0.257002407339, 28
untrustworthy, 0.28965563791, 0.418605082683, 50
