Social Attributes, faceSNN_test, faceSNN_train, faceSNN_FeatureNum
atypical, 0.0935981391891, 0.196484218335, 17
boring, 0.206364951522, 0.21323016697, 17
calm, 0.152733652047, 0.240403221534, 39
cold, 0.228273938356, 0.325768335356, 39
common, 0.188843700121, 0.277481119082, 50
confident, 0.143104275671, 0.247144877517, 33
egotistic, 0.248982317381, 0.344433994093, 39
emotUnstable, 0.179147941625, 0.266178392989, 33
forgettable, 0.262445623135, 0.256988918067, 33
intelligent, 0.20693881208, 0.288929919187, 39
introverted, 0.249361356132, 0.339596675389, 50
kind, 0.251651180038, 0.343943261114, 39
responsible, 0.183135282117, 0.330087654253, 39
trustworthy, 0.225497720948, 0.33469250677, 39
unattractive, 0.349193198889, 0.341222231161, 33
unemotional, 0.283015165238, 0.407082075286, 50
unfamiliar, 0.080261074706, 0.132580961599, 17
unfriendly, 0.217595714458, 0.322819893798, 39
unhappy, 0.206986282175, 0.292835213325, 33
weird, 0.150207873052, 0.25893889803, 33
aggressive, 0.210215051966, 0.307544282217, 22
attractive, 0.357272801353, 0.397214105516, 33
caring, 0.233278673365, 0.383622185779, 39
emotStable, 0.132297379759, 0.328348158211, 39
emotional, 0.326503926261, 0.40872072002, 50
familiar, 0.0797750511867, 0.281778268932, 50
friendly, 0.227200608863, 0.364983081803, 39
happy, 0.28971575915, 0.415904441091, 50
humble, 0.211954758027, 0.265927097935, 17
interesting, 0.173148553851, 0.268812103878, 33
irresponsible, 0.19141423211, 0.324179418703, 33
mean, 0.218569933327, 0.333575386012, 33
memorable, 0.244988947264, 0.313584340401, 50
normal, 0.146540546427, 0.278709646104, 33
sociable, 0.209387642634, 0.329123126077, 33
typical, 0.155220445028, 0.293260182943, 50
uncertain, 0.184251792685, 0.335177327539, 50
uncommon, 0.0643505431854, 0.278566209086, 50
unintelligent, 0.10245312955, 0.308802213825, 39
untrustworthy, 0.225464973747, 0.354880674199, 33
