Social Attributes, faceSNN_test, faceSNN_train, faceSNN_FeatureNum
atypical, 0.148669429194, 0.295487789612, 50
boring, 0.261358246631, 0.323791340744, 50
calm, 0.220626709798, 0.247202580849, 39
cold, 0.346193612478, 0.370911281514, 50
common, 0.181382711716, 0.268006283398, 50
confident, 0.11500839069, 0.310592718813, 50
egotistic, 0.263633985513, 0.176251417994, 11
emotUnstable, 0.207669877298, 0.316702525899, 50
forgettable, 0.200789966878, 0.257453622652, 33
intelligent, 0.24960513942, 0.290549894591, 33
introverted, 0.241410577181, 0.348441941613, 50
kind, 0.369526267732, 0.378436654759, 50
responsible, 0.264998220336, 0.34021631674, 39
trustworthy, 0.325193003819, 0.376774019525, 50
unattractive, 0.325491338287, 0.402191964344, 50
unemotional, 0.315796535289, 0.394535033126, 50
unfamiliar, 0.146963964883, 0.295940583686, 50
unfriendly, 0.342343492137, 0.373821272774, 50
unhappy, 0.322912303937, 0.362509796784, 50
weird, 0.26793277192, 0.305773166754, 50
aggressive, 0.347289906133, 0.376882359265, 50
attractive, 0.347650754851, 0.406072224636, 39
caring, 0.354494717138, 0.413814332722, 50
emotStable, 0.285545539323, 0.312782879261, 39
emotional, 0.24502491445, 0.244381739545, 11
familiar, 0.138556154299, 0.268488957935, 50
friendly, 0.3321893673, 0.407253771831, 50
happy, 0.348982351957, 0.403048981264, 50
humble, 0.277528184228, 0.345236007581, 39
interesting, 0.237079453842, 0.294497665117, 39
irresponsible, 0.296282024117, 0.335759076036, 39
mean, 0.346161524737, 0.367733187115, 50
memorable, 0.18692929185, 0.32159982164, 50
normal, 0.248980898326, 0.323636226198, 50
sociable, 0.314656616317, 0.385184068258, 50
typical, 0.223496933944, 0.271188084916, 50
uncertain, 0.280334769493, 0.327680119765, 50
uncommon, 0.164659182606, 0.269647446168, 50
unintelligent, 0.230168463145, 0.292875650663, 39
untrustworthy, 0.365897366436, 0.38090457253, 50
