Social Attributes, faceSNN_test, faceSNN_train, faceSNN_FeatureNum
atypical, 0.0952870289067, 0.200323818349, 17
boring, 0.224778569351, 0.302984260671, 39
calm, 0.202438986552, 0.263093748484, 50
cold, 0.24448840542, 0.336159914994, 39
common, 0.0245425206913, 0.0262817065833, 1
confident, 0.209687975622, 0.294910569366, 50
egotistic, 0.298693992032, 0.31255895159, 39
emotUnstable, 0.194815173319, 0.294435646496, 39
forgettable, 0.241530110387, 0.339747195031, 50
intelligent, 0.249981380621, 0.30145023114, 50
introverted, 0.249763346341, 0.353996221922, 50
kind, 0.299873606704, 0.357645369086, 44
responsible, 0.30732775272, 0.335071212608, 50
trustworthy, 0.280572685943, 0.35750514154, 44
unattractive, 0.360230238499, 0.417967133948, 50
unemotional, 0.309006558459, 0.34963979478, 39
unfamiliar, 0.229991459444, 0.276023475628, 50
unfriendly, 0.279402340842, 0.349238181141, 44
unhappy, 0.267586380268, 0.377612716685, 50
weird, 0.222334918603, 0.191640718302, 17
aggressive, 0.27007811362, 0.375904718107, 44
attractive, 0.439734352129, 0.456707348427, 50
caring, 0.2902220707, 0.398114668637, 44
emotStable, 0.241333241967, 0.317335891746, 39
emotional, 0.328901098996, 0.368223411424, 44
familiar, 0.119508349883, 0.256487332395, 39
friendly, 0.27256827381, 0.380341630801, 44
happy, 0.322108304849, 0.419018725093, 50
humble, 0.211520240841, 0.346520481973, 44
interesting, 0.232511133553, 0.302143885022, 44
irresponsible, 0.249923491335, 0.380191819734, 50
mean, 0.280550419719, 0.393625703066, 50
memorable, 0.35954476438, 0.296959317675, 50
normal, 0.209219497535, 0.297665911936, 39
sociable, 0.298645755654, 0.407418103857, 50
typical, 0.0540932607869, 0.113416369689, 6
uncertain, 0.220979015894, 0.354740347292, 50
uncommon, 0.134046725705, 0.257492741848, 44
unintelligent, 0.196528022244, 0.329155904677, 50
untrustworthy, 0.260814774043, 0.387610943669, 39
