dataset,img_num,nose_width,nose_length,lip_thickness,face_length,eye_height,eye_width,face_width_prom,face_width_mouth,forehead_length,distance_btw_pupils,dist_btw_pupils_top,dist_btw_pupils_lip,chin_length,length_cheek_to_chin,brow_to_hair,fWHR,face_shape,heartshapeness,nose_shape,lip_fullness,eye_shape,eye_size,upper_head_len,midface_len,chin_size,forehead_height,cheek_height,cheek_prominence,face_roundness
mit,45,28.0178514522,58.0775343829,13.6117675051,200.00999975,8.3738671846,27.5920034333,160.199875156,134.059688199,69.5844810285,67.6849318534,70.2784639844,76.4235616062,42.4264068712,111.797258018,50.403372903,1.6756264101,0.8009593288,1.1949891672,0.4824215034,0.0680554348,0.303488915,0.0418672426,0.3479050103,0.3820987036,0.2121214286,0.2520042646,0.5589583429,0.1306944002,0.6702649286
mit,46,31,52.0096144958,18.5,201.062179437,9.0276925691,30.0166620396,157.11460785,130.015383705,66.0302960769,77.0584193972,70.0361513791,74.475846913,44.0113621693,107.212446144,41.0030486671,1.6021888057,0.7814229821,1.2084309054,0.5960436412,0.0920113372,0.3007560453,0.0449000035,0.3284073428,0.3704120144,0.2188942858,0.2039321805,0.5332302994,0.1347803163,0.6466426658
mit,47,25,47,16.5553851381,201.009950002,10.0062460986,27.5893839264,146.030818665,125,81.2219182241,66.5300683902,84.1204493569,66.2193325246,39.0512483795,101.136468639,59.2114853723,1.6594411212,0.726485523,1.1682465493,0.5319148936,0.0823610231,0.3626846517,0.0497798547,0.404069143,0.3294331078,0.1942752007,0.2945699224,0.5031416039,0.1046257594,0.6218597637
mit,48,32.0624390838,52.038447325,19.5588214432,201.002487547,7.2855339059,28.5442869762,163.150237511,139.089898986,70.256672281,70.1444937255,73.6533264693,73.6043462461,40.049968789,114.613777611,51.4781507049,1.79015958,0.8116826787,1.1729840822,0.6161298181,0.0973063651,0.2552361498,0.0362459888,0.3495313572,0.3661862455,0.1992511102,0.256107033,0.5702107422,0.1197016953,0.6919809833
mit,49,28.0178514522,55.0090901579,19.0311288741,200.022498735,6.7589172119,25.0499322072,147.085009433,122.036879672,72.0277724215,66.5676347785,72.7568725276,70.5928023826,41.0121933088,109.379771757,49.5025251881,1.5895277727,0.7353423258,1.2052504934,0.5093313009,0.0951449412,0.2698177846,0.0337907848,0.3600983533,0.3529243102,0.2050379011,0.2474847855,0.546837343,0.1252265616,0.6101157642
gs,0,26.0192236625,49.0102030194,15.5355339059,201.009950002,7.5786223609,25.5196078345,158.012657721,129.034879006,75.0599760192,69.5071938723,75.2915167864,72.1921640156,41,114.4527995,58.0344725142,1.8362395887,0.7860937119,1.2245732235,0.5308940192,0.0772873875,0.2969725244,0.0377027225,0.3734142316,0.3591472164,0.2039700025,0.2887144269,0.5693887268,0.144160917,0.6419327949
gs,1,26.0192236625,49.0917508345,15.0622577483,200.00999975,7.7894529687,26.152946438,152.05262247,131.015266286,71.1125867902,66.0927378764,78.5143299023,62.8744219921,49.040799341,106.448447942,52.1176553579,1.7880811577,0.760225102,1.1605717927,0.5300121348,0.0753075235,0.2978422713,0.0389453176,0.3555451571,0.3143563925,0.2451917374,0.2605752484,0.5322156296,0.105181522,0.6550435801
gs,2,31,54.0092584656,14.5,201.002487547,6.7596012026,26.5384048104,139.057542046,113.070774296,78.006409993,69.5161851658,79.5015723115,69.7812709982,41,105.138877524,55.5022522066,1.5365239756,0.6918200055,1.2298274502,0.5739756642,0.0721384107,0.254710155,0.0336294405,0.3880867891,0.347166206,0.2039775751,0.2761271907,0.5230725192,0.1292858017,0.5625342038
gs,3,26.0192236625,52.0864665724,17,202.061871713,7.5083240946,26.0480166417,148.12157169,120.066648158,71.1758385971,67.5666337773,76.0497370147,69.3884247634,44.0454310911,104.123535989,51.5873046398,1.653339228,0.7330505772,1.2336612537,0.499539043,0.0841326464,0.2882493588,0.0371585398,0.3522477447,0.3434018708,0.2179799223,0.2553044976,0.5153052137,0.138843233,0.5942073442
gs,4,28.0178514522,52,17.0311288741,202.061871713,10.280886821,30.5807425222,156.003205095,132.034086508,79.1012010023,74,80.0562302385,72.1885395422,38,109.391359535,57.5782076831,1.7048512486,0.772056617,1.1815373531,0.5388048356,0.0842867025,0.3361882666,0.050879895,0.3914701984,0.3572595806,0.1880612096,0.2849533521,0.5413755629,0.1186226693,0.6534339477
gs,5,25.0199920064,52.0864665724,14.6462761601,200.00999975,9.3186462953,25.5962483315,138.130373199,113.004424692,79.9061950039,61.0512080143,79.6782592681,71.4331449195,37.3363094052,105.218593399,57.0701322935,1.4687242535,0.690617336,1.2223448204,0.4803549492,0.0732277195,0.3640629742,0.046590902,0.399511,0.3571478677,0.1866722136,0.285336395,0.5260666643,0.1256234615,0.5649938745
gs,6,27.0185121722,54.0370243444,19,201.121853611,10.0062460986,27.0185121722,151.082758778,123.065023463,75.2396172239,65.5,78.0900922013,70.7161459895,38,104.471500281,53.5373701259,1.6299018552,0.7512001111,1.2276661112,0.5,0.0944700919,0.3703477836,0.0497521573,0.3740996608,0.3516084638,0.1889401839,0.2661936988,0.5194438019,0.1393072648,0.6118928463
gs,7,25,56,17.0355339059,201,9.7569390943,27.5181818122,148.00337834,122.004098292,75.0066663704,65,79.7597956366,69.7898913189,38,106.256772931,51.5097078229,1.5660856339,0.7363352156,1.2131016942,0.4464285714,0.0847539,0.3545633633,0.0485419855,0.3731674944,0.3472133896,0.1890547264,0.2562672031,0.5286406613,0.129349652,0.6069855636
gs,8,28.0178514522,51.1566222497,25,201.419959289,8.5276925691,29.5411502931,156.259399717,136.444127759,69.7208720542,70.5159556413,73.3348484692,70.0263868959,39.0512483795,110.557134618,45.3348651702,1.6912686112,0.7757890542,1.1452262716,0.5476876741,0.1241187819,0.288671649,0.0423378726,0.3461467885,0.3476635937,0.1938797352,0.2250763297,0.5488886752,0.0983778967,0.6774111575
gs,9,29.0172362571,52.0864665724,16.5,202.039600079,7.75,25.6589889012,157.257750206,131.137332594,70.0071424927,67.186308129,75.5,71.4524523135,44.0454310911,109.006885246,49.5403875641,1.6984964522,0.7783511259,1.1991836885,0.5570974222,0.0816671583,0.3020384018,0.0383588168,0.3465020841,0.3536556808,0.2180039511,0.2452013741,0.5395322759,0.1292836533,0.6490674726
gs,10,27,54.083269132,14,201.039797055,7.8242646352,25.0488169599,137.032842779,115,73.027392121,62.501999968,75.5037250737,74.6147181256,38.1182371051,105.747242058,50.5618433208,1.4045603691,0.6816204791,1.1915899372,0.4992301766,0.0696379533,0.3123606455,0.038918984,0.3632484373,0.3711440183,0.1896054297,0.2515016632,0.5260015361,0.109594434,0.572026045
gs,11,32,52,18,202.022275999,8.25,29.5086181285,162.012345209,136.033084211,74.1080292546,71.0158433027,77.7757192188,68.1861496484,42.0475920833,110.731308217,58.0344725142,1.9506821669,0.8019528758,1.1909775195,0.6153846154,0.0890990853,0.2795793407,0.0408370808,0.3668309789,0.3375179757,0.2081334441,0.2872676898,0.5481143486,0.1285960217,0.673356854
gs,12,24.0831891576,53.0094331228,15.0977916542,201.201391645,9.7815122082,24.6755210638,139.129436138,113.216606556,79.0253124005,66.5676347785,82.0243866176,70.2946343711,40.1995024845,100.470119172,53.5093449782,1.4715278416,0.6914934087,1.2288783454,0.4543189342,0.0750382069,0.3964054977,0.0486155296,0.3927672257,0.3493744939,0.1997973382,0.2659491793,0.4993510152,0.1287905087,0.5627029
gs,13,25,52.0096144958,15,200.002499984,8.265151477,26.0480166417,143.003496461,117,83.0060238778,64.5077514722,85.5058477532,70.4782313749,31.0161248385,104.61567369,59.0084739677,1.5212277133,0.7150085448,1.2222521065,0.4806803558,0.0749990625,0.3173044455,0.0413252408,0.4150249316,0.3523867521,0.1550786857,0.2950386819,0.5230718301,0.1300158571,0.5849926876
gs,14,29.0172362571,57.0350769264,14.5495097568,201.002487547,9.3709179131,27.312607925,154.081147452,127.062976512,82.0243866176,68.0165421056,81.0385710634,74.7176998691,33.0151480384,112.670382318,54.0578393945,1.5403301965,0.766563386,1.2126360619,0.5087612364,0.0723847249,0.3430986136,0.0466209052,0.4080764752,0.3717252497,0.1642524351,0.2689411462,0.5605422286,0.1344170974,0.6321462886
gs,15,30.0166620396,54.0092584656,17.5311288741,201.009950002,11.554138969,29.6521931688,150.029997001,120.016665509,77.1038261048,71.0070419043,78.5481540203,70.4216817412,38.0131556175,104.750306479,51.5388203202,1.5875301334,0.7463809478,1.2500763653,0.5557688236,0.0872152293,0.38965546,0.057480433,0.3835821366,0.3503392829,0.1891108157,0.256399349,0.5211200066,0.1493126658,0.597068282
gs,16,31.0161248385,55.0817574157,20.0276925691,200.089979759,8.0078048855,30.6057078808,170.144056611,142.056326857,58.0344725142,74.5419345067,65.7671080404,68.4870597393,53.0377224247,117.87960508,38.5810834477,1.8765825185,0.8503377171,1.1977224836,0.5630925064,0.1000934309,0.2616441651,0.040021019,0.2900418731,0.3422813067,0.2650693577,0.1928186684,0.5891329752,0.140375494,0.7099622231
gs,17,29,51,17.0311288741,199.022611781,8.5147439798,27.5092560861,150.083310198,122.016392341,80.1560977094,72,82.3244344044,69.7062669393,36.0555127546,105.85242873,56.6414159428,1.6582778864,0.7541018021,1.2300257967,0.568627451,0.0855738387,0.3095228731,0.0427827969,0.4027486977,0.3502429514,0.1811628962,0.2845978929,0.5318613186,0.1410237641,0.613078038
