Social Attributes, geometric_test, vgg16_test, geometric_train, vgg16_train, geometric_feature_num, vgg16_FeatureNum
atypical, 0.359051777865, 0.38574854024, 0.512990959205, 0.52772338203, 96, 106
boring, 0.548169476425, 0.601289013354, 0.584279255976, 0.666310558158, 61, 101
calm, 0.480054400445, 0.488480732586, 0.591774499367, 0.574191950773, 142, 106
cold, 0.814467039011, 0.757583461975, 0.846585818246, 0.822427026158, 152, 106
common, 0.321596492788, 0.343776418196, 0.515400421942, 0.488843994974, 96, 71
confident, 0.527944357404, 0.585095939263, 0.564086503255, 0.665372840126, 31, 101
egotistic, 0.644827799753, 0.616091313148, 0.682802766179, 0.679634769429, 121, 116
emotUnstable, 0.599539220048, 0.630361082863, 0.655320881469, 0.753431013053, 61, 232
forgettable, 0.361996304555, 0.385271436751, 0.538825187761, 0.593689320826, 106, 81
intelligent, 0.503403339908, 0.588373168361, 0.620551068019, 0.659701716486, 111, 86
introverted, 0.62209616378, 0.631969212305, 0.667491723546, 0.716597092406, 36, 106
kind, 0.800358840094, 0.742186686283, 0.834009187446, 0.882731418902, 152, 358
responsible, 0.639283466492, 0.668805597204, 0.722545808331, 0.785410644657, 147, 192
trustworthy, 0.743036840275, 0.714198915489, 0.766687841841, 0.778501977004, 121, 106
unattractive, 0.603782577433, 0.682704166227, 0.668632515757, 0.833201395251, 71, 434
unemotional, 0.750628195029, 0.730201881535, 0.791973668768, 0.797229326664, 111, 137
unfamiliar, 0.306776394123, 0.338555537136, 0.476954220404, 0.537220873383, 51, 91
unfriendly, 0.808643056961, 0.7454804674, 0.822679940413, 0.813874827257, 111, 106
unhappy, 0.818142725662, 0.772741152204, 0.850745739629, 0.85922162357, 152, 232
weird, 0.474484088974, 0.539938819586, 0.575678982262, 0.630677090647, 81, 101
aggressive, 0.720530902191, 0.687351584467, 0.761942657599, 0.75540405685, 111, 86
attractive, 0.618700304081, 0.739390437863, 0.722455411577, 0.87952499693, 71, 494
caring, 0.777465532099, 0.749643887057, 0.830466768016, 0.893499340918, 152, 489
emotStable, 0.626957461912, 0.638256137728, 0.702789375884, 0.802571936597, 81, 298
emotional, 0.584678849193, 0.598502836783, 0.638682275, 0.670830340498, 31, 91
familiar, 0.390836444164, 0.401723913153, 0.537982243226, 0.571674041922, 81, 127
friendly, 0.822500877746, 0.785472841337, 0.854745974532, 0.910503060541, 111, 489
happy, 0.863919626665, 0.817298337897, 0.884298706543, 0.909078966769, 132, 353
humble, 0.645183898352, 0.592328879327, 0.691459458202, 0.726703013145, 111, 187
interesting, 0.5403669391, 0.56639749104, 0.606303057035, 0.757556516486, 76, 389
irresponsible, 0.629574748559, 0.655548209962, 0.707836779232, 0.809349133602, 106, 343
mean, 0.759509290084, 0.700727474644, 0.785710319453, 0.845806747042, 106, 343
memorable, 0.361736066497, 0.487457265836, 0.498515105455, 0.556577582396, 66, 71
normal, 0.53080409425, 0.582873459337, 0.677914163078, 0.70147657075, 96, 127
sociable, 0.75810760605, 0.75459795361, 0.814325176021, 0.870249438162, 81, 353
typical, 0.339765464355, 0.370476407602, 0.534423269454, 0.568100852692, 76, 121
uncertain, 0.626673217241, 0.637042815813, 0.672670451289, 0.677571946481, 76, 81
uncommon, 0.28952693474, 0.357536439076, 0.424524561754, 0.505824954147, 16, 81
unintelligent, 0.509645556894, 0.575521916755, 0.564287364486, 0.753896114744, 41, 368
untrustworthy, 0.692060884391, 0.696739160919, 0.741733735317, 0.819309572187, 111, 343
