Social Attributes, geometric_test, vgg16_test, geometric_train, vgg16_train, geometric_feature_num, vgg16_FeatureNum
atypical, 0.413207531501, 0.423733435773, 0.526559172266, 0.505628860511, 132, 81
boring, 0.575672322551, 0.608817017264, 0.605618028725, 0.66573740641, 91, 116
calm, 0.490905015505, 0.494583913599, 0.638870871129, 0.745329991843, 217, 454
cold, 0.813616678668, 0.795970867143, 0.860807677135, 0.872132740242, 197, 348
common, 0.391986457055, 0.403782713674, 0.459418503742, 0.483464631934, 51, 81
confident, 0.601112738295, 0.649630338156, 0.598685359004, 0.659689911853, 71, 101
egotistic, 0.606182669895, 0.601771351669, 0.672243245669, 0.769764353775, 76, 333
emotUnstable, 0.61563196099, 0.659010094034, 0.695100049926, 0.715987985917, 132, 147
forgettable, 0.408914472847, 0.464245686119, 0.507856711447, 0.579929236499, 91, 81
intelligent, 0.537683212739, 0.633074061947, 0.600707585436, 0.738485671568, 101, 247
introverted, 0.677723602248, 0.67706398705, 0.693687909998, 0.706529423754, 127, 147
kind, 0.793434694543, 0.781040891447, 0.846062295722, 0.872087343777, 192, 348
responsible, 0.654208473225, 0.714235536149, 0.719263459222, 0.8014881772, 111, 283
trustworthy, 0.719559869448, 0.73304834414, 0.743604255429, 0.788561133286, 71, 167
unattractive, 0.662084777396, 0.721523463819, 0.651791060818, 0.757919493141, 86, 147
unemotional, 0.778205176828, 0.745388586512, 0.784878615197, 0.813122826466, 81, 212
unfamiliar, 0.369131733434, 0.420746633069, 0.496459303812, 0.523580126801, 127, 81
unfriendly, 0.799850817907, 0.797034060289, 0.850523775288, 0.865938241095, 192, 348
unhappy, 0.814685724965, 0.810835231168, 0.873183084809, 0.881308260785, 247, 358
weird, 0.522631123045, 0.579115785382, 0.55398532023, 0.649052758169, 71, 147
aggressive, 0.729600800464, 0.721292922057, 0.789632133467, 0.802737283846, 212, 232
attractive, 0.713573052023, 0.794303717119, 0.685202083394, 0.87680171903, 71, 484
caring, 0.782224810032, 0.766982363402, 0.831882448853, 0.882467218533, 172, 449
emotStable, 0.654039922742, 0.650390722635, 0.743121898876, 0.730951669143, 202, 127
emotional, 0.616752488793, 0.616974758945, 0.615771365736, 0.629695982818, 26, 41
familiar, 0.493548075007, 0.511535868424, 0.492519525632, 0.456057421137, 71, 31
friendly, 0.823378610251, 0.816544449005, 0.86966519153, 0.899011344621, 192, 449
happy, 0.840838561446, 0.828032410576, 0.903825043468, 0.90642479134, 258, 333
humble, 0.635245418432, 0.625267539482, 0.708124079363, 0.76829434311, 147, 343
interesting, 0.486862224021, 0.58585706863, 0.69465183397, 0.678562654135, 258, 157
irresponsible, 0.648677437191, 0.691888968933, 0.691553928966, 0.734435626117, 101, 132
mean, 0.736329784446, 0.715249148919, 0.81732060288, 0.797618571111, 212, 172
memorable, 0.402580807997, 0.516490666441, 0.507517130449, 0.527456501934, 96, 51
normal, 0.613145340413, 0.610039619335, 0.622972208639, 0.664468220693, 71, 91
sociable, 0.769972322088, 0.758771393245, 0.854326960244, 0.894274413556, 283, 494
typical, 0.39403941593, 0.427748174816, 0.512151910875, 0.534421620081, 71, 91
uncertain, 0.646749993074, 0.636386838106, 0.689207587236, 0.692334367431, 111, 116
uncommon, 0.395258131284, 0.427269727634, 0.480705762627, 0.49311402773, 76, 76
unintelligent, 0.56402436038, 0.645335096323, 0.599352688011, 0.664901408041, 111, 162
untrustworthy, 0.687542055193, 0.700407296292, 0.739614599739, 0.835638816479, 101, 449
