Social Attributes, geometric_test, vgg16_test, geometric_train, vgg16_train, geometric_feature_num, vgg16_FeatureNum
atypical, 0.381944207561, 0.4046098567, 0.427102025477, 0.486048095072, 21, 56
boring, 0.528834273684, 0.593602261731, 0.610667654401, 0.770506986737, 76, 394
calm, 0.465341630558, 0.46145685124, 0.672106344442, 0.566209163272, 258, 86
cold, 0.777884872196, 0.755602258709, 0.864068343267, 0.808060055971, 207, 81
common, 0.367790809571, 0.352489246948, 0.532340741433, 0.395528773713, 132, 21
confident, 0.543970464951, 0.613934318631, 0.63113584487, 0.70221393214, 86, 167
egotistic, 0.608556795293, 0.621114658423, 0.67277046562, 0.646024989489, 71, 71
emotUnstable, 0.58363193265, 0.613393982989, 0.740576870297, 0.698356650205, 253, 86
forgettable, 0.39560930869, 0.46938145929, 0.512315575236, 0.731482014971, 66, 434
intelligent, 0.451976018761, 0.622135492199, 0.721115965769, 0.708156935391, 328, 187
introverted, 0.657361542188, 0.646128690777, 0.694608727656, 0.800163976184, 86, 419
kind, 0.765713272802, 0.741740634613, 0.855080822126, 0.809303612918, 192, 91
responsible, 0.609890642759, 0.68558671515, 0.797212965742, 0.82357785975, 328, 343
trustworthy, 0.716850911236, 0.704144479743, 0.780355561502, 0.767185725427, 132, 86
unattractive, 0.60973808586, 0.717327209979, 0.736814692941, 0.772947693715, 237, 167
unemotional, 0.736830603807, 0.731962128456, 0.818794772559, 0.782722602322, 197, 81
unfamiliar, 0.354258314609, 0.380397441168, 0.469300456565, 0.518558358154, 61, 91
unfriendly, 0.766719213916, 0.751074624276, 0.853699637792, 0.809058652372, 192, 96
unhappy, 0.795362598833, 0.777960471165, 0.860272022721, 0.829096911115, 162, 96
weird, 0.47643910339, 0.543096392186, 0.520710683382, 0.630811885402, 31, 86
aggressive, 0.72041071516, 0.698067632341, 0.789912733313, 0.797563718168, 187, 207
attractive, 0.663749670257, 0.731168454058, 0.776002269893, 0.866051839362, 222, 384
caring, 0.764328714738, 0.761067427466, 0.842125935092, 0.899021157239, 192, 489
emotStable, 0.653093937058, 0.649419697962, 0.714654682062, 0.812226692634, 127, 389
emotional, 0.567682976215, 0.608330431717, 0.627454117794, 0.658234390905, 31, 96
familiar, 0.433470195814, 0.423937561921, 0.511728244621, 0.591475185571, 76, 182
friendly, 0.829739917691, 0.810281314763, 0.865856317334, 0.892189543071, 177, 338
happy, 0.85024505987, 0.838426043136, 0.884723300516, 0.90768801857, 137, 348
humble, 0.641259227645, 0.616669208347, 0.722120193337, 0.673719478182, 152, 86
interesting, 0.568265201574, 0.532947848254, 0.614164847656, 0.760333384463, 81, 333
irresponsible, 0.631247514562, 0.684484269055, 0.713901393458, 0.713422727294, 132, 91
mean, 0.746057272499, 0.717562032451, 0.812431347648, 0.849550651228, 187, 338
memorable, 0.398455917358, 0.443471321962, 0.49524209416, 0.647034955948, 86, 217
normal, 0.617394796499, 0.615629699099, 0.692310230886, 0.712579068, 192, 182
sociable, 0.774817308639, 0.775908139723, 0.838585716875, 0.876970289542, 192, 429
typical, 0.42101010375, 0.419723016421, 0.516686312188, 0.696312139132, 76, 429
uncertain, 0.616042007169, 0.610131835056, 0.696565010829, 0.696516527221, 116, 101
uncommon, 0.375247565371, 0.387711433633, 0.48266530047, 0.442936252323, 76, 36
unintelligent, 0.498874491234, 0.582256207203, 0.612555695997, 0.690149207785, 86, 167
untrustworthy, 0.700029627478, 0.698706229018, 0.726107639242, 0.784941146107, 81, 222
