Social Attributes, geometric_test, vgg16_test, geometric_train, vgg16_train, geometric_feature_num, vgg16_FeatureNum
atypical, 0.431554919865, 0.399893164259, 0.350227358153, 0.42385830357, 11, 26
boring, 0.564339830376, 0.631522556414, 0.61431764081, 0.699815851871, 101, 157
calm, 0.431764919421, 0.469217714922, 0.408856878232, 0.468111099798, 16, 36
cold, 0.802859460507, 0.791330617412, 0.846396542126, 0.826302070585, 127, 137
common, 0.479842320541, 0.393291838279, 0.438293458535, 0.550844440679, 51, 157
confident, 0.523214973936, 0.59768514964, 0.654371439947, 0.618625726023, 132, 46
egotistic, 0.659711441595, 0.638319373682, 0.676207144271, 0.74502760829, 106, 298
emotUnstable, 0.638502928187, 0.610592048161, 0.646100862795, 0.600263074848, 61, 31
forgettable, 0.401628398468, 0.474859277068, 0.508274881851, 0.701716970904, 101, 384
intelligent, 0.603840217726, 0.610305540438, 0.591835661181, 0.565925240396, 116, 41
introverted, 0.675031429505, 0.677016887168, 0.68753218725, 0.634812637693, 86, 31
kind, 0.796252887204, 0.800669692514, 0.833958772727, 0.899410492488, 127, 500
responsible, 0.677605240819, 0.665265003613, 0.712961584789, 0.653384131419, 116, 36
trustworthy, 0.756910266894, 0.775260183151, 0.763694369984, 0.817814915032, 121, 308
unattractive, 0.610234425525, 0.699106605155, 0.664768865595, 0.809805701282, 71, 318
unemotional, 0.765106683008, 0.761717234709, 0.780731975109, 0.792706860848, 66, 142
unfamiliar, 0.415024875953, 0.450223069228, 0.38572708173, 0.462159710389, 11, 41
unfriendly, 0.798013991119, 0.789566564471, 0.834564266003, 0.817613122167, 127, 137
unhappy, 0.8189535815, 0.806325382302, 0.837081727123, 0.864733945665, 86, 237
weird, 0.484724617365, 0.545064840744, 0.459121308344, 0.548397709708, 11, 36
aggressive, 0.713663257304, 0.703081824323, 0.749099392601, 0.856859145617, 96, 489
attractive, 0.634649354165, 0.736151224651, 0.731449097639, 0.803002385627, 111, 147
caring, 0.795251576359, 0.796917336062, 0.818599584633, 0.877022278161, 127, 399
emotStable, 0.656076111313, 0.694017817306, 0.671260852089, 0.788742137001, 61, 318
emotional, 0.54717535422, 0.590206579899, 0.638378021654, 0.663521619985, 26, 91
familiar, 0.438095170161, 0.439706541128, 0.395017362649, 0.464974211474, 11, 36
friendly, 0.840983883676, 0.825899837349, 0.856357967414, 0.905284122666, 152, 489
happy, 0.863226422002, 0.844703990341, 0.88151516253, 0.915870002231, 127, 449
humble, 0.674988414952, 0.650629488104, 0.689751349798, 0.817789312795, 101, 500
interesting, 0.522128715125, 0.591078953994, 0.609873360587, 0.672055719968, 66, 142
irresponsible, 0.693724499578, 0.655795173606, 0.695187426187, 0.653910254986, 116, 41
mean, 0.767306482203, 0.741633255907, 0.791115867383, 0.860826534633, 142, 489
memorable, 0.344151875502, 0.470334762582, 0.571848874141, 0.60082262142, 187, 137
normal, 0.597896123429, 0.618874821297, 0.656569911938, 0.669394423119, 91, 91
sociable, 0.785453938946, 0.775040778515, 0.804775230699, 0.819105355089, 86, 137
typical, 0.435637408233, 0.388725474596, 0.392355858878, 0.555848585034, 16, 127
uncertain, 0.598398975462, 0.603438998368, 0.698903604312, 0.65264330864, 121, 46
uncommon, 0.376510732986, 0.370958042942, 0.388840052745, 0.458294658041, 16, 41
unintelligent, 0.562106252603, 0.576503893987, 0.578054572534, 0.579065990084, 71, 46
untrustworthy, 0.7340960843, 0.725431546484, 0.738027290973, 0.797293801268, 116, 308
