Social Attributes, geometric_test, vgg16_test, geometric_train, vgg16_train, geometric_feature_num, vgg16_FeatureNum
atypical, 0.421307156574, 0.470435427027, 0.4078474996, 0.475215014921, 16, 56
boring, 0.561828930469, 0.600469017534, 0.588761922172, 0.675047993169, 66, 116
calm, 0.505254742403, 0.545768110039, 0.544943005383, 0.638622908611, 81, 197
cold, 0.822028894405, 0.784147752746, 0.832716765821, 0.89528630458, 91, 449
common, 0.41402814213, 0.440144837603, 0.443499140703, 0.477074277377, 46, 71
confident, 0.569514152522, 0.640859982805, 0.576391681753, 0.653014962149, 46, 96
egotistic, 0.672666509561, 0.650195722101, 0.683139012471, 0.809757911004, 101, 454
emotUnstable, 0.635860825555, 0.681486776709, 0.654613009681, 0.698812865813, 66, 116
forgettable, 0.435382577929, 0.489089351326, 0.489905416931, 0.583316198245, 76, 106
intelligent, 0.549079873527, 0.636801371984, 0.571202697513, 0.806009914376, 66, 464
introverted, 0.65262936079, 0.667935760848, 0.6921579234, 0.713589164665, 66, 96
kind, 0.825084426395, 0.805688773393, 0.833507054626, 0.8963007536, 152, 494
responsible, 0.68156314937, 0.747593618124, 0.716989548295, 0.839635521901, 142, 474
trustworthy, 0.757311900694, 0.759778360131, 0.772247531967, 0.779177681582, 142, 142
unattractive, 0.607966344708, 0.721354726719, 0.675164842043, 0.761004160874, 86, 142
unemotional, 0.759227616044, 0.755609202469, 0.768495340804, 0.776047872692, 31, 71
unfamiliar, 0.377096466377, 0.447833489452, 0.42011164686, 0.549138295853, 16, 132
unfriendly, 0.824807689733, 0.785097704697, 0.828971445573, 0.892868903486, 132, 474
unhappy, 0.834185172198, 0.808077127863, 0.85035112685, 0.9030270764, 142, 479
weird, 0.500535677957, 0.573101838813, 0.572001386444, 0.63261919645, 66, 86
aggressive, 0.723339815492, 0.72195818647, 0.782985235409, 0.756387665928, 172, 106
attractive, 0.661077548893, 0.751301016686, 0.717157274213, 0.801696085033, 86, 142
caring, 0.830607759223, 0.805864000915, 0.820721775434, 0.890859724859, 152, 500
emotStable, 0.678410861875, 0.725194046793, 0.682305478786, 0.71686355429, 96, 142
emotional, 0.587918587714, 0.592400052212, 0.653770655593, 0.640052489383, 66, 56
familiar, 0.44812542871, 0.47223004132, 0.522519290918, 0.529316277638, 86, 96
friendly, 0.860003527132, 0.837159178649, 0.85860623217, 0.900921965254, 152, 469
happy, 0.881476033972, 0.853659503689, 0.885031700649, 0.920904618629, 167, 494
humble, 0.672761775004, 0.657182308591, 0.714694734401, 0.809118097187, 172, 469
interesting, 0.572727837248, 0.62077985039, 0.586114991048, 0.621066119893, 66, 76
irresponsible, 0.666184859952, 0.72416159811, 0.707598725288, 0.736661780219, 147, 167
mean, 0.798158556708, 0.772027423431, 0.798498528739, 0.773895182223, 142, 111
memorable, 0.423254498757, 0.539164254285, 0.491939589144, 0.555705295006, 71, 81
normal, 0.602839669002, 0.646649994549, 0.654773120917, 0.681548113667, 86, 142
sociable, 0.827377156768, 0.803716206457, 0.828055897676, 0.809037110322, 187, 111
typical, 0.502071872282, 0.483770853682, 0.498336764748, 0.611261800394, 76, 237
uncertain, 0.651326427008, 0.660971716025, 0.67657010369, 0.684353555257, 96, 101
uncommon, 0.407657073366, 0.40387853438, 0.452922482752, 0.501144091887, 46, 71
unintelligent, 0.527681874179, 0.60646567268, 0.62363113392, 0.751785355986, 101, 333
untrustworthy, 0.733353834078, 0.739216732885, 0.751439702175, 0.816945489316, 147, 353
