Social Attributes, geometric_test, vgg16_test, geometric_train, vgg16_train, geometric_feature_num, vgg16_FeatureNum
atypical, 0.415839339528, 0.453017162472, 0.484817396926, 0.514097923961, 51, 86
boring, 0.528587608145, 0.607264855604, 0.605716152968, 0.693470724732, 61, 177
calm, 0.506040873846, 0.505725768511, 0.547529528628, 0.644156391151, 86, 197
cold, 0.829997174846, 0.796532392256, 0.840342460555, 0.83400155152, 132, 187
common, 0.382995977449, 0.346891680924, 0.525968807383, 0.50571316396, 116, 81
confident, 0.558876345725, 0.643159877752, 0.703710247461, 0.673830720772, 242, 116
egotistic, 0.586041848528, 0.602473952314, 0.743508435592, 0.803780762607, 278, 434
emotUnstable, 0.6347479827, 0.647543203459, 0.674338313418, 0.722868131306, 101, 172
forgettable, 0.369370236042, 0.485885813849, 0.582457129835, 0.551064099595, 202, 66
intelligent, 0.568326764448, 0.644702998, 0.614472609835, 0.672507628922, 111, 116
introverted, 0.649907410881, 0.663681628347, 0.686609406577, 0.72780055439, 61, 162
kind, 0.807915146896, 0.789958677497, 0.827439540798, 0.887159229233, 127, 439
responsible, 0.686161474062, 0.706858390528, 0.685571371729, 0.847249647505, 86, 500
trustworthy, 0.752203481479, 0.74697615063, 0.746338913781, 0.82497527836, 91, 318
unattractive, 0.56729743868, 0.677530421439, 0.66719287882, 0.822566484131, 61, 363
unemotional, 0.767754273744, 0.756958182442, 0.785360939925, 0.778246346363, 91, 116
unfamiliar, 0.419559217976, 0.529943604916, 0.461667880212, 0.507967377228, 61, 101
unfriendly, 0.83495756557, 0.80835580705, 0.828753214448, 0.849766803834, 137, 288
unhappy, 0.837837806974, 0.819016672021, 0.842893392118, 0.830856292116, 127, 167
weird, 0.473237238144, 0.549882329168, 0.580626155859, 0.778583510847, 66, 500
aggressive, 0.753679230668, 0.734254158188, 0.740990039112, 0.829112744491, 91, 343
attractive, 0.62517429913, 0.754713896466, 0.746448495038, 0.871913275873, 132, 429
caring, 0.818837899053, 0.801174504069, 0.81031412108, 0.846677646042, 111, 273
emotStable, 0.650293959481, 0.669506779928, 0.700611078449, 0.750366488395, 86, 187
emotional, 0.580788044612, 0.613359578133, 0.636560190636, 0.63482347953, 31, 46
familiar, 0.444765155352, 0.46863813821, 0.424812454607, 0.414440610715, 16, 16
friendly, 0.849420038588, 0.825969201383, 0.856036977099, 0.886606878203, 137, 343
happy, 0.876305218542, 0.853048940928, 0.880139190482, 0.896310355767, 137, 313
humble, 0.684164008204, 0.63747508745, 0.679508182532, 0.780659648664, 96, 348
interesting, 0.520437550133, 0.57535712731, 0.618819426991, 0.663441683685, 61, 106
irresponsible, 0.675742033542, 0.686721529965, 0.690375231866, 0.786848087416, 86, 308
mean, 0.761893635261, 0.755354871118, 0.778269202823, 0.840610248149, 86, 348
memorable, 0.361361045445, 0.463521079977, 0.49849140613, 0.586660911257, 71, 106
normal, 0.567289948556, 0.625079573132, 0.658583732652, 0.691046807745, 101, 167
sociable, 0.813632777768, 0.809687880809, 0.813735125346, 0.84843480397, 111, 313
typical, 0.400775150867, 0.471190736979, 0.559725559435, 0.599373740532, 177, 232
uncertain, 0.604862188526, 0.634877593027, 0.664035678633, 0.806829674135, 56, 494
uncommon, 0.378643643524, 0.378163847614, 0.409029959006, 0.626124729382, 26, 323
unintelligent, 0.571507656601, 0.62391989266, 0.612767880268, 0.672720137222, 101, 157
untrustworthy, 0.725211816145, 0.705860333524, 0.73002968557, 0.811053077829, 91, 313
