Social Attributes, geometric_test, vgg16_test, geometric_train, vgg16_train, geometric_feature_num, vgg16_FeatureNum
atypical, 0.454656994259, 0.446549727759, 0.462992948798, 0.474837826225, 51, 51
boring, 0.485868470063, 0.609750399495, 0.606896597265, 0.654978138383, 66, 81
calm, 0.446877416532, 0.495307435001, 0.584593133578, 0.696805575842, 91, 278
cold, 0.794601236196, 0.779315987831, 0.82893005814, 0.821534404526, 76, 132
common, 0.394387511617, 0.434766077825, 0.503028527989, 0.491360459723, 111, 71
confident, 0.53822566261, 0.579684376319, 0.627301900989, 0.806826777591, 76, 464
egotistic, 0.619538127161, 0.639659112878, 0.660043002895, 0.688663337048, 61, 132
emotUnstable, 0.589724656422, 0.612118246779, 0.693797526583, 0.713273588399, 127, 132
forgettable, 0.424776863367, 0.535230810198, 0.587127073874, 0.565382116471, 247, 81
intelligent, 0.564181991434, 0.606449499312, 0.612040239379, 0.780843764077, 111, 399
introverted, 0.631652289828, 0.658793247069, 0.655226088381, 0.772710340368, 16, 333
kind, 0.773677814155, 0.784134724552, 0.821738954456, 0.858807775768, 76, 278
responsible, 0.664774605521, 0.679488810452, 0.727502100655, 0.75329483056, 147, 106
trustworthy, 0.696160523434, 0.719593547268, 0.786078351725, 0.823662880488, 147, 278
unattractive, 0.630077630057, 0.709260771455, 0.66437266969, 0.805921124661, 86, 328
unemotional, 0.75574902729, 0.755529825563, 0.798821647414, 0.820712792076, 111, 253
unfamiliar, 0.362061255702, 0.442031998606, 0.424283676122, 0.518661409593, 31, 106
unfriendly, 0.806838223069, 0.773892910972, 0.839797282072, 0.849256027771, 152, 258
unhappy, 0.798130620709, 0.786134231035, 0.867632630869, 0.898523183967, 202, 464
weird, 0.499081268677, 0.54249641515, 0.56293324971, 0.59196648817, 76, 51
aggressive, 0.697654733842, 0.699718173837, 0.747299551846, 0.769111895455, 81, 132
attractive, 0.681939603152, 0.792079367804, 0.709734205749, 0.886661350967, 86, 500
caring, 0.793627067009, 0.793974272431, 0.827988485081, 0.808227394375, 152, 106
emotStable, 0.631807463668, 0.677447712216, 0.725245156108, 0.762161718779, 162, 217
emotional, 0.601970576622, 0.582986934127, 0.63604777376, 0.613810356761, 26, 21
familiar, 0.391328967102, 0.439394883269, 0.498665634069, 0.467835339333, 51, 31
friendly, 0.814402097905, 0.814294209327, 0.843990016526, 0.87184631822, 76, 258
happy, 0.856396280468, 0.838633209836, 0.875388730757, 0.889394892964, 101, 258
humble, 0.638208542783, 0.61762589016, 0.675615729108, 0.690886124489, 76, 121
interesting, 0.542055760634, 0.613880004858, 0.595622962617, 0.633609369715, 86, 81
irresponsible, 0.653373606338, 0.676735738475, 0.719468074021, 0.766210349567, 162, 237
mean, 0.761699811384, 0.729860354116, 0.791896485822, 0.783639964847, 116, 132
memorable, 0.386768616283, 0.531572859152, 0.492910520573, 0.567122505927, 101, 101
normal, 0.545408417979, 0.602904416751, 0.664200497002, 0.638494143499, 111, 56
sociable, 0.774224751772, 0.781422059647, 0.804822006246, 0.806472079176, 86, 111
typical, 0.383242204808, 0.425666851668, 0.526236830672, 0.510938435037, 76, 56
uncertain, 0.62989374847, 0.605950832061, 0.679715803873, 0.689595349369, 111, 96
uncommon, 0.352553351912, 0.405924211737, 0.461465398338, 0.48715033884, 51, 61
unintelligent, 0.527852764441, 0.592404709373, 0.621562757114, 0.673958555547, 111, 127
untrustworthy, 0.684985210732, 0.695776624221, 0.730649483562, 0.743898016675, 81, 111
