Social Attributes, geometric_test, vgg16_test, geometric_train, vgg16_train, geometric_feature_num, vgg16_FeatureNum
atypical, 0.357372603221, 0.409051783662, 0.520698842894, 0.468973453506, 116, 41
boring, 0.521254441213, 0.580631560166, 0.618230943057, 0.673344208863, 111, 116
calm, 0.447387212681, 0.491065849161, 0.619515679335, 0.594753771334, 132, 111
cold, 0.787823021229, 0.775849713427, 0.852267684337, 0.855557856189, 132, 253
common, 0.355369151855, 0.383039600567, 0.403962675126, 0.512086280911, 26, 96
confident, 0.513029692572, 0.616117611287, 0.72308104257, 0.669876613035, 232, 101
egotistic, 0.584151878234, 0.651605984261, 0.583783999155, 0.742200245359, 26, 253
emotUnstable, 0.591158483543, 0.629409604403, 0.672716056426, 0.703582872807, 71, 106
forgettable, 0.416028586377, 0.47928514507, 0.477164176072, 0.596748156414, 71, 157
intelligent, 0.527019053457, 0.615386608269, 0.640114648453, 0.788443919426, 121, 384
introverted, 0.652295697586, 0.646124012996, 0.664155779539, 0.683057459206, 26, 56
kind, 0.774839288652, 0.783663385853, 0.83629450188, 0.855060741811, 132, 263
responsible, 0.643658579424, 0.69021769611, 0.730460821428, 0.84646705995, 116, 444
trustworthy, 0.709763654704, 0.728817078213, 0.789498372149, 0.851427140316, 132, 379
unattractive, 0.621822319706, 0.701172287158, 0.691208126329, 0.760731123272, 111, 152
unemotional, 0.768747022934, 0.748298131268, 0.79540418397, 0.795839305511, 121, 137
unfamiliar, 0.412646754513, 0.420118263184, 0.4104634154, 0.468773146836, 21, 41
unfriendly, 0.780462120015, 0.784006101702, 0.84151605144, 0.854674037993, 127, 263
unhappy, 0.81162520098, 0.79751700934, 0.854056794436, 0.832645684689, 121, 121
weird, 0.495475681924, 0.549575418651, 0.512699977678, 0.585101458973, 21, 46
aggressive, 0.678990703741, 0.71202500955, 0.744420677685, 0.830340783259, 71, 363
attractive, 0.620587136922, 0.737791519611, 0.778195142521, 0.807459125017, 212, 152
caring, 0.784536164737, 0.771299916541, 0.835430879177, 0.863197625423, 157, 298
emotStable, 0.60620046589, 0.648344073891, 0.686019921316, 0.802778416975, 66, 323
emotional, 0.614888444983, 0.593014931353, 0.65558382096, 0.716423450583, 76, 247
familiar, 0.453901542764, 0.441901816794, 0.504536648271, 0.51872328633, 61, 71
friendly, 0.810043780884, 0.819074961872, 0.84297141869, 0.872072465054, 71, 263
happy, 0.851090168633, 0.838100221194, 0.884861319772, 0.889884539816, 121, 263
humble, 0.626532527794, 0.647611923179, 0.732731839186, 0.751941121774, 187, 278
interesting, 0.522818864715, 0.552515560756, 0.612934078496, 0.661679884225, 66, 96
irresponsible, 0.627355722149, 0.678141489307, 0.689064815889, 0.807469006596, 71, 358
mean, 0.737573018146, 0.719381352569, 0.79904982557, 0.82137699028, 121, 263
memorable, 0.386549933931, 0.458144675941, 0.485227461148, 0.585436510028, 76, 121
normal, 0.551236351362, 0.594733842426, 0.722417264498, 0.7060189714, 222, 157
sociable, 0.777112293117, 0.775453496255, 0.810115384828, 0.85525111774, 71, 298
typical, 0.409831116685, 0.408294319536, 0.436883230293, 0.51743080565, 21, 76
uncertain, 0.620666814144, 0.64649921499, 0.663567151496, 0.699982690717, 61, 152
uncommon, 0.421673325374, 0.384668970891, 0.44531342073, 0.485796275353, 71, 71
unintelligent, 0.562114532039, 0.580414012166, 0.625090913109, 0.683594670343, 116, 137
untrustworthy, 0.690401685226, 0.704993298907, 0.779799383147, 0.801961188326, 187, 283
