pair_nums,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
11,5.0,5.0,2.0,4.0,5.0,5.0,3.0,5.0,2.0,6.0,4.0,5.0,4.0,3.0,4.0,2.0,5.0,3.0,3.0,5.0,5.0,6.0,3.0,4.0,4.0,5.0,3.0,6.0,6.0,4.0,6.0,3.0,3.0,7.0,6.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0
12,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
13,4.0,4.0,4.0,4.0,3.0,5.0,6.0,2.0,2.0,5.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,3.0,1.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,6.0
14,6.0,7.0,4.0,5.0,5.0,7.0,6.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,7.0,5.0,5.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0
15,6.0,6.0,1.0,4.0,6.0,6.0,2.0,4.0,1.0,5.0,3.0,3.0,1.0,1.0,4.0,5.0,5.0,4.0,1.0,5.0,7.0,5.0,2.0,3.0,7.0,5.0,1.0,6.0,7.0,1.0,5.0,5.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,6.0,2.0,2.0,5.0,4.0,2.0,3.0,6.0,6.0,7.0,5.0,6.0,2.0,6.0,3.0,6.0,6.0
16,5.0,3.0,2.0,3.0,4.0,7.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,6.0,3.0,3.0,4.0,5.0,6.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0
17,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,4.0
18,5.0,4.0,1.0,3.0,4.0,5.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,5.0,6.0,6.0,4.0,3.0,7.0,4.0,3.0,3.0,3.0,1.0,6.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,2.0,4.0,6.0,3.0,2.0,5.0,6.0,7.0,6.0,4.0,3.0,2.0,6.0,3.0,7.0,5.0
19,6.0,6.0,3.0,6.0,5.0,3.0,6.0,5.0,3.0,6.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,5.0,7.0,6.0,2.0,4.0,4.0,6.0,4.0,2.0,6.0,2.0,4.0,6.0,7.0,6.0,4.0,2.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,6.0,3.0,5.0,7.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0
20,2.0,2.0,2.0,3.0,5.0,2.0,4.0,5.0,3.0,5.0,2.0,2.0,6.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,7.0,2.0,6.0,3.0,6.0,7.0,2.0,7.0,2.0,6.0,5.0,7.0,6.0,5.0,2.0,2.0,3.0,5.0,7.0,2.0,3.0,2.0,5.0,2.0,2.0,5.0,2.0,3.0,3.0,6.0,7.0,6.0,7.0,6.0,3.0,2.0,6.0,6.0,2.0
21,7.0,6.0,3.0,5.0,6.0,7.0,6.0,6.0,4.0,6.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,6.0,6.0,7.0,4.0,4.0,7.0,5.0,4.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,5.0,5.0
22,5.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,7.0,7.0,6.0,4.0,4.0,7.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0
23,6.0,4.0,2.0,3.0,4.0,4.0,6.0,4.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,5.0,7.0,5.0,2.0,5.0,4.0,6.0,3.0,2.0,7.0,5.0,2.0,5.0,6.0,1.0,7.0,5.0,6.0,5.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,3.0,6.0,2.0,5.0,5.0,3.0,7.0,6.0,5.0,5.0,3.0,6.0,4.0,5.0,4.0
24,5.0,4.0,2.0,6.0,7.0,6.0,5.0,2.0,2.0,6.0,5.0,2.0,2.0,1.0,3.0,3.0,5.0,3.0,2.0,4.0,6.0,6.0,2.0,3.0,3.0,4.0,3.0,2.0,7.0,2.0,6.0,4.0,7.0,6.0,5.0,1.0,1.0,3.0,4.0,6.0,2.0,1.0,1.0,5.0,2.0,2.0,7.0,3.0,1.0,3.0,4.0,6.0,5.0,5.0,5.0,1.0,2.0,4.0,4.0,3.0
25,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0,4.0,5.0,4.0,6.0,4.0,4.0,7.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,6.0,2.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0
26,4.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0
27,6.0,5.0,4.0,6.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,6.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
28,4.0,4.0,1.0,4.0,4.0,5.0,5.0,3.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0
29,5.0,5.0,4.0,5.0,4.0,6.0,5.0,4.0,3.0,5.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,6.0,6.0,7.0,4.0,5.0,7.0,7.0,5.0,4.0,7.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0
30,6.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,3.0,5.0,6.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0
31,4.0,4.0,2.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,5.0,2.0,6.0,7.0,6.0,1.0,3.0,4.0,6.0,4.0,2.0,6.0,1.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,4.0,2.0,3.0,6.0,4.0,3.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,6.0,4.0
32,4.0,1.0,3.0,6.0,3.0,6.0,6.0,4.0,2.0,5.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,1.0,5.0,6.0,6.0,2.0,4.0,5.0,6.0,3.0,5.0,6.0,2.0,4.0,3.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,3.0,4.0,4.0,4.0,5.0
33,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
34,5.0,7.0,2.0,4.0,6.0,5.0,7.0,3.0,2.0,7.0,5.0,3.0,3.0,2.0,4.0,4.0,6.0,5.0,3.0,5.0,6.0,7.0,4.0,4.0,7.0,5.0,4.0,5.0,6.0,3.0,5.0,6.0,7.0,5.0,6.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,4.0,4.0,7.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,4.0,6.0,5.0,6.0,6.0
35,5.0,5.0,3.0,5.0,6.0,6.0,6.0,5.0,3.0,6.0,4.0,4.0,5.0,2.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,1.0,5.0,3.0,4.0,6.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,6.0,2.0,4.0,4.0,6.0,4.0
36,4.0,4.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,6.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,7.0,5.0,4.0,5.0,6.0,7.0,4.0,4.0,7.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0
37,4.0,3.0,2.0,4.0,2.0,5.0,4.0,3.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,6.0,5.0,2.0,3.0,4.0,5.0,3.0,3.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,6.0,4.0,4.0,5.0,2.0,3.0,4.0,5.0,4.0
38,4.0,2.0,2.0,4.0,5.0,6.0,4.0,4.0,3.0,6.0,5.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,6.0,5.0,6.0,2.0,3.0,7.0,6.0,3.0,2.0,7.0,2.0,5.0,6.0,5.0,5.0,5.0,2.0,2.0,6.0,6.0,6.0,3.0,2.0,2.0,6.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,2.0,3.0,2.0,4.0,3.0
39,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0
40,7.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,5.0,4.0,4.0,6.0,5.0,6.0,5.0,4.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,7.0,7.0,6.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0,3.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0
41,5.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
42,6.0,1.0,2.0,4.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,4.0,3.0,6.0,5.0,7.0,6.0,2.0,5.0,7.0,5.0,1.0,3.0,7.0,7.0,4.0,4.0,7.0,2.0,6.0,5.0,5.0,5.0,3.0,3.0,1.0,1.0,5.0,7.0,4.0,3.0,1.0,7.0,3.0,5.0,6.0,2.0,3.0,4.0,3.0,7.0,5.0,5.0,4.0,1.0,3.0,3.0,6.0,5.0
43,6.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,5.0,3.0,3.0,4.0,6.0,6.0,3.0,3.0,5.0,5.0,4.0,2.0,6.0,3.0,5.0,4.0,6.0,5.0,5.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,6.0,5.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,6.0,4.0
44,6.0,6.0,1.0,1.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0,6.0,3.0,4.0,7.0,4.0,3.0,5.0,5.0,3.0,6.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0
45,5.0,5.0,3.0,6.0,5.0,6.0,5.0,4.0,4.0,6.0,5.0,3.0,3.0,4.0,5.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,4.0,5.0,7.0,6.0,4.0,6.0,7.0,3.0,5.0,4.0,6.0,6.0,5.0,2.0,6.0,4.0,5.0,5.0,3.0,1.0,3.0,5.0,4.0,4.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,7.0,5.0,3.0,3.0,6.0,5.0,4.0
46,5.0,5.0,3.0,4.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,5.0,5.0,1.0,2.0,3.0,6.0,2.0,2.0,5.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0
47,6.0,3.0,1.0,3.0,3.0,5.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,5.0,2.0,5.0,6.0,1.0,3.0,3.0,5.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,5.0,4.0,3.0,5.0,6.0,5.0,5.0,4.0,5.0,2.0,4.0,2.0,5.0,3.0
48,5.0,5.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,6.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0
49,5.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0
50,6.0,3.0,1.0,4.0,3.0,6.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,5.0,6.0,6.0,1.0,2.0,5.0,4.0,4.0,5.0,7.0,1.0,7.0,5.0,6.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,2.0,3.0,5.0,7.0,5.0,5.0,5.0,2.0,2.0,3.0,5.0,5.0
51,3.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,5.0,6.0,6.0,2.0,4.0,5.0,6.0,4.0,5.0,6.0,2.0,6.0,5.0,6.0,6.0,6.0,1.0,1.0,3.0,3.0,5.0,2.0,2.0,2.0,6.0,2.0,3.0,6.0,5.0,2.0,4.0,4.0,5.0,6.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0
52,6.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,2.0,5.0,6.0,6.0,2.0,4.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,5.0,6.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,6.0,4.0,3.0,4.0,5.0,7.0,6.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0
53,7.0,6.0,1.0,4.0,3.0,5.0,3.0,3.0,3.0,6.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,7.0,3.0,3.0,6.0,4.0,2.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,3.0,6.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0
54,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0
55,6.0,5.0,3.0,6.0,6.0,5.0,5.0,5.0,4.0,7.0,5.0,4.0,3.0,3.0,4.0,4.0,6.0,4.0,5.0,6.0,7.0,7.0,4.0,5.0,5.0,6.0,6.0,4.0,6.0,5.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,7.0,4.0,3.0,5.0,5.0,7.0,6.0,7.0,5.0,4.0,4.0,5.0,7.0,5.0
